"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","63.932","64.385","63.471","66.103","63.937","61.552","60.73","61.713","62.339","61.282","62.388","66.301","66.922","65.288","62.806","58.582","56.967","56.431","54.13","55.338","54.013","56.339","54.44","55.124","57.266","58.24","55.242","52.654","48.543","49.005","48.723","48.059","45.302","40.256","40.512","53.244","55.95","53.355","50.595"
"Tangible Book Value per Share","196.635","186.658","181.449","192.087","187.861","180.091","170.627","176.129","177.168","174.797","183.806","156.952","155.722","161.601","154.566","153.438","148.396","149.962","151.804","147.024","142.846","149.237","152.305","149.701","161.523","157.64","157.699","157.725","147.323","153.329","153.843","151.633","136.94","130.27","134.542","145.965","149.283","142.857","134.476"
"FCF per Share","1.649","-6.992","14.335","0.991","1.785","-9.651","13.88","1.485","0.379","-8.82","16.718","1.059","-2.184","-5.915","9.681","3.777","0.038","-4.779","8.348","1.341","-0.346","-6.662","8.867","-3.459","-2.005","-4.42","6.471","1.137","-0.289","-0.995","9.375","7.189","2.027","-5.175","2.21","-2.52","3.307","-5.832","7.413"
"Interest Debt per Share","72.9865","67.2861","59.4415","71.1889","68.4908","64.7995","51.1908","61.066","60.1391","58.769","55.5172","40.1658","35.4534","41.9206","31.4158","30.6775","30.7143","30.9206","31.2706","31.2899","31.2179","32.1992","32.4349","32.6528","32.8255","32.6988","32.7974","32.9673","33.1627","37.7851","38.6037","39.0763","39.5973","40.876","35.0","40.4826","36.2815","36.8021","27.0763"
"Cash per Share","14.0676","12.7139","14.4282","13.5403","12.5853","9.0427","9.8848","8.8579","8.7358","8.934","13.1034","12.5893","12.069","21.4085","17.602","10.3639","8.396","9.4578","14.8412","6.6156","5.4615","7.542","14.4401","6.645","11.0026","13.3768","17.8824","11.7778","11.1549","15.7958","18.3511","9.7055","3.3154","2.6011","1.9677","5.6971","6.1222","4.2071","2.6003"
"Debt to Equity Ratio","1.1416","1.0451","0.9365","1.0769","1.0712","1.0528","0.8429","0.9895","0.9647","0.959","0.8899","0.6058","0.5298","0.6421","0.5002","0.5237","0.5392","0.5479","0.5777","0.5654","0.578","0.5715","0.5958","0.5924","0.5732","0.5615","0.5937","0.6261","0.6832","0.771","0.7923","0.8131","0.8741","1.0154","0.8639","0.7603","0.6485","0.6898","0.5352"
"Total Debt To Total Assets","0.2673","0.2584","0.2334","0.2669","0.2614","0.2546","0.2103","0.2452","0.2438","0.2411","0.2173","0.2005","0.1779","0.2041","0.1585","0.1561","0.1605","0.1599","0.1598","0.1636","0.1667","0.1658","0.1641","0.1674","0.1584","0.1607","0.161","0.1617","0.1715","0.189","0.1923","0.1965","0.2147","0.2297","0.1919","0.2087","0.1841","0.1936","0.1494"
"Interest Coverage","4.5806","3.9242","12.1852","5.6","4.2195","3.9857","3.7857","5.0645","7.675","5.6512","1.766","8.3143","6.725","5.7727","6.0455","6.8372","6.3864","5.0217","4.4286","3.5208","3.4375","3.3704","3.3019","2.0588","-5.6727","3.6852","3.1552","2.3333","4.5818","3.7759","3.0732","2.2759","1.9655","1.8387","-1.1887","3.25","3.4286","2.9796","5.3462"
"Current Ratio","0.909","0.966","0.958","0.987","0.982","0.909","0.888","0.96","1.01","1.044","0.964","1.087","1.152","1.175","1.034","1.049","1.061","1.158","1.049","1.038","1.036","0.964","1.02","1.035","1.05","1.213","1.19","1.18","1.162","1.196","1.182","1.202","1.2","1.078","1.086","1.12","1.186","1.226","1.112"
