"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","75.914","75.837","73.603","77.993","79.818","80.704","32.765","35.283","35.351","33.917","29.692","33.531","36.2","36.135","33.007","30.426","30.082","28.45","26.025","40.913","41.016","40.692","37.945","41.149","41.684","40.681","40.009","38.426","37.522","36.857","34.305","33.957","33.458","32.153","29.442","26.192","27.092","26.807","25.129"
"Tangible Book Value per Share","133.95","129.457","113.144","121.18","124.017","126.408","205.598","206.391","214.9","188.891","180.006","179.298","197.306","187.243","172.991","182.135","193.789","192.512","182.283","203.798","212.469","203.49","183.359","197.144","218.089","208.029","187.298","186.219","206.611","216.402","185.309","197.092","220.993","209.051","198.596","246.843","272.099","251.805","209.746"
"FCF per Share","1.11","0.133","1.638","0.724","1.799","0.384","1.235","0.781","0.606","-1.196","2.438","1.515","1.718","-0.252","2.354","3.052","1.111","0.305","2.65","1.836","1.084","0.441","1.984","1.944","1.463","-0.17","3.431","1.276","1.11","0.659","1.873","0.709","1.678","1.158","1.692","1.474","0.244","-0.616","-0.037"
"Interest Debt per Share","30.9337","30.2152","28.264","27.4247","27.5136","28.3053","48.0076","37.9076","37.2275","34.0204","34.3587","34.3479","34.3187","34.3589","34.6607","35.0559","35.6508","36.6414","36.043","36.399","36.8031","37.2997","36.159","36.7253","37.2798","39.8609","35.196","35.9681","36.6777","37.6099","37.3576","41.0634","39.5043","42.0989","42.2884","25.5573","27.4297","26.3968","23.3196"
"Cash per Share","6.3021","6.6481","6.3621","5.5559","6.8549","6.9044","7.82","6.8708","7.1353","7.424","9.4984","9.7416","10.4867","10.8611","11.8615","9.3653","7.6536","8.1002","7.6589","6.4873","6.2127","7.0583","6.6548","5.557","4.8813","6.6822","4.906","2.1936","2.1722","3.0753","3.4777","3.1987","1.6302","2.3318","2.8086","2.9102","3.8514","3.6377","3.7311"
"Debt to Equity Ratio","0.4075","0.3984","0.384","0.3516","0.3447","0.3507","1.4652","1.0744","1.0531","1.003","1.1572","1.0244","0.948","0.9509","1.0501","1.1522","1.1851","1.2879","1.3849","0.8897","0.8973","0.9166","0.9529","0.8925","0.8943","0.9798","0.8797","0.936","0.9775","1.0204","1.089","1.2093","1.1807","1.3093","1.4363","0.9758","1.0125","0.9847","0.928"
"Total Debt To Total Assets","0.1276","0.127","0.1278","0.1191","0.1175","0.1184","0.1734","0.1443","0.1376","0.1431","0.149","0.1521","0.14","0.1467","0.1572","0.1522","0.147","0.152","0.1557","0.1399","0.1369","0.1435","0.1506","0.1444","0.1349","0.1495","0.143","0.1468","0.1379","0.1361","0.1519","0.1591","0.1397","0.1552","0.1616","0.0916","0.09","0.0929","0.0964"
"Interest Coverage","1.8913","9.4783","1.7609","-0.2889","2.9362","6.5652","0.4872","1.1429","3.5429","9.0606","4.2647","0.8529","4.0286","10.6563","4.0909","0.4667","5.1875","9.6129","-25.3871","2.125","5.3636","10.1563","1.5227","2.6316","4.4118","1.875","4.0","2.85","4.0244","7.3023","3.3696","2.0638","3.7442","7.7105","3.3611","2.1875","3.4286","15.125","7.8333"
"Current Ratio","1.08","1.083","1.032","1.036","1.056","1.021","0.977","1.038","1.036","1.074","1.062","1.082","1.099","1.114","1.104","1.087","1.084","1.087","1.069","1.093","1.092","1.102","1.099","1.081","1.074","1.083","1.077","1.045","","","","","","","","","","",""
