"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","12.413","12.547","11.984","12.117","11.723","11.87","11.971","11.575","11.764","12.097","12.81","11.501","12.577","12.342","12.164","14.31","13.937","13.747","13.697","13.565","13.324","13.349","13.186","12.6","13.267","13.245","13.157","12.793","12.627","12.852","12.836","12.616","12.333","12.011","12.031","12.021","11.661","11.327","11.394"
"Tangible Book Value per Share","31.719","31.51","31.794","31.455","31.265","31.237","31.145","31.003","30.986","31.085","33.012","34.264","33.505","34.144","34.11","35.094","34.709","35.107","35.372","35.398","34.646","34.356","34.534","32.943","32.644","32.722","32.482","32.124","32.785","31.084","31.214","29.656","29.362","30.047","29.775","29.978","29.506","29.571","28.809"
"FCF per Share","1.163","0.885","0.851","0.95","1.013","0.931","0.352","0.712","1.136","0.579","0.328","0.783","0.746","0.684","0.32","0.881","0.664","0.669","0.429","0.371","0.687","0.208","0.689","0.733","0.418","0.597","0.536","0.869","0.538","0.497","0.743","0.68","0.589","0.395","0.487","0.958","0.605","0.703","0.203"
"Interest Debt per Share","20.4937","20.5639","21.0632","20.9388","21.4513","21.5325","19.998","20.011","19.8898","20.0532","20.604","21.7924","21.0524","21.931","21.7952","21.458","20.9196","21.5155","21.3753","21.555","21.2266","21.3471","21.1935","20.3642","19.0573","19.2791","18.72","18.7648","19.8439","18.1928","18.121","16.7367","16.754","17.8834","16.9721","17.1858","17.1049","17.6017","16.4003"
"Cash per Share","0.0724","0.0682","0.0724","0.0678","0.0878","0.2334","0.0873","0.2499","0.5963","0.6033","2.8542","0.3924","0.2944","0.7293","0.1236","0.3349","0.3297","0.6599","0.4182","0.8586","0.512","0.4096","0.5605","0.5974","0.7824","1.4217","1.1328","1.152","2.4202","1.796","2.3282","1.2422","1.0732","1.9269","0.9785","1.0276","0.428","0.9407","0.6846"
"Debt to Equity Ratio","1.6509","1.6389","1.7576","1.7281","1.8299","1.814","1.6705","1.7287","1.6907","1.6577","1.6084","1.8949","1.6738","1.7769","1.7918","1.4996","1.501","1.5651","1.5606","1.5891","1.5931","1.5991","1.6072","1.6162","1.4365","1.4555","1.4228","1.4668","1.5716","1.4155","1.4118","1.3266","1.3584","1.4889","1.4107","1.4296","1.4668","1.5539","1.4394"
"Total Debt To Total Assets","0.4346","0.4379","0.4463","0.4462","0.4592","0.4618","0.4384","0.4436","0.4425","0.445","0.443","0.4576","0.4417","0.4542","0.4524","0.426","0.4246","0.4323","0.4293","0.4331","0.433","0.4371","0.4323","0.4359","0.4187","0.4235","0.4147","0.4198","0.4405","0.4202","0.4194","0.4044","0.4091","0.4308","0.4116","0.4143","0.4186","0.432","0.4132"
"Interest Coverage","7.3444","5.7283","6.4362","5.8404","5.9462","5.1895","5.3626","6.2","5.1053","-1.1154","6.1842","4.4741","4.3913","3.7025","-4.25","4.7479","4.0661","3.0992","3.8644","3.7561","3.6694","3.1311","4.252","4.4576","4.0924","3.4463","4.7059","4.1508","4.8966","3.6071","4.0091","4.9423","4.8318","3.4381","4.0088","5.4825","5.9238","4.1557","4.619"
"Current Ratio","0.84","0.869","0.85","0.861","0.811","0.899","0.934","0.982","1.031","1.151","1.012","1.086","0.79","0.755","0.829","0.845","0.795","0.783","0.798","0.834","0.77","0.75","0.775","0.957","1.034","1.078","0.999","1.112","1.104","1.018","1.038","0.895","1.081","1.046","0.769","0.863","0.934","0.989","0.955"
