"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","10.051","10.241","6.183","6.473","6.434","7.585","8.198","9.852","10.581","10.977","11.736","12.214","11.288","6.741","7.116","7.242","6.874","7.03","7.454","4.933","4.764","3.27","2.197","13.429","13.116","12.84","11.627","12.014","13.061","12.969","14.481","14.246","14.334","14.368","14.576","14.848","13.116","13.323","10.799"
"Tangible Book Value per Share","47.541","46.016","49.5","49.998","51.003","51.816","52.01","52.84","53.2","52.295","51.99","49.522","46.927","38.01","36.357","35.345","34.174","32.961","34.469","30.132","28.772","28.862","27.897","44.394","43.693","42.733","42.679","40.77","40.957","41.303","41.604","41.058","41.353","42.031","43.165","44.821","51.774","44.68","40.74"
"FCF per Share","0.142","0.115","1.475","0.147","0.173","0.36","-0.2","-0.224","-0.011","-0.218","-0.103","-1.016","-1.052","-0.507","-0.753","-0.692","-0.218","-0.32","-0.519","-0.477","-0.272","0.177","0.21","-0.121","0.518","0.486","0.056","-0.901","0.287","0.324","0.439","-0.22","0.27","-0.173","-0.093","-0.398","0.053","0.365","-0.352"
"Interest Debt per Share","28.1647","26.469","31.2961","32.9256","33.8054","33.068","32.6534","31.6234","31.2391","30.065","28.8578","28.018","23.3866","18.7653","16.9393","15.7053","16.2104","15.5575","16.8407","15.1785","14.541","14.657","14.7839","15.9351","15.825","15.5185","15.5662","14.5534","14.5753","14.7706","14.1874","14.1947","14.2546","14.5679","13.2993","13.6999","13.6304","13.465","13.3825"
"Cash per Share","2.3208","0.775","0.2264","0.1026","0.1798","0.2186","0.1333","0.1667","0.2723","0.4558","0.3209","0.4041","9.8413","1.5538","0.9963","1.0713","1.2066","1.0292","1.3161","1.589","1.0925","1.8543","1.5069","1.6911","1.9819","1.5725","1.2955","1.7358","2.7395","2.8154","3.2006","2.8125","3.1908","3.082","2.4834","2.6392","3.3202","3.8257","2.8781"
"Debt to Equity Ratio","2.8023","2.5847","5.0618","5.0862","5.2538","4.3599","3.9829","3.21","2.9523","2.7388","2.4589","2.2939","2.0717","2.7838","2.3806","2.1688","2.3583","2.2129","2.2593","3.077","3.052","4.482","6.7299","1.1866","1.2066","1.2086","1.3388","1.2114","1.1159","1.1389","0.9798","0.9964","0.9945","1.0139","0.9124","0.9227","1.0392","1.0106","1.2392"
"Total Debt To Total Assets","0.4773","0.4594","0.5018","0.5227","0.5273","0.5084","0.4995","0.4666","0.4575","0.4457","0.4277","0.4204","0.4661","0.454","0.4266","0.4056","0.4315","0.4276","0.4413","0.4474","0.4459","0.4888","0.5285","0.3589","0.3622","0.3632","0.3647","0.3568","0.3414","0.3432","0.3274","0.3317","0.3308","0.3328","0.2961","0.2942","0.2547","0.2902","0.3152"
"Interest Coverage","1.5214","2.4286","1.113","1.4276","-0.7974","0.7941","-3.0488","0.625","1.7086","1.3663","2.166","11.2137","1.974","2.1302","1.8089","2.3444","2.6159","2.6908","2.551","2.6571","2.45","4.9433","-2.2836","2.9935","3.1677","2.9167","3.8158","-7.943","2.8766","-0.75","1.9623","2.369","2.3293","0.284","1.5556","4.4877","5.3106","5.6242","3.0"
"Current Ratio","0.993","1.391","0.496","0.66","0.856","0.452","0.612","0.328","0.378","0.696","0.736","0.648","0.884","0.854","0.849","0.854","0.821","1.195","1.242","1.422","1.296","1.381","1.131","1.185","1.184","1.019","0.983","1.1","1.585","1.711","1.531","1.574","1.684","1.551","1.253","1.28","1.094","1.263","1.25"
"Income Quality","8.1728","1.6247","-105.4667","10.1311","-1.6938","-12.0462","-0.828","-15.075","7.1404","9.5571","5.2383","0.2056","3.0388","3.1857","-36.7857","3.8227","4.7042","3.0745","3.6644","2.7806","3.2121","1.026","-2.4482","2.4559","3.8458","2.5265","4.0805","-0.5099","3.6757","-3.1969","4.7326","4.3636","4.3803","-2.9767","6.513","2.2951","2.2265","1.586","2.4889"
"Payout Ratio","3.0","0.667","-10.0","2.5","-1.185","-7.111","-0.674","-12.8","3.933","6.444","2.375","0.25","2.8","2.0","-19.0","1.762","1.667","1.417","1.435","1.24","1.429","8.761","-0.333","0.435","0.513","0.236","0.448","-0.06","0.406","-0.333","0.367","0.458","0.458","-0.367","0.55","0.175","0.147","0.118","0.263"
