"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39719.0","39628.0","39537.0","39446.0"
"Book Value per Share","12.078","12.276","12.255","12.26","12.689","16.267","9.526","9.485","9.533","9.604","10.112","11.009","12.101","11.715","11.639","10.428","10.614","7.784","7.508","8.051","7.781","7.81","7.947","8.913","8.789","8.754","14.414","14.526","19.376","19.135","19.134","20.577","20.104","20.734","22.784","35.994","36.414","36.745","36.392"
"Tangible Book Value per Share","25.178","25.259","25.636","27.89","29.535","34.397","24.808","24.849","24.859","24.777","25.214","25.192","26.731","24.73","24.897","26.709","25.081","22.871","23.153","22.812","23.115","23.139","23.478","23.784","24.135","25.208","41.844","44.154","69.319","71.581","71.964","72.508","74.765","75.443","78.811","100.798","107.828","108.841","104.261"
"FCF per Share","0.539","-0.043","-0.478","0.288","0.541","0.06","0.319","0.327","0.501","-0.065","0.322","0.466","0.408","0.099","0.408","0.47","0.591","-0.176","0.356","0.087","0.37","-0.212","0.132","0.102","0.139","-0.227","0.456","0.189","0.742","0.624","0.208","-0.132","0.44","-2.362","-6.025","-0.79","0.099","-2.076","1.167"
"Interest Debt per Share","9.4535","9.4809","9.5066","11.7691","12.5885","14.4825","10.3733","10.5036","10.4563","10.3205","10.2991","10.1558","9.2175","9.2475","9.2566","10.4422","8.3765","7.5839","9.1548","7.9597","8.3128","8.3295","8.348","8.3834","8.3736","9.4165","15.8137","16.1484","24.2344","26.8398","26.9213","26.486","28.3787","28.4716","28.4773","32.293","38.4641","38.0427","33.7202"
"Cash per Share","0.9314","0.6061","0.9025","1.0259","0.6526","0.6566","1.978","2.0377","2.1698","2.2123","3.0123","3.0456","1.4418","1.3335","1.4217","2.3969","4.2724","1.172","1.6565","1.1278","1.6005","1.3548","1.7766","1.8049","1.6357","2.7237","4.5847","4.3104","8.724","10.2157","8.8429","7.7026","8.2609","7.8373","10.8571","19.4004","0.3834","0.3293","0.456"
"Debt to Equity Ratio","0.7827","0.7723","0.7757","0.96","0.992","0.8903","1.0889","1.1074","1.0969","1.0746","1.0185","0.9225","0.7617","0.7894","0.7953","1.0013","0.7892","0.9743","1.2194","0.9887","1.0683","1.0665","1.0504","0.9406","0.9527","1.0757","1.0971","1.1117","1.2507","1.4026","1.407","1.2872","1.4116","1.3732","1.2499","0.8972","1.0563","1.0353","0.9266"
"Total Debt To Total Assets","0.3747","0.3746","0.3701","0.4212","0.4254","0.4203","0.4168","0.4214","0.4193","0.4153","0.4072","0.4019","0.3439","0.3729","0.3707","0.3899","0.333","0.3305","0.3941","0.3478","0.3585","0.3588","0.3544","0.3514","0.3459","0.3725","0.3768","0.3647","0.3487","0.374","0.3731","0.3643","0.3786","0.3764","0.3604","0.3071","0.3427","0.3356","0.3106"
"Interest Coverage","1.58","2.8283","6.3333","3.1842","2.7456","1.9684","1.5517","2.6897","2.6824","2.4458","2.1905","14.6705","5.2169","3.9398","-0.9115","3.0319","3.925","3.2561","2.6429","2.4943","2.1744","1.2989","1.625","1.6163","1.0513","2.6667","0.6354","1.9263","1.1161","1.1698","-1.1271","1.3043","-0.2105","-2.8261","257.3333","1.4338","-1.2143","-0.9931","-0.62"
"Current Ratio","1.37","1.433","1.345","1.009","2.137","1.86","2.746","2.786","2.739","3.113","3.056","3.147","3.078","2.16","2.062","2.305","2.17","2.054","1.5","1.527","1.807","1.854","2.194","2.116","2.124","2.63","2.411","2.594","3.107","3.718","3.84","3.15","2.371","2.401","2.375","1.824","1.035","1.119","1.156"
"Income Quality","20.375","0.2229","-0.274","1.5286","3.1338","0.6714","5.7458","1.5667","2.7594","0.9667","1.9578","0.3062","1.15","0.5956","8.093","2.1847","1.9082","-0.4236","1.7622","1.0427","3.1786","-1.4634","2.2615","0.7452","11.4","-0.8788","1.3158","0.0869","13.5","-8.9","-0.4171","0.0","-1.1887","1.6515","0.9571","-0.1679","-1.9792","1.9054","-8.7143"
"Payout Ratio","10.333","1.476","0.408","1.033","1.476","2.818","2.818","0.886","1.115","1.706","0.829","0.134","0.458","0.71","3.667","0.815","0.571","0.654","0.654","0.682","0.938","1.875","1.154","0.517","7.5","0.833","-0.102","7.52","0.714","-0.5","-0.06","-0.5","-0.2","-0.105","0.451","-1.333","-0.857","-2.5",""
