"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","5.625","6.306","6.625","7.217","6.949","7.439","8.182","8.602","8.88","8.975","10.181","11.249","11.657","11.877","12.455","12.635","12.078","12.757","13.759","14.207","13.687","14.56","14.492","14.742","15.378","15.624","16.672","16.296","15.057","15.104","15.049","14.708","14.095","13.402","13.195","21.147","20.619","19.981","19.761"
"Tangible Book Value per Share","72.705","72.443","65.775","64.528","65.198","66.537","59.472","59.216","60.769","59.772","56.903","54.824","55.889","56.812","53.712","52.053","52.454","52.403","47.823","46.628","44.686","46.25","41.638","38.844","39.198","39.201","38.659","37.149","37.326","39.671","38.714","38.602","38.932","39.637","40.243","40.21","40.678","40.041","37.657"
"FCF per Share","3.622","1.934","1.225","0.309","3.555","1.938","0.939","0.296","3.565","1.634","-0.008","0.439","3.346","2.099","0.499","0.384","3.098","1.705","0.791","0.816","2.563","1.336","0.37","0.652","2.424","1.085","0.229","-0.369","1.806","0.945","0.526","0.493","1.207","0.884","-0.513","-0.558","0.362","0.271","-0.691"
"Interest Debt per Share","55.1968","54.4204","51.1429","49.5927","48.2887","48.281","44.623","43.8826","43.7002","43.2323","40.9937","38.8532","37.0211","37.9656","37.1508","36.3342","35.2463","36.2646","32.5238","31.3037","28.237","29.3258","26.0684","23.3346","21.9552","21.8456","21.3984","20.2426","18.5464","20.0199","19.7183","20.1158","19.98","20.5453","21.3753","21.4855","20.8847","20.7377","20.2728"
"Cash per Share","3.9769","2.1147","1.7165","3.0216","4.2697","2.8265","1.4728","2.1929","3.4154","1.4931","1.4846","2.0134","1.9402","1.5842","1.4888","2.0232","2.5171","1.5882","1.3902","1.6316","1.9601","1.6376","0.922","1.0665","1.7414","1.0043","0.8916","0.9517","1.3279","0.9115","0.8678","0.9518","0.9771","0.7605","0.7662","1.2847","1.3569","1.2936","1.1803"
"Debt to Equity Ratio","9.8126","8.6299","7.7199","6.8714","6.9486","6.4898","5.4537","5.1014","4.9212","4.817","4.0263","3.4538","3.1759","3.1965","2.9827","2.8756","2.9183","2.8428","2.3637","2.2035","2.0631","2.0141","1.7988","1.5829","1.4277","1.3982","1.2835","1.2422","1.2317","1.3254","1.3103","1.3677","1.4175","1.533","1.62","1.016","1.0129","1.0379","1.0259"
"Total Debt To Total Assets","0.5566","0.5524","0.5614","0.5593","0.5438","0.5344","0.5402","0.5339","0.5233","0.5266","0.5221","0.5088","0.4781","0.4854","0.497","0.4998","0.4862","0.5009","0.4821","0.4758","0.4521","0.4567","0.445","0.4244","0.4","0.4002","0.3976","0.3925","0.3621","0.3735","0.3766","0.3846","0.3794","0.3862","0.3963","0.3467","0.3377","0.3392","0.3449"
"Interest Coverage","3.8462","6.2121","7.6176","10.0","8.2059","5.9394","6.0","9.8485","9.2","8.6154","5.5517","12.6071","9.3103","6.5185","4.9706","10.5484","7.2059","2.2813","4.5882","9.0","7.4375","2.3636","2.8108","8.9706","6.4444","4.625","27.5","6.0","4.9167","2.64","4.3714","6.1471","5.8846","4.8947","-63.0","11.8571","9.8889","4.6842","10.6111"
"Current Ratio","0.947","0.98","0.892","0.954","0.972","1.041","0.891","0.969","1.0","1.01","1.004","1.017","0.948","1.049","1.084","1.11","1.059","1.025","0.966","1.137","1.137","1.198","1.107","1.09","1.087","1.123","1.112","1.053","0.933","0.983","0.923","0.932","0.893","0.877","0.882","0.863","0.938","0.927","0.943"
"Income Quality","5.4487","1.6879","1.1402","0.4082","2.8526","2.7188","1.234","0.4211","3.044","2.0738","1.0494","0.5146","3.1242","3.5","1.7442","0.5348","3.6391","10.1481","2.45","1.0126","3.2734","7.125","2.5536","0.9371","4.0965","3.1806","1.3544","-0.1859","3.7053","4.1","1.6438","1.0577","3.507","4.6667","0.0273","-0.3662","1.1327","2.0714","-0.6095"
"Payout Ratio","0.773","0.433","0.327","0.279","0.357","0.588","0.344","0.259","0.313","0.416","0.522","0.212","0.289","0.5","0.866","0.204","0.293","1.526","0.383","0.204","0.258","1.045","0.375","0.136","0.221","0.357","0.267","0.136","0.226","0.429","0.098","0.069","0.1","0.16","-0.005","0.05","0.073","0.167","0.068"
"Intangible Assets out of Total Assets","0.2668","0.2647","0.278","0.2723","0.2658","0.2636","0.2801","0.2795","0.2722","0.272","0.2753","0.282","0.2782","0.2736","0.2815","0.284","0.2764","0.2762","0.2911","0.2913","0.2846","0.2798","0.2893","0.2935","0.2858","0.2818","0.2816","0.2797","0.2713","0.2599","0.2606","0.2619","0.2608","0.255","0.2538","0.3511","0.3423","0.345","0.3594"
