"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","21.873","21.78","21.667","21.59","21.031","20.98","20.855","20.756","20.226","20.148","20.169","20.065","19.713","19.513","19.189","19.166","18.685","18.692","18.169","18.132","17.579","17.518","17.445","17.372","16.981","16.916","17.244","16.517","16.068","16.029","15.922","15.744","15.502","15.486","15.349","15.775","14.796","14.799","14.865"
"Tangible Book Value per Share","82.316","81.226","80.91","79.233","77.594","76.808","76.373","74.857","73.406","72.741","72.976","69.877","68.984","68.463","68.016","66.499","64.825","64.493","63.757","63.631","61.142","60.434","60.665","58.799","57.748","56.791","58.426","57.119","55.567","55.205","55.32","54.91","54.76","54.105","55.013","56.436","55.056","54.378","54.695"
"FCF per Share","-0.297","-0.061","-0.845","0.446","-0.177","0.201","-1.867","0.536","-0.362","0.424","-0.48","0.473","-0.609","-0.46","-0.648","0.143","-0.829","-0.224","-0.679","0.009","-0.448","-0.04","-0.247","0.657","-0.244","0.246","-2.174","0.04","-0.271","0.153","-0.4","0.306","-0.343","0.735","-0.252","-0.172","-0.689","0.139","-0.894"
"Interest Debt per Share","30.5687","29.9586","29.5236","28.801","28.3827","27.8822","27.7387","26.4022","26.1037","25.4928","25.6347","25.0287","25.3412","24.9726","24.4384","23.5684","23.5159","23.1429","23.0932","23.6657","22.2756","21.6746","21.6947","21.3324","21.2117","21.0087","21.6159","20.2384","19.747","19.3351","20.2117","18.8803","19.4702","18.8131","19.2771","20.1423","19.8545","19.2271","19.0338"
"Cash per Share","0.1207","0.1456","0.1661","0.6944","0.1507","0.1995","0.1671","0.796","0.2671","0.2624","0.1572","0.2724","0.1978","0.2649","0.2149","0.2044","0.1182","0.2306","0.1685","1.531","0.1309","0.2232","0.3208","0.6061","0.2095","0.1951","0.2313","0.4636","0.1434","0.1732","0.2528","0.1975","0.8333","0.662","0.5493","0.8845","0.1645","0.4093","0.1206"
"Debt to Equity Ratio","1.3976","1.3755","1.3626","1.334","1.3496","1.329","1.3301","1.272","1.2906","1.2653","1.271","1.2474","1.2855","1.2798","1.2736","1.2297","1.2586","1.2381","1.2711","1.3052","1.2672","1.2373","1.2436","1.228","1.2491","1.2419","1.2535","1.2253","1.229","1.2063","1.2695","1.1992","1.256","1.2148","1.2559","1.2769","1.3418","1.2992","1.2805"
"Total Debt To Total Assets","0.3714","0.3688","0.3649","0.3635","0.3658","0.363","0.3632","0.3527","0.3556","0.3505","0.3513","0.3582","0.3674","0.3648","0.3593","0.3544","0.3628","0.3588","0.3622","0.3719","0.3643","0.3586","0.3576","0.3628","0.3673","0.3699","0.37","0.3543","0.3554","0.3502","0.3654","0.3438","0.3556","0.3477","0.3504","0.3569","0.3606","0.3536","0.348"
"Interest Coverage","3.0076","3.1451","3.0865","5.1976","2.848","3.3648","3.0791","5.362","3.1274","2.6258","2.9611","4.9419","3.1479","3.8541","2.5492","4.8612","3.0139","3.5424","2.459","4.9094","2.8751","2.7085","2.4351","4.5919","2.6626","3.1861","2.4155","4.3035","2.5315","3.0094","2.8386","3.5579","2.256","2.8419","2.6978","3.4635","2.1994","2.7379","2.4548"
"Current Ratio","0.747","0.71","0.875","0.891","0.771","0.857","0.683","1.084","0.862","0.81","0.828","0.921","1.021","0.902","0.881","1.099","1.045","1.071","0.894","1.067","0.668","0.686","0.831","1.079","0.939","1.012","1.077","1.15","0.965","0.849","0.963","1.002","1.003","0.914","0.99","1.002","0.837","0.917","0.771"
