"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","10.239","10.0","9.88","10.357","10.24","10.106","10.098","10.104","10.18","9.929","10.17","10.205","10.452","10.29","10.911","10.699","10.324","11.335","10.803","10.559","10.28","10.312","9.803","9.441","9.423","9.247","8.379","7.793","6.862","7.681","7.347","7.115","6.94","7.094","6.089","5.648","5.786","5.764","5.988"
"Tangible Book Value per Share","19.858","18.246","18.608","18.852","18.83","18.16","18.45","18.327","18.391","17.968","18.009","18.177","18.19","18.126","17.967","17.915","17.294","17.344","16.937","16.686","16.383","16.293","15.912","15.446","15.605","15.243","14.419","13.83","12.33","11.107","10.851","10.287","9.898","9.798","10.073","10.595","10.665","10.382","10.651"
"FCF per Share","0.73","1.141","0.341","0.68","1.257","0.437","1.115","0.524","0.695","0.683","1.083","0.735","0.452","0.655","0.767","0.918","0.503","0.64","0.439","0.728","0.588","0.719","0.62","0.689","0.844","0.874","1.224","0.102","0.319","0.338","0.639","0.412","0.516","0.198","0.429","0.3","0.534","0.33","0.68"
"Interest Debt per Share","7.0082","5.7884","6.3337","6.2577","6.2577","6.1619","6.1608","6.1206","6.0999","5.9725","5.9642","5.8843","5.8356","5.8271","3.4894","3.4643","3.5085","3.5292","3.5248","3.5115","3.4637","3.4525","3.4566","3.4083","3.3714","3.4121","3.42","3.3995","3.1221","1.2851","1.2804","1.2791","1.2788","1.2818","2.7741","3.6194","3.5934","3.4471","3.4512"
"Cash per Share","4.2731","3.8549","3.345","2.7242","2.3027","1.966","3.5027","2.9522","2.5825","3.3935","5.4436","2.6874","2.3353","3.6396","2.3597","2.1249","1.9285","2.3851","2.3903","2.2836","2.0003","3.0041","2.5313","2.2839","3.623","4.6812","4.2443","2.9771","3.3534","3.7361","3.748","3.7203","3.0356","3.8805","3.6781","2.5398","2.7663","2.989","1.3821"
"Debt to Equity Ratio","0.6845","0.5789","0.6411","0.6042","0.6111","0.6097","0.6101","0.6057","0.5992","0.6015","0.5865","0.5766","0.5583","0.5663","0.3198","0.3238","0.3399","0.3114","0.3263","0.3326","0.3369","0.3348","0.3526","0.361","0.3578","0.369","0.4082","0.4363","0.455","0.1673","0.1743","0.1798","0.1843","0.1807","0.4556","0.6408","0.621","0.5981","0.5764"
"Total Debt To Total Assets","0.3415","0.3062","0.3287","0.3207","0.3212","0.3277","0.3226","0.3225","0.3202","0.3207","0.319","0.3119","0.309","0.3095","0.1868","0.186","0.1947","0.1951","0.1992","0.2012","0.2028","0.2031","0.2078","0.2108","0.2065","0.2152","0.2299","0.238","0.2446","0.1114","0.1135","0.1194","0.1238","0.1252","0.2638","0.3279","0.3234","0.3187","0.3112"
"Interest Coverage","0.0","79.3974","415.7449","153.6169","0.0","21.5539","31.6849","16.6267","16.9558","-165.4697","47.4193","34.9065","33.1887","47.0461","42.1758","14.8915","19.4269","16.5386","23.469","14.8042","17.0158","20.7008","19.0796","18.0087","24.1064","14.6106","55.5757","63.9076","40.5495","-23.3417","246.4077","46.0673","5.2576","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","9.613","4.325","3.877","4.028","3.825","4.147","4.297","4.189","4.158","4.085","3.85","3.404","3.393","3.1","2.058","1.89","1.679","5.94","6.746","6.567","6.392","7.148","6.151","6.57","6.038","7.124","6.748","5.997","5.956","5.34","5.411","6.649","7.473","7.519","6.281","5.714","5.134","5.343","5.6"
"Income Quality","1.1415","1.9965","0.7444","1.1182","2.0769","0.874","2.2333","1.1025","1.2659","1.3794","1.7258","1.1887","0.7495","1.2137","1.2303","1.8022","0.9184","1.3295","1.1825","1.599","1.2551","1.7033","1.4248","1.5804","1.5397","1.5305","2.1828","0.2435","0.6624","0.6993","1.7349","1.8423","3.8669","0.7798","1.0756","1.1683","1.9055","1.1103","2.0054"
"Payout Ratio","0.522","0.541","0.579","0.508","0.516","0.554","0.608","0.633","0.544","0.569","0.453","0.453","0.446","0.424","0.379","0.472","0.424","0.44","0.55","0.468","0.449","0.404","0.388","0.396","0.328","0.262","0.271","0.242","0.276","0.296","0.41","0.609","1.0","0.5","0.318","0.483","0.467","0.387","0.333"
"Intangible Assets out of Total Assets","0.0323","0.0348","0.0343","0.0338","0.0333","0.0343","0.034","0.0345","0.0346","0.0351","0.0368","0.0365","0.0368","0.0374","0.0381","0.038","0.0405","0.0412","0.0428","0.044","0.0409","0.0416","0.0433","0.0445","0.0441","0.0388","0.0306","0.0317","0.034","0.037","0.0378","0.0398","0.0415","0.0428","0.0422","0.0403","0.0402","0.0401","0.0396"
"Selling, General and Administrative Expense of Revenue","0.1449","0.1391","0.143","0.1441","0.1445","0.1406","0.1492","0.1607","0.1496","0.1397","0.1484","0.1554","0.151","0.1588","0.1564","0.1608","0.1596","0.1705","0.1703","0.169","0.1651","0.1633","0.174","0.1597","0.1566","0.158","0.1526","0.1407","0.1413","0.1708","0.1657","0.1895","0.1955","0.1966","0.1855","0.1822","0.1905","0.1944","0.1947"
"Research and Development Expense of Revenue","0.2487","0.2695","0.2719","0.2448","0.2367","0.2375","0.2497","0.2468","0.2307","0.2327","0.2248","0.2289","0.1992","0.2069","0.2183","0.2087","0.1927","0.2088","0.2532","0.2094","0.2084","0.2062","0.2118","0.1905","0.1723","0.1752","0.1736","0.1559","0.1589","0.1781","0.1984","0.2172","0.2212","0.2233","0.1897","0.1851","0.1858","0.191","0.1917"
"Working Capital","3788075000.0","2982920000.0","2906010000.0","3021375000.0","2970336000.0","2972261000.0","3075385000.0","3030819000.0","3022563000.0","2971845000.0","2602125000.0","2333328000.0","2234851000.0","2077787000.0","1515749000.0","1319036000.0","952108000.0","1910851000.0","1928029000.0","1907402000.0","1942020000.0","2107533000.0","1970117000.0","2046809000.0","2186914000.0","2254646000.0","2155636000.0","1953079000.0","1849080000.0","1549905000.0","1596758000.0","1651976000.0","1587876000.0","1519402000.0","1474972000.0","1503728000.0","1395028000.0","1479530000.0","1555063000.0"
