"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","42.286","42.723","40.351","41.141","41.14","41.463","41.031","40.946","41.297","40.82","41.185","42.345","42.184","40.821","39.831","38.451","37.254","37.273","36.379","36.117","34.817","33.313","32.211","32.072","31.577","30.549","29.12","28.483","29.836","23.837","23.291","22.32","21.844","21.653","22.208","24.121","23.625","23.017","22.286"
"Tangible Book Value per Share","80.951","83.012","79.657","81.846","82.591","82.545","80.894","81.704","83.294","81.761","82.534","82.717","83.501","81.697","79.388","78.963","76.83","75.805","73.211","72.616","70.495","73.231","69.067","66.479","66.22","64.44","59.991","58.917","61.955","51.416","49.149","47.715","46.04","45.024","44.833","49.33","50.487","48.262","44.308"
"FCF per Share","0.908","1.274","0.846","0.471","0.06","0.051","-0.422","0.665","0.403","0.275","-0.347","0.984","0.387","1.799","0.408","0.984","-0.218","1.361","0.695","1.173","0.4","2.428","0.442","1.516","1.031","1.977","1.068","1.036","0.764","1.544","0.367","0.694","-0.69","0.857","1.014","1.783","1.617","3.26","1.24"
"Interest Debt per Share","9.8967","10.5165","10.3123","11.1307","10.7247","10.3806","9.2932","8.2294","8.0935","7.8125","6.877","5.1197","5.0683","4.9446","5.196","4.8375","4.3534","2.9934","2.5401","2.6915","3.332","3.3204","3.5536","3.4475","3.3471","3.2017","2.9775","3.5928","4.349","2.0016","2.0233","1.9982","1.9005","1.8625","1.8529","1.9761","1.8239","1.8703","1.7509"
"Cash per Share","0.9539","1.181","0.8819","1.2282","1.051","1.1669","0.89","1.0304","1.0471","1.2461","1.1","1.1757","1.4626","1.3434","1.1246","1.3061","1.1272","1.4708","2.1764","2.8729","3.8529","4.0624","2.7264","2.3148","1.7322","2.6689","1.6763","2.4046","2.8207","2.9107","2.2524","2.5952","3.192","5.0534","6.1803","7.0608","7.3751","7.6473","6.2195"
"Debt to Equity Ratio","0.234","0.2462","0.2556","0.2705","0.2607","0.2504","0.2265","0.201","0.196","0.1914","0.167","0.1209","0.1201","0.1211","0.1305","0.1258","0.1169","0.0803","0.0698","0.0745","0.0957","0.0997","0.1103","0.1075","0.106","0.1048","0.1022","0.1261","0.1458","0.084","0.0869","0.0895","0.087","0.086","0.0834","0.0819","0.0772","0.0813","0.0786"
"Total Debt To Total Assets","0.1223","0.1267","0.1295","0.136","0.1299","0.1258","0.1149","0.1007","0.0972","0.0956","0.0833","0.0619","0.0607","0.0605","0.0655","0.0613","0.0567","0.0395","0.0347","0.0371","0.0473","0.0453","0.0515","0.0519","0.0505","0.0497","0.0496","0.061","0.0702","0.0389","0.0412","0.0419","0.0413","0.0414","0.0413","0.0401","0.0361","0.0388","0.0395"
"Interest Coverage","27.8481","40.9863","2.4","29.1792","33.2","23.8442","43.9667","72.859","81.9647","74.8636","127.9118","150.25","216.8438","227.6212","-93.8882","270.0385","149.8588","658.375","157.2883","288.5254","489.94","161.4299","223.8933","188.1327","409.9111","644.2414","137.9182","235.2037","314.0","215.4182","282.0278","147.1774","22.9271","72.9439","112.822","83.2547","208.5327","156.3231","155.0781"
"Current Ratio","0.828","0.808","0.869","0.859","0.89","0.908","0.79","0.861","0.885","0.906","0.819","0.888","0.921","0.882","0.827","0.843","0.865","0.893","1.005","1.03","1.038","0.952","0.941","0.925","0.97","0.979","0.942","1.014","1.076","1.068","1.061","1.083","1.153","1.309","1.472","1.42","1.346","1.377","1.474"
