"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","20.158","19.383","18.58","36.53","36.241","36.039","35.851","34.106","36.488","36.713","37.416","40.938","42.103","41.261","39.964","39.093","38.195","37.59","36.214","37.411","35.645","36.817","34.248","36.35","37.054","35.754","34.619","34.44","32.443","51.481","32.442","31.748","30.662","27.498","28.826","34.404","35.385","35.551","37.16"
"Tangible Book Value per Share","47.17","46.54","55.136","56.946","56.505","56.705","83.959","53.395","55.585","57.497","58.944","56.225","57.187","58.025","56.3","56.018","57.356","58.335","57.114","56.12","53.687","57.795","52.69","52.963","54.297","53.807","53.576","54.335","52.422","85.4","92.089","81.645","83.211","79.233","86.206","89.673","89.407","87.414","84.264"
"FCF per Share","1.208","0.334","2.584","1.184","0.553","-0.15","4.192","0.797","0.896","0.122","3.606","1.703","0.699","0.729","2.895","2.921","1.414","-0.624","5.168","1.392","0.344","-0.417","3.354","0.713","0.611","-0.397","3.31","0.683","1.616","1.462","4.229","2.656","2.664","-0.185","0.439","0.807","1.695","-0.044","3.938"
"Interest Debt per Share","19.6777","19.6777","24.9207","29.1285","29.1569","29.1757","28.7593","28.3534","27.7489","27.326","27.1244","26.5706","26.416","27.0223","26.0609","24.4732","26.5461","27.9089","26.6835","28.6138","27.1861","28.9154","24.8959","26.2064","26.5775","24.6098","24.8184","27.464","27.8948","45.8077","42.6301","34.2707","37.1745","36.5362","38.7431","37.788","35.3587","33.5147","32.2968"
"Cash per Share","4.9027","4.1118","8.7712","5.6173","4.7502","4.6954","4.8518","3.009","5.9555","3.1361","4.9441","3.5208","3.4506","5.2897","5.7314","3.0766","3.0263","3.2455","3.9166","2.6989","2.4159","4.5469","2.6012","2.2373","3.1345","2.8583","3.4919","2.8199","3.1384","4.6433","17.4818","5.3344","5.6476","2.5394","5.6793","4.0035","3.7503","3.6706","4.7554"
"Debt to Equity Ratio","0.9762","1.0152","1.3413","0.7974","0.8045","0.8096","0.8022","0.8313","0.7605","0.7443","0.7249","0.649","0.6274","0.6549","0.6521","0.626","0.695","0.7425","0.7368","0.7648","0.7627","0.7854","0.7269","0.721","0.7173","0.6883","0.7169","0.7974","0.8598","0.8898","1.314","1.0794","1.2124","1.3287","1.344","1.0984","0.9992","0.9427","0.8691"
"Total Debt To Total Assets","0.3093","0.3142","0.3499","0.2994","0.2997","0.2972","0.285","0.3037","0.2939","0.285","0.2799","0.2748","0.2704","0.2773","0.2762","0.2599","0.2779","0.2888","0.2828","0.3092","0.307","0.3091","0.2867","0.3011","0.2994","0.279","0.2813","0.3078","0.3204","0.3254","0.3855","0.3423","0.3644","0.3754","0.3735","0.3488","0.3269","0.3188","0.317"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.458","1.797","1.502","1.212","1.162","1.108","1.272","1.3","1.367","1.458","1.461","1.382","1.402","1.282","1.497","1.429","1.302","1.468","1.4","1.35","1.489","1.533","1.24","1.275","1.31","1.507","1.346","1.425","1.811","1.495","2.181","1.679","1.654","1.839","1.495","1.563","1.579","1.535","2.095"
"Income Quality","1.9759","6.875","-0.6765","2.0442","1.1203","-0.7353","3.2399","-7.9706","29.0833","0.5022","4.285","2.2368","1.2218","1.0178","3.1634","3.3601","1.9668","-0.2939","5.2925","2.1064","0.7379","-0.0558","3.408","1.1438","1.0878","-0.1068","7.6433","1.464","2.9868","-8.9286","5.3722","4.9593","4.35","0.5238","185.0","1.0078","2.0558","-0.2131","2.644"
"Payout Ratio","0.094","6.25","-0.092","0.456","0.517","2.583","0.28","-1.75","7.0","0.35","0.347","0.272","0.284","0.272","0.23","0.25","0.261","0.25","0.163","0.202","0.185","0.212","0.157","0.185","0.193","0.212","0.354","0.236","0.266","-1.063","0.202","0.304","0.266","0.85","0.142","0.177","-0.157","0.104",""
"Intangible Assets out of Total Assets","0.2585","0.2568","0.2259","0.4146","0.4193","0.4223","0.168","0.4281","0.4113","0.4003","0.3918","0.4186","0.4146","0.4046","0.4032","0.4051","0.3996","0.3963","0.3946","0.3935","0.3938","0.3822","0.3933","0.3915","0.3883","0.39","0.3928","0.391","0.3978","0.3934","0.1673","0.1845","0.1843","0.1858","0.1689","0.1723","0.1734","0.1686","0.1728"
"Selling, General and Administrative Expense of Revenue","0.2505","0.2706","-0.0589","0.1963","0.2474","0.2681","-0.0981","0.1973","0.1974","0.2047","-0.157","0.1965","0.1941","0.1981","0.2333","0.1939","0.1931","0.1999","0.2253","0.1956","0.1969","0.1941","0.205","0.1986","0.1993","0.2048","0.2001","0.2093","0.2111","0.2328","0.2667","0.274","0.2715","0.2825","0.2522","0.2604","0.2581","0.2593","0.2429"
"Research and Development Expense of Revenue","0.0413","0.0481","-0.0418","0.0299","0.0426","0.0482","-0.0483","0.0312","0.0309","0.0316","-0.0569","0.029","0.0289","0.0304","0.0368","0.0277","0.0276","0.0296","0.036","0.0305","0.03","0.0314","0.0338","0.0328","0.0312","0.0337","0.0323","0.0348","0.0352","0.0434","0.0533","0.0569","0.0541","0.0574","0.0485","0.0522","0.0492","0.051","0.0488"
