"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40543.0","","",""
"Book Value per Share","13.168","12.533","12.207","12.421","12.138","12.088","11.636","11.3","11.46","10.923","11.674","12.036","12.241","12.081","12.16","11.652","11.068","10.98","11.145","11.049","10.484","10.512","9.812","10.569","14.729","","",""
"Tangible Book Value per Share","15.624","14.916","14.721","15.131","14.657","17.962","14.729","14.53","14.793","14.234","14.973","14.813","14.776","14.569","14.596","13.947","13.155","13.003","13.692","13.394","12.896","12.837","12.245","10.829","10.195","","",""
"FCF per Share","0.362","0.05","1.059","0.675","0.329","0.022","0.916","0.647","0.353","0.011","0.664","0.697","0.289","-0.011","0.678","0.4","0.065","-0.038","0.731","0.441","0.21","0.173","0.815","0.374","0.32","0.293","0.666",""
"Interest Debt per Share","13.4243","13.2906","13.1996","6.7485","6.89","10.4871","7.1133","7.052","7.0358","7.0071","7.0472","6.8057","6.7721","6.7371","6.7336","6.4903","6.4941","6.4855","6.475","6.5196","6.4909","6.5049","6.463","6.5385","0.0217","","",""
"Cash per Share","1.6036","1.598","1.7168","3.6754","3.2719","6.6797","3.7968","3.3794","3.3058","3.0423","3.6389","2.9034","2.4537","2.5257","2.892","2.1274","1.9417","2.0183","2.7082","2.2808","1.9268","1.8716","1.7042","0.9967","0.7096","","",""
"Debt to Equity Ratio","1.0195","1.0604","1.0813","0.5433","0.5676","0.8675","0.6113","0.6241","0.6139","0.6415","0.6037","0.5654","0.5532","0.5576","0.5538","0.557","0.5867","0.5907","0.581","0.5901","0.6191","0.6188","0.6587","0.6187","0.0015","","",""
"Total Debt To Total Assets","0.3595","0.3657","0.3658","0.2532","0.2629","0.3531","0.2736","0.2745","0.2706","0.2762","0.2657","0.2576","0.2535","0.2543","0.2535","0.2513","0.2611","0.2626","0.2575","0.2637","0.2691","0.2672","0.2741","0.2908","0.0011","","",""
"Interest Coverage","6.7143","4.5","5.5","6.9375","5.5","5.6429","10.1429","9.2308","7.5","6.5","10.8462","10.1429","9.0","5.3571","8.6429","6.9286","5.0714","4.9231","7.3571","8.1429","9.8462","7.0","6.6","83.0","116.0","0.0","0.0","0.0"
"Current Ratio","1.634","1.564","1.485","2.488","2.448","1.798","2.436","2.475","2.456","2.369","2.286","2.382","2.383","2.323","2.355","2.368","2.417","2.437","2.399","2.336","2.245","2.118","2.018","2.212","2.059","","",""
"Income Quality","1.0","0.9286","4.46","2.0411","1.1831","0.6212","1.7895","1.5568","1.1351","0.6094","1.6979","1.4623","0.8837","0.449","2.3676","1.3836","0.913","0.4878","2.274","1.4583","0.7191","0.9683","3.7885","1.1818","1.25","0.9103","1.7423",""
"Payout Ratio","0.327","0.581","0.536","0.366","0.385","0.405","0.222","0.292","0.341","0.4","0.245","0.224","0.277","0.481","0.324","0.308","0.48","0.545","0.25","0.256","0.208","0.294","0.357","0.0","0.0","0.0","",""
"Intangible Assets out of Total Assets","0.5816","0.5896","0.5921","0.4322","0.4408","0.3952","0.4335","0.4344","0.431","0.439","0.4355","0.4393","0.4469","0.45","0.4506","0.4601","0.471","0.4735","0.4554","0.4582","0.4654","0.4726","0.4807","0.5184","0.4961","","",""
"Selling, General and Administrative Expense of Revenue","0.232","0.254","0.2283","0.2441","0.2436","0.2586","0.2243","0.2295","0.237","0.2461","0.2226","0.2305","0.2408","0.2472","0.2352","0.2663","0.2635","0.2696","0.2394","0.2481","0.2277","0.2497","0.2333","0.229","0.2255","0.236","0.2353","0.227"
"Research and Development Expense of Revenue","0.0378","0.0392","0.032","0.0256","0.029","0.0295","0.0241","0.0255","0.0272","0.0275","0.025","0.0249","0.0269","0.0298","0.0252","0.0249","0.0292","0.0296","0.0268","0.0258","0.029","0.0303","0.0269","0.0245","0.0268","0.027","0.0225","0.0223"
"Working Capital","761000000.0","672000000.0","601000000.0","1251000000.0","1187000000.0","1143000000.0","1182000000.0","1202000000.0","1219000000.0","1140000000.0","1161000000.0","1175000000.0","1170000000.0","1134000000.0","1156000000.0","1097000000.0","1043000000.0","1036000000.0","1093000000.0","1049000000.0","970000000.0","916000000.0","832000000.0","811000000.0","687000000.0","","",""
"Tangible Asset Value","2806000000.0","2679000000.0","2641000000.0","2713000000.0","2625000000.0","3208000000.0","2638000000.0","2627000000.0","2685000000.0","2592000000.0","2728000000.0","2699000000.0","2710000000.0","2688000000.0","2690000000.0","2583000000.0","2439000000.0","2416000000.0","2548000000.0","2490000000.0","2396000000.0","2380000000.0","2285000000.0","1999000000.0","1882000000.0","","",""
"Net Current Asset Value","-2364000000.0","-2396000000.0","-2428000000.0","-459000000.0","-513000000.0","-570000000.0","-568000000.0","-585000000.0","-583000000.0","-658000000.0","-642000000.0","-596000000.0","-639000000.0","-667000000.0","-646000000.0","-727000000.0","-780000000.0","-792000000.0","-731000000.0","-708000000.0","-785000000.0","-829000000.0","-920000000.0","-720000000.0","320000000.0","","",""
"Invested Capital","3729000000.0","3588000000.0","3463000000.0","2423000000.0","2453000000.0","2456000000.0","2409000000.0","2476000000.0","2525000000.0","2481000000.0","2446000000.0","2560000000.0","2656000000.0","2608000000.0","2545000000.0","2589000000.0","2547000000.0","2525000000.0","2468000000.0","2493000000.0","2465000000.0","2420000000.0","2356000000.0","2353000000.0","1106000000.0","","",""
"Average Receivables","864000000.0","810000000.0","796000000.0","777000000.0","778000000.0","745000000.0","760000000.0","783000000.0","801000000.0","770500000.0","794000000.0","824500000.0","811000000.0","785000000.0","796500000.0","823000000.0","781000000.0","764000000.0","766000000.0","777000000.0","730000000.0","","","","","","",""
