"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","50.936","49.395","48.272","48.703","47.886","48.274","48.637","49.099","58.521","38.712","38.62","38.695","38.303","36.873","36.869","36.092","34.869","33.833","33.917","33.458","32.568","31.875","30.835","29.838","31.414","30.448","29.385","29.3","28.403","28.147","26.825","27.99","27.041","25.081","25.258","25.017","24.102","24.544","23.379"
"Tangible Book Value per Share","34.934","38.051","36.221","36.308","38.153","38.382","41.712","45.14","55.097","83.499","38.563","38.565","37.89","35.989","36.661","35.544","34.366","32.526","32.986","30.873","29.852","29.093","28.504","25.412","24.771","23.938","23.381","22.4","21.65","21.063","19.715","18.216","17.573","16.343","16.058","16.537","15.32","14.932","14.022"
"FCF per Share","1.604","0.726","2.388","1.01","1.31","0.8","1.697","-0.017","0.863","-0.031","1.64","1.021","0.947","0.639","1.467","1.212","0.643","0.623","1.623","1.617","0.954","0.897","1.795","1.455","1.019","0.617","1.194","1.29","1.059","1.028","1.586","1.388","0.57","0.455","-0.066","0.771","0.659","0.567","1.35"
"Interest Debt per Share","52.942","57.2491","56.1228","57.8811","55.3335","55.5592","56.5539","58.5484","69.652","53.3012","8.4051","9.9195","10.0202","9.9355","9.791","9.9176","10.0006","10.0937","10.5376","9.9621","9.8739","9.6809","9.6265","8.2232","5.9911","5.92","5.8152","5.7302","5.5998","5.5517","5.3644","2.8099","3.0438","2.9815","2.0568","1.4735","1.4418","0.5028","0.4474"
"Cash per Share","2.2299","5.1691","3.1658","2.3753","4.8962","4.9815","7.1781","7.2084","8.2347","51.7265","6.3874","5.7237","5.7524","5.22","6.3267","5.3965","4.2056","3.8945","5.1175","4.6037","3.7158","3.7993","4.3018","2.9462","3.259","2.9886","3.4058","4.623","4.7236","4.2926","3.2907","2.0716","1.3051","0.9729","0.9624","2.4259","1.7115","2.0594","2.0009"
"Debt to Equity Ratio","1.0394","1.159","1.1626","1.1884","1.1555","1.1509","1.1628","1.1925","1.1902","1.3769","0.2176","0.2563","0.2616","0.2694","0.2656","0.2748","0.2868","0.2983","0.3107","0.2978","0.3032","0.3037","0.3122","0.2756","0.1907","0.1944","0.1979","0.1956","0.1972","0.1972","0.2","0.1004","0.1126","0.1189","0.0814","0.0589","0.0598","0.0205","0.0191"
"Total Debt To Total Assets","0.4038","0.4266","0.4213","0.4284","0.4248","0.4228","0.4233","0.4464","0.4429","0.5271","0.1476","0.1733","0.1751","0.1791","0.1746","0.1802","0.1856","0.1947","0.202","0.1974","0.2008","0.1996","0.2019","0.1883","0.1391","0.1405","0.1428","0.1423","0.1444","0.1441","0.1448","0.0785","0.0876","0.0913","0.0636","0.0468","0.0474","0.0169","0.0157"
"Interest Coverage","3.3876","4.2002","1.3407","2.141","2.2588","2.7562","2.4833","1.3502","-1.8827","10.8312","13.0375","15.1104","15.9873","20.0867","21.0303","12.6199","11.7322","16.6209","10.8942","13.8579","16.9171","17.0114","12.6667","20.6308","20.0305","23.0154","7.4035","19.1268","15.951","20.1438","22.8857","48.5714","74.125","75.6216","0.0","0.0","0.0","0.0","122.6552"
"Current Ratio","1.476","1.913","1.958","2.032","2.404","3.355","3.618","3.579","3.121","13.115","4.212","3.964","4.439","4.405","4.069","4.771","4.466","4.538","4.283","4.807","5.092","3.855","3.779","4.556","4.578","4.248","4.284","4.305","4.956","4.386","3.964","3.619","3.48","3.121","2.825","2.783","2.733","2.816","2.782"
