"","42947.0","42855.0","42766.0","42674.0","42582.0","42490.0","42400.0","42308.0","42216.0","42124.0","42035.0","41943.0","41851.0","41759.0","41670.0","41578.0","41486.0","41394.0","41305.0","41213.0","41121.0","41029.0","40939.0","40847.0","40755.0","40663.0","40574.0","40482.0","40390.0","40298.0","40209.0","40117.0","40025.0","39933.0","39844.0","39752.0","39660.0","39568.0","39478.0","39386.0"
"Book Value per Share","14.355","13.62","13.345","13.015","13.363","12.767","12.295","12.627","12.358","12.449","12.61","15.919","16.877","16.895","16.348","15.922","14.121","15.377","15.412","14.891","13.994","13.569","12.92","12.415","12.046","11.392","9.602","9.384","8.075","7.54","7.443","7.306","7.214","7.032","7.325","7.168","8.798","8.694","8.553","8.601"
"Tangible Book Value per Share","16.43","15.81","15.211","14.936","14.668","14.092","13.103","14.145","13.256","13.638","13.714","23.0","19.79","21.423","20.306","20.25","18.696","19.09","18.769","18.463","16.443","21.328","20.365","20.349","19.284","19.023","17.663","22.517","20.715","20.106","19.451","19.796","16.675","16.683","17.92","17.179","18.392","18.752","17.838","18.133"
"FCF per Share","0.576","0.667","0.261","0.558","0.523","0.702","0.222","0.652","0.268","0.521","-0.155","0.423","-0.072","0.823","0.447","1.039","0.478","0.768","0.539","1.216","0.549","0.908","0.299","1.329","0.632","0.942","0.236","0.985","0.182","0.566","0.014","0.536","0.032","0.299","-0.048","0.599","0.359","0.793","-0.043","0.955"
"Interest Debt per Share","6.4829","6.3645","6.1863","5.8405","5.8062","5.7945","5.2675","5.0152","4.9849","4.9581","4.9345","4.994","6.6347","8.0871","8.0931","8.1295","7.9676","6.829","6.804","6.7874","6.3621","6.2557","6.2672","6.2968","6.2299","6.1787","6.1643","10.7297","10.5994","8.3161","8.3649","8.4694","6.2406","6.2616","6.2792","5.9524","6.395","6.5399","5.7305","5.5505"
"Cash per Share","7.9844","7.4424","6.9596","7.0215","6.7662","6.5613","5.8693","6.803","6.25","6.5778","6.3036","6.6607","7.1587","8.8589","8.2342","8.0572","6.8732","7.3014","7.0605","6.7557","5.5259","11.1954","10.523","10.1643","8.9109","8.5735","7.6513","12.2064","11.1787","12.0948","11.6236","11.793","8.8319","8.6395","8.3761","8.3669","8.9006","9.0744","8.0512","9.1516"
"Debt to Equity Ratio","0.4516","0.4673","0.4636","0.4487","0.4345","0.4539","0.4284","0.3972","0.4034","0.3983","0.3913","0.3137","0.3931","0.4787","0.495","0.5106","0.5642","0.4441","0.4415","0.4558","0.4546","0.461","0.4851","0.5072","0.5172","0.5424","0.642","1.1434","1.3126","1.1029","1.1239","1.1592","0.865","0.8905","0.8573","0.8304","0.7268","0.7522","0.67","0.6453"
"Total Debt To Total Assets","0.2519","0.2549","0.253","0.2443","0.244","0.2473","0.2373","0.2213","0.2282","0.2234","0.2205","0.1538","0.2135","0.2442","0.2533","0.2526","0.2628","0.2225","0.2216","0.2242","0.2269","0.2313","0.2397","0.2412","0.2477","0.2479","0.2659","0.3807","0.4042","0.3726","0.3843","0.3816","0.3276","0.3276","0.3077","0.3033","0.307","0.3094","0.285","0.2763"
"Interest Coverage","11.1579","10.55","10.65","8.9474","8.8824","7.5","8.8889","9.9375","8.4118","6.3529","6.1875","2.6522","7.0357","6.6","6.8966","7.5667","8.8519","8.92","8.8","10.8462","10.9167","12.72","10.8462","13.7391","15.05","14.0","9.6087","10.0","10.4583","7.3182","4.6087","4.7619","-0.9524","-1.5217","2.1739","8.7879","7.9355","7.7586","5.9","9.7391"
"Current Ratio","3.22","3.201","3.338","3.847","3.067","3.079","3.589","3.777","4.077","3.892","3.938","3.256","3.061","3.128","3.275","3.11","2.957","2.525","2.553","2.445","2.015","3.275","3.352","3.032","3.47","3.201","3.27","2.001","1.966","2.109","2.165","3.527","2.923","2.623","2.662","2.392","1.753","1.703","1.896","2.207"
"Income Quality","1.3029","1.5671","0.6905","1.8571","1.5645","2.7912","0.9174","1.7214","0.973","2.1034","-0.3175","2.7059","0.1905","2.3381","0.9949","1.7059","1.2798","1.8976","1.3687","1.1412","0.9877","1.3843","0.6522","1.7647","0.7636","1.89","0.6218","1.2774","0.439","2.0833","0.3797","8.52","-2.1579","-1.3564","0.2656","1.1169","1.0","1.8786","0.0333","2.2111"
