"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","7.542","6.857","7.305","8.286","7.458","7.811","8.94","5.6","5.248","3.968","2.818","6.903","5.673","2.322","-8.138","-23.611","-24.506","-24.983","-23.822","-21.997","-26.748","-25.907","-21.212","-14.418","-13.522","-11.843","-11.837","-10.938","-11.812","-11.701","-10.495","-10.215","-10.528","-11.143","-10.529","3.719","6.654","9.98","10.665"
"Tangible Book Value per Share","95.457","91.837","86.871","84.595","77.394","72.273","66.751","63.057","59.906","57.966","51.437","52.463","53.308","79.168","106.917","79.815","78.193","71.142","67.53","71.366","73.749","73.108","71.14","73.742","77.331","81.314","75.275","76.136","77.8","76.74","76.515","92.014","84.709","87.876","90.311","107.307","115.952","115.336","114.687"
"FCF per Share","0.993","1.127","-1.482","-0.219","1.271","1.769","-2.047","-0.448","0.917","1.563","-0.686","-2.325","-0.339","0.45","-5.438","-1.723","0.749","-0.474","-2.839","-1.712","0.611","2.508","0.075","-2.351","-1.352","1.029","-1.221","-2.255","0.908","0.418","-1.056","-1.804","0.168","1.05","-3.914","-5.531","1.828","0.938","-0.032"
"Interest Debt per Share","50.466","48.6815","46.9848","44.0506","39.5142","36.0586","32.6197","30.6049","27.1276","27.1614","24.705","23.7327","23.227","35.3858","50.0569","31.4939","28.8751","24.7769","25.457","23.9597","24.9648","25.5017","24.5207","34.6651","35.6323","36.3429","33.4127","33.8958","34.5555","34.7549","35.1836","41.4194","35.4164","36.9562","39.3066","44.3007","43.6509","43.8353","44.7251"
"Cash per Share","1.9083","1.8189","1.8528","1.9173","1.8783","1.9668","1.7213","2.5691","2.4524","2.591","2.4649","2.851","2.9048","4.6785","6.481","4.9236","4.3756","4.3517","3.9669","4.0415","3.4092","3.4181","3.0457","2.321","2.3241","2.2223","1.8543","1.9487","1.9777","1.9512","1.8439","2.2509","2.2846","2.3261","2.3318","2.9027","2.8903","2.5219","2.3121"
"Debt to Equity Ratio","6.6915","7.0995","6.4317","5.3161","5.2982","4.6166","3.6488","5.4654","5.1689","6.8459","8.7679","3.4379","4.094","15.2374","-6.1512","-1.3339","-1.1783","-0.9918","-1.0686","-1.0892","-0.9333","-0.9843","-1.156","-2.4043","-2.6352","-3.0686","-2.8228","-3.0988","-2.9254","-2.9702","-3.3525","-4.0549","-3.364","-3.3165","-3.7332","11.9122","6.5596","4.3925","4.1935"
"Total Debt To Total Assets","0.4661","0.4664","0.4748","0.4567","0.4475","0.4357","0.4247","0.4221","0.3926","0.4047","0.4099","0.3869","0.3733","0.3815","0.3973","0.3946","0.3693","0.3483","0.363","0.3357","0.3385","0.3488","0.3447","0.4701","0.4608","0.4469","0.4439","0.4452","0.4442","0.4529","0.4598","0.4501","0.4181","0.4205","0.4352","0.4128","0.3765","0.3801","0.39"
"Interest Coverage","5.9087","2.4202","2.9763","5.756","6.996","5.6736","2.0699","8.8037","8.7085","5.4905","3.5773","5.519","6.6262","3.0288","-9.8645","2.2788","2.3665","-0.4291","-1.3721","-0.4783","-0.4695","-8.3258","-4.9189","0.2322","-0.3302","-1.18","0.3383","1.701","0.9474","-1.4163","-1.8612","-1.1374","-1.3353","-1.0161","-0.7887","1.152","-6.3417","-0.6473","0.5483"
"Current Ratio","0.684","0.695","0.744","0.76","0.75","0.707","0.734","0.968","0.938","0.993","0.877","0.968","0.992","1.008","1.037","1.014","0.903","0.753","0.785","0.762","0.793","0.815","0.783","0.766","0.819","0.896","0.779","0.765","0.785","0.829","0.859","0.817","0.622","0.602","0.633","0.792","0.853","0.785","0.852"
