"","42917.0","42826.0","42735.0","42637.0","42546.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40810.0","40719.0","40628.0","40537.0","40446.0","40355.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","25.49","25.658","24.986","23.896","23.248","23.658","23.074","21.136","21.934","22.266","21.107","18.798","20.114","19.627","20.675","19.521","19.183","20.599","19.376","17.998","17.044","15.684","13.818","11.791","10.697","9.513","8.495","7.465","6.752","6.194","5.655","5.033","4.138","3.897","3.681","3.591","3.172","2.932","2.741"
"Tangible Book Value per Share","64.882","62.467","60.934","58.333","54.535","53.711","51.117","49.821","46.131","43.568","43.281","37.595","35.987","32.663","34.923","31.796","30.167","28.766","28.946","25.991","24.013","22.37","20.609","17.227","16.173","14.493","13.283","11.575","9.975","8.864","8.448","7.484","7.621","6.855","6.797","5.746","5.073","4.894","4.843"
"FCF per Share","1.171","1.827","4.477","2.264","1.438","1.68","4.291","1.746","2.259","2.884","5.221","1.588","1.31","1.985","3.298","1.257","0.924","1.596","3.212","0.864","1.241","1.916","2.491","1.352","1.594","0.866","1.33","0.769","0.659","0.324","0.855","0.422","0.324","0.119","0.578","0.627","0.164","0.168","0.418"
"Interest Debt per Share","20.8541","18.853","16.5229","16.2164","15.6043","14.4843","11.3265","11.3917","9.4972","7.5721","6.2301","5.9481","5.1625","2.7701","2.704","2.6797","2.6372","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","3.5747","2.9004","3.0896","3.8167","3.3505","3.9014","3.0022","3.7401","2.6735","2.5008","3.3335","2.3331","2.1583","3.0946","2.2442","2.2529","1.7492","1.8325","2.4578","1.6362","1.2118","1.5487","1.5819","1.5105","1.8651","2.4725","1.6681","1.759","1.5199","1.5769","1.203","0.8372","0.8959","0.7159","1.1626","1.9123","1.5152","1.4732","1.4944"
"Debt to Equity Ratio","0.8181","0.7348","0.6613","0.6786","0.6712","0.6122","0.4909","0.539","0.433","0.3401","0.2952","0.3164","0.2567","0.1411","0.1308","0.1373","0.1375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.3139","0.2945","0.2644","0.2705","0.2779","0.2616","0.2147","0.2216","0.1992","0.168","0.139","0.1522","0.1395","0.0823","0.0753","0.0819","0.0849","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.388","1.391","1.228","1.353","1.312","1.283","1.002","1.109","1.087","1.156","1.133","1.08","1.471","1.633","1.494","1.679","1.878","1.784","1.543","1.496","1.571","1.583","1.583","1.608","1.746","1.932","1.846","2.011","2.308","2.644","2.545","2.742","2.111","2.462","2.383","2.641","3.037","2.775","2.486"
"Income Quality","0.9594","1.1355","1.5123","1.789","1.364","1.1032","1.4957","1.2113","1.4038","1.4062","1.8709","1.5649","1.3236","1.3243","1.7342","1.319","1.1345","1.3097","1.7913","1.111","1.1547","1.2026","1.3437","1.5747","1.52","1.0388","1.6277","1.3192","1.4759","0.758","1.7114","1.2283","1.2418","0.5191","1.7463","1.7741","1.2323","1.1416","1.7628"
"Payout Ratio","0.375","0.27","0.169","0.337","0.399","0.272","0.158","0.263","0.28","0.201","0.153","0.329","0.364","0.263","0.212","0.367","0.411","0.262","0.191","0.304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0235","0.0242","0.025","0.0268","0.0287","0.0298","0.0311","0.031","0.0323","0.0336","0.0344","0.0378","0.0276","0.029","0.0272","0.0278","0.0294","0.0284","0.0298","0.0304","0.0335","0.0314","0.0315","0.0381","0.0179","0.0132","0.0146","0.0144","0.0159","0.013","0.0092","0.0095","0.0097","0.011","0.0113","0.0136","0.0104","0.0111","0.0116"
"Selling, General and Administrative Expense of Revenue","0.0833","0.0703","0.0504","0.0743","0.0812","0.0677","0.0507","0.0719","0.0718","0.0596","0.0483","0.075","0.0761","0.0642","0.053","0.0713","0.0749","0.0613","0.0521","0.0709","0.0727","0.0597","0.0562","0.0716","0.067","0.0715","0.0709","0.0772","0.0916","0.0904","0.0821","0.0871","0.1038","0.1084","0.0918","0.0774","0.1227","0.1179","0.0999"
"Research and Development Expense of Revenue","0.0647","0.0525","0.0366","0.0549","0.0604","0.0497","0.0317","0.0431","0.041","0.0331","0.0254","0.04","0.0428","0.0312","0.0231","0.0312","0.0333","0.0257","0.0185","0.0252","0.025","0.0215","0.0164","0.0228","0.022","0.0236","0.0215","0.0243","0.0296","0.0316","0.0254","0.0293","0.035","0.0351","0.0265","0.0231","0.0391","0.0363","0.0256"
"Working Capital","31573000000.0","28648000000.0","19202000000.0","27863000000.0","22275000000.0","19327000000.0","127000000.0","8768000000.0","5668000000.0","9162000000.0","9792000000.0","5083000000.0","21744000000.0","27333000000.0","26578000000.0","29628000000.0","31900000000.0","27829000000.0","25469000000.0","19111000000.0","18883000000.0","18676000000.0","20164000000.0","17018000000.0","20039000000.0","22670000000.0","20132000000.0","20956000000.0","20421000000.0","20107000000.0","20235000000.0","20049000000.0","18509000000.0","20102000000.0","20406000000.0","18645000000.0","18780000000.0","17102000000.0","15654000000.0"
