"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","11.677","11.621","9.68","9.718","8.713","10.542","6.305","2.906","7.183","8.701","8.058","8.735","8.8","9.352","9.761","10.066","10.468","10.183","10.059","10.109","11.621","11.413","11.238","10.76","11.712","11.421","10.747","10.594","10.424","10.045","9.552","9.283","9.328","9.121","8.801","8.662","8.537","9.142","8.748"
"Tangible Book Value per Share","117.709","117.254","114.355","112.619","106.302","112.899","105.262","102.913","96.727","94.82","97.531","80.569","75.938","73.52","70.762","66.908","56.599","54.68","51.414","49.08","48.235","48.561","49.815","45.704","43.92","43.143","40.953","41.56","39.679","38.903","37.285","36.613","33.101","32.088","31.461","29.862","28.11","28.96","28.388"
"FCF per Share","-1.616","3.094","-2.596","5.486","0.286","3.803","3.208","5.128","4.876","3.129","3.848","3.421","1.978","4.577","-4.615","-0.414","0.112","4.137","-1.282","2.079","0.248","0.846","1.494","1.247","0.72","2.307","-0.542","1.812","0.6","1.215","-0.294","1.059","1.221","1.027","-1.124","1.467","0.331","0.513","-0.386"
"Interest Debt per Share","17.3129","20.4707","20.4863","20.3655","20.4333","21.5923","21.834","17.6314","17.096","18.1923","9.0947","8.9076","8.8402","6.0893","7.9026","6.0604","6.0451","6.0596","6.0084","5.7483","7.4409","7.2905","7.4635","5.1231","4.9803","4.8952","5.0899","4.8181","4.8371","4.8204","4.7947","4.0257","3.99","3.8355","3.8453","3.8009","3.8647","3.8004","3.7954"
"Cash per Share","5.9973","11.0472","8.1914","12.5124","8.6477","12.1491","4.7439","10.2201","11.6484","10.6109","10.4748","8.0724","5.5902","3.0371","1.5089","5.3418","6.786","5.8471","1.7964","4.3922","6.5674","9.0141","9.171","6.8535","7.3145","6.9716","5.083","5.9462","4.6612","4.256","3.4137","3.4495","3.0586","2.1668","1.526","2.8068","1.8275","1.834","1.5892"
"Debt to Equity Ratio","1.4826","1.7615","2.1164","2.0957","2.3451","2.0483","3.4628","6.0664","2.3801","2.0909","1.1287","1.0198","1.0046","0.6511","0.8096","0.6021","0.5775","0.5951","0.5973","0.5686","0.6403","0.6388","0.6641","0.4761","0.4252","0.4286","0.4736","0.4548","0.464","0.4799","0.502","0.4337","0.4277","0.4205","0.4369","0.4388","0.4527","0.4157","0.4339"
"Total Debt To Total Assets","0.1092","0.1295","0.1321","0.1327","0.1381","0.1381","0.1464","0.1337","0.1372","0.1484","0.0801","0.0927","0.0967","0.0686","0.0919","0.0738","0.0842","0.0867","0.0901","0.0904","0.1191","0.1203","0.1207","0.0911","0.0917","0.0915","0.0993","0.0931","0.0971","0.0983","0.1015","0.0868","0.0935","0.0924","0.0945","0.0973","0.1029","0.0975","0.0993"
"Interest Coverage","4.7462","16.8963","10.822","5.2986","15.0993","26.4483","-5.2703","13.0732","11.214","-16.3712","-5.173","8.5625","3.7906","15.6573","8.1068","6.205","13.1089","10.3115","15.8409","12.6516","13.4729","15.8354","12.5611","12.5288","17.0436","19.1746","14.5441","13.4331","15.7179","16.1294","15.1795","15.0066","14.0919","17.0172","13.8181","14.9849","-1.5049","12.674","11.7776"
"Current Ratio","0.919","0.92","0.904","0.904","0.894","0.928","0.848","0.942","0.942","0.967","0.968","0.974","0.973","0.955","0.962","0.968","0.976","0.974","0.964","0.982","1.02","1.063","1.058","1.046","1.111","1.101","1.082","1.085","1.09","1.079","1.073","1.05","1.064","1.062","1.059","1.061","1.073","1.07","1.063"
