"","42945.0","42854.0","42763.0","42672.0","42581.0","42490.0","42399.0","42308.0","42217.0","42126.0","42035.0","41944.0","41853.0","41762.0","41671.0","41580.0","41489.0","41398.0","41307.0","41216.0","41125.0","41034.0","40943.0","40845.0","40754.0","40663.0","40572.0","40481.0","40390.0","40299.0","40208.0","40117.0","40026.0","39935.0","39844.0","39753.0","39662.0","39571.0","39480.0","39389.0"
"Book Value per Share","27.015","29.2","17.185","16.779","16.225","15.783","16.052","16.216","16.137","15.877","15.44","15.21","15.937","15.731","15.357","15.239","15.021","14.509","14.247","13.853","13.499","13.166","12.903","12.698","12.402","11.943","11.244","10.729","10.187","9.7","9.355","8.669","8.437","8.311","8.249","8.321","8.232","7.934","7.82","7.641"
"Tangible Book Value per Share","9.345","25.681","25.896","18.651","17.963","17.432","17.361","15.468","15.587","15.3","14.563","14.532","21.152","20.03","19.494","19.514","18.858","17.985","17.806","17.652","17.251","17.118","16.762","16.695","16.548","16.335","14.504","13.654","12.929","12.317","11.643","10.666","10.378","9.009","9.185","9.777","9.693","9.432","9.532","8.72"
"FCF per Share","-1.165","1.39","0.927","1.448","0.705","0.954","0.632","0.486","0.516","0.943","0.465","0.7","0.545","0.62","0.35","0.751","0.615","0.735","0.46","0.66","0.33","0.657","0.636","0.682","0.734","0.542","0.639","0.793","0.623","0.875","0.665","0.501","0.44","0.22","0.129","0.326","0.54","0.424","0.459","0.489"
"Interest Debt per Share","22.3221","37.7759","12.3237","5.6266","5.6384","5.6068","5.5628","2.7809","2.782","2.7924","2.8044","2.7901","9.1284","2.7832","2.7935","2.8046","2.8213","2.465","2.5032","2.7325","2.8717","2.893","2.9221","2.9654","2.9713","3.0239","1.7965","1.3434","1.3286","1.2864","1.2909","1.3013","1.2867","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","2.4735","16.6935","16.1512","2.9921","3.5934","3.626","4.7256","2.827","1.7762","2.0348","2.0888","1.8197","8.2289","1.2849","1.336","1.2607","1.4883","1.9374","2.6222","1.7588","1.5485","2.3314","3.6853","4.7007","4.5318","6.3175","5.2481","3.5879","3.3349","3.3842","3.0943","2.1928","2.1714","2.3242","2.6434","2.0409","1.4411","1.4269","2.1164","1.3894"
"Debt to Equity Ratio","0.8263","1.2937","0.7171","0.3353","0.3475","0.3552","0.3465","0.1715","0.1724","0.1759","0.1816","0.1834","0.5728","0.1769","0.1819","0.184","0.1878","0.1699","0.1757","0.1972","0.2127","0.2197","0.2265","0.2335","0.2396","0.2532","0.1598","0.1252","0.1304","0.1326","0.138","0.1501","0.1525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.3883","0.4843","0.373","0.2173","0.2253","0.2287","0.2278","0.1232","0.1224","0.1239","0.128","0.1272","0.3196","0.1323","0.1363","0.1367","0.1421","0.1297","0.1329","0.1462","0.1571","0.1594","0.1649","0.1679","0.1695","0.1757","0.1169","0.0926","0.0964","0.0976","0.1031","0.1127","0.1143","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","2.7352","2.2105","6.4749","9.3437","14.8775","11.5614","14.9471","16.533","39.4127","36.6379","31.1638","11.5386","25.1365","32.6218","27.7678","43.4256","26.4224","30.5204","24.4033","34.2536","33.4306","31.69","27.9509","38.9997","45.6292","73.77","94.7527","107.3333","97.1442","84.3411","59.7573","47.6713","59.4993","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.988","1.383","8.913","6.354","6.966","6.76","7.817","3.663","3.923","3.787","6.009","5.376","2.259","9.87","10.531","9.592","10.664","9.748","9.466","8.944","8.969","8.097","8.825","8.355","7.8","7.299","6.141","5.407","5.497","5.451","6.293","6.442","6.667","5.32","4.485","3.672","3.353","3.192","2.951","3.611"
"Income Quality","-5.2859","5.5733","1.4484","1.6443","1.1023","1.8772","1.3356","2.0557","0.9107","1.6754","0.9435","2.4128","1.1818","1.272","1.032","1.3999","1.2484","1.5333","1.2038","1.3173","0.8111","1.3872","1.5412","1.2541","1.1684","0.8131","0.9759","1.219","1.1269","1.6652","1.7747","1.5404","2.0404","1.4684","2.4013","0.9888","1.4151","1.1537","0.4786","1.8679"
"Payout Ratio","2.5","1.667","0.6","0.438","0.56","0.764","0.755","1.29","0.58","0.606","0.649","1.057","0.649","0.617","0.694","0.523","0.596","0.642","0.698","0.5","0.526","0.545","0.532","0.403","0.342","0.272","0.297","0.293","0.328","0.357","0.488","0.556","0.87","1.176","2.222","0.4","0.417","0.383","0.145","0.545"
"Intangible Assets out of Total Assets","0.8374","0.6708","0.2163","0.2796","0.2821","0.289","0.289","0.3145","0.3143","0.3213","0.3355","0.3373","0.2594","0.0479","0.0487","0.049","0.0504","0.0533","0.0548","0.0556","0.0565","0.0571","0.0543","0.0544","0.0559","0.0506","0.0559","0.0594","0.0616","0.0657","0.0698","0.0765","0.0781","0.0876","0.0838","0.0801","0.0898","0.0919","0.0905","0.1022"
"Selling, General and Administrative Expense of Revenue","0.1283","0.1661","0.1327","0.1185","0.1413","0.1441","0.1397","0.124","0.139","0.143","0.1557","0.1491","0.1827","0.147","0.1563","0.1448","0.145","0.1558","0.1568","0.1405","0.1462","0.1481","0.1528","0.1384","0.135","0.1331","0.1373","0.1329","0.1417","0.1461","0.1467","0.1458","0.162","0.1733","0.1843","0.161","0.159","0.1604","0.1635","0.1562"
