"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","8.947","9.189","8.518","9.397","9.884","9.91","9.192","10.013","10.339","11.01","11.524","12.181","13.946","13.815","13.082","12.899","12.831","13.593","13.266","13.015","12.578","13.217","12.703","12.337","12.157","12.484","11.739","11.715","11.039","11.82","11.45","11.276","10.628","9.961","9.61","9.579","9.897","10.579","9.898"
"Tangible Book Value per Share","78.333","93.022","84.381","70.938","91.429","107.664","82.458","69.679","66.252","74.045","86.384","58.215","62.064","68.612","72.259","53.627","59.257","75.52","61.312","54.543","55.682","72.65","58.81","49.879","61.588","76.19","59.144","55.771","48.23","63.696","53.043","42.818","44.723","52.526","60.6","41.779","40.215","57.129","46.743"
"FCF per Share","0.727","1.606","0.873","0.495","1.245","1.401","0.695","0.018","0.889","1.664","0.302","0.673","1.1","1.377","0.662","0.033","1.128","1.137","0.805","-0.267","0.909","1.216","0.898","0.531","0.786","1.025","0.745","0.361","0.671","1.138","0.713","0.391","0.71","0.792","0.448","0.703","0.761","1.239","0.464"
"Interest Debt per Share","4.5048","4.4849","4.4709","4.4389","4.4281","4.4184","4.3593","4.3149","0.0198","0.0206","0.0216","4.0717","4.5672","0.0253","0.0263","5.899","0.5402","0.0317","0.0608","0.9493","0.0346","0.0354","0.0524","0.0533","0.0692","0.0697","0.0713","0.0724","0.0802","0.0822","0.0833","0.0842","1.5429","0.086","0.1017","2.7628","0.1243","0.101","0.0702"
"Cash per Share","6.2551","6.7088","6.0397","6.1388","7.0382","6.4732","6.1077","6.8873","3.5246","3.8456","3.8833","4.5479","3.3117","3.4892","2.6486","2.3933","3.5222","3.4135","2.8851","2.3111","3.1847","3.4086","2.7354","2.5597","2.8103","3.2263","2.6539","2.3946","3.3111","3.9112","3.4683","3.1568","4.5234","2.7203","2.5922","2.7515","1.785","3.1641","2.5244"
"Debt to Equity Ratio","0.5035","0.488","0.5249","0.4724","0.448","0.4458","0.4743","0.4309","0.0019","0.0019","0.0019","0.3343","0.3275","0.0018","0.002","0.4573","0.0421","0.0023","0.0046","0.0729","0.0027","0.0027","0.0041","0.0043","0.0057","0.0056","0.0061","0.0062","0.0073","0.007","0.0073","0.0075","0.1452","0.0086","0.0106","0.2884","0.0126","0.0095","0.0071"
"Total Debt To Total Assets","0.0539","0.0457","0.0501","0.0585","0.046","0.0393","0.05","0.058","0.0003","0.0003","0.0002","0.0645","0.0681","0.0003","0.0003","0.0961","0.0081","0.0004","0.0009","0.0152","0.0005","0.0004","0.0008","0.0009","0.001","0.0008","0.0011","0.0012","0.0015","0.0012","0.0014","0.0017","0.0305","0.0015","0.0015","0.058","0.0027","0.0016","0.0013"
"Interest Coverage","18.0351","50.2798","39.3512","27.5678","24.5359","49.7607","31.2321","103.9796","304.3125","926.25","227.6364","273.6842","322.0","874.7778","281.55","262.7368","203.8333","605.0","198.0333","152.6452","173.8261","572.3333","277.0476","219.0952","212.0","467.4286","174.0714","162.6296","170.8889","530.1667","192.92","140.625","105.6286","252.56","59.4321","23.9271","29.752","82.7089","15.3388"
"Current Ratio","1.095","1.085","1.087","1.127","1.102","1.083","1.098","1.135","1.063","1.068","1.064","1.114","1.138","1.068","1.054","0.961","1.06","1.072","1.083","1.073","1.087","1.068","1.078","1.095","1.067","1.062","1.074","1.085","1.113","1.093","1.105","1.13","1.104","1.071","1.053","1.07","1.085","1.076","1.763"
