"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","25.626","24.176","28.889","30.597","29.417","29.117","32.79","31.725","31.65","30.292","39.54","18.716","17.493","17.912","17.407","14.605","11.824","12.148","10.618","9.862","7.197","5.854","3.526","2.883","1.706","0.997","0.445","0.87","0.654","-1.021","5.223","4.398","4.548","6.767","8.63","7.595","11.48","15.924","15.302"
"Tangible Book Value per Share","377.77","352.826","360.803","321.184","302.845","290.37","282.742","247.502","232.582","219.592","245.561","211.196","205.385","200.269","224.725","199.816","195.64","193.524","194.202","171.219","160.065","141.214","143.22","136.718","130.432","127.116","129.769","125.207","124.117","122.931","71.671","65.789","51.845","50.514","45.891","40.408","34.434","30.91","33.663"
"FCF per Share","8.574","7.817","12.382","9.386","7.179","3.766","10.163","6.765","5.548","2.097","5.48","5.938","4.079","5.461","3.276","4.837","4.494","5.038","4.681","8.467","3.063","4.153","4.486","6.714","3.567","3.751","3.636","4.378","4.209","3.645","0.747","1.468","2.26","0.985","-2.204","1.919","5.902","-0.514","2.144"
"Interest Debt per Share","233.5306","221.0177","218.7596","201.1201","199.25","198.1321","187.6036","164.0447","162.7312","153.1275","155.1193","128.3113","134.3083","134.4847","150.361","136.8349","139.8115","139.7577","140.3506","119.3168","116.9452","106.4584","109.0847","105.3927","110.9946","103.8412","106.535","100.6286","97.135","96.8749","34.1303","34.29","30.4397","26.6666","23.5143","24.6692","15.7198","13.075","12.2426"
"Cash per Share","34.9982","33.0993","32.3902","25.7376","22.3895","16.2207","19.0538","15.9176","13.2846","12.0507","17.773","10.9941","11.655","13.3246","19.7267","16.0961","15.2642","15.3561","17.9482","15.3451","12.8028","7.9575","4.3326","4.7305","4.5589","5.8754","2.6801","7.44","4.7066","4.2059","4.086","8.5089","2.0806","5.2599","2.4742","5.6075","2.7178","3.0738","2.8024"
"Debt to Equity Ratio","9.1131","9.1422","7.5725","6.5732","6.7734","6.8047","5.7214","5.1709","5.1415","5.055","3.9231","6.8559","7.6778","7.5082","8.6382","9.3689","11.824","11.5043","13.2185","12.0989","16.2499","18.1848","30.9364","36.5545","65.0571","104.1039","239.4524","115.6173","148.5073","-94.8598","6.5341","7.7968","6.6925","3.9407","2.7248","3.2483","1.3693","0.8211","0.8001"
"Total Debt To Total Assets","0.5047","0.5058","0.4922","0.496","0.5145","0.529","0.5145","0.4962","0.5153","0.5071","0.4639","0.4876","0.5117","0.5184","0.5581","0.5571","0.5787","0.5831","0.5821","0.5723","0.5969","0.5997","0.6062","0.6086","0.6631","0.6611","0.6685","0.6508","0.6421","0.6415","0.3411","0.3699","0.3965","0.3623","0.3435","0.3967","0.2917","0.2612","0.2301"
"Interest Coverage","2.5556","2.8147","1.5268","3.8873","3.0916","3.4666","4.0056","3.4775","3.5564","4.1321","2.976","5.2215","4.4619","4.1838","3.8143","3.9015","3.225","3.5281","2.7653","3.5564","3.2921","3.8478","2.4508","3.062","2.4341","2.9654","2.0505","2.0211","1.9127","1.9128","2.7584","2.4382","2.3933","2.7624","4.0027","5.3895","7.1152","6.1498","7.8093"
"Current Ratio","2.253","2.086","2.122","2.366","2.233","2.443","2.538","2.36","2.199","2.081","2.191","2.123","2.352","2.506","2.305","2.6","2.02","1.799","1.815","1.671","1.918","1.848","1.714","1.482","1.76","1.367","1.587","2.033","2.651","2.315","1.108","1.298","1.095","1.01","0.987","1.229","1.126","1.619","0.989"
"Income Quality","3.9717","3.3299","71.6415","2.8814","3.3746","1.7829","3.8726","3.6402","2.9634","1.0744","5.5969","2.3148","1.853","2.4245","1.7362","2.0197","2.1596","2.1632","3.2528","3.7193","1.7127","2.0795","3.7758","3.7735","2.8611","2.4357","4.4794","4.6554","5.0706","4.4273","1.2865","2.0316","4.8237","2.5523","-2.8119","2.1289","9.9395","-0.5376","6.0597"
"Payout Ratio","0.21","0.2","2.364","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.1836","0.1925","0.1883","0.2079","0.218","0.2248","0.2245","0.2514","0.2635","0.2727","0.2656","0.1974","0.2176","0.228","0.1658","0.1865","0.1902","0.1925","0.1945","0.1788","0.183","0.2045","0.2041","0.2105","0.2208","0.1907","0.1857","0.1902","0.1796","0.186","0.2838","0.2903","0.3247","0.3136","0.3297","0.3502","0.361","0.3825","0.3674"
"Selling, General and Administrative Expense of Revenue","0.0233","0.0237","0.0174","0.0217","0.0245","0.0165","0.0152","0.0257","0.0273","0.0189","0.0269","0.0297","0.0224","0.0276","0.0217","0.0309","0.0275","0.0212","0.0329","0.027","0.0318","0.0269","0.0319","0.0311","0.0284","0.0283","0.0296","0.0281","0.0321","0.0334","0.0415","0.0626","0.042","0.058","0.0498","0.0476","0.0294","0.0366","0.0266"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","11034500000.0","9778600000.0","10359800000.0","10161600000.0","9215700000.0","9587100000.0","9847300000.0","8125354000.0","7283357000.0","6636553000.0","7509293000.0","6031248000.0","5945998000.0","5972773000.0","5888344000.0","5606105000.0","4573012000.0","4036096000.0","4099366000.0","3219353000.0","3578783000.0","2996903000.0","2751796000.0","1919368000.0","2538577000.0","1552335000.0","2267347000.0","3061297000.0","3694223000.0","3352197000.0","229493000.0","549599000.0","161660000.0","21123000.0","-24703000.0","231715000.0","132933000.0","559171000.0","-21883000.0"
"Tangible Asset Value","21004000000.0","19899400000.0","20710100000.0","18725000000.0","17807300000.0","17364100000.0","17332100000.0","15196628000.0","14396797000.0","13856236000.0","14882499000.0","12194879000.0","11122407000.0","10620862000.0","11048150000.0","9733044000.0","9610427000.0","9630120000.0","9666212000.0","8550504000.0","8029029000.0","7081453000.0","7147240000.0","6923955000.0","6661164000.0","6498420000.0","6735938000.0","6583894000.0","6601557000.0","6446625000.0","3742795000.0","3476377000.0","2950893000.0","3088833000.0","2910423000.0","2725179000.0","2638288000.0","2427557000.0","2633220000.0"
