"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","29.505","29.118","29.279","29.65","28.533","28.314","28.631","28.912","27.881","27.634","27.671","27.923","27.09","26.847","26.974","27.098","26.274","26.237","27.271","32.457","31.142","30.635","32.669","33.086","32.289","32.107","32.208","32.403","33.519","33.253","33.162","35.93","33.46","33.197","32.86","33.376","32.425","32.252","32.309"
"Tangible Book Value per Share","102.403","100.577","100.115","97.786","96.381","94.699","95.75","95.004","93.739","92.634","90.181","88.397","87.214","85.482","85.041","90.499","90.054","88.726","89.88","95.107","92.98","92.659","95.821","94.907","95.257","95.224","96.221","96.995","96.355","95.678","95.998","103.689","103.975","103.808","102.279","97.389","98.506","94.576","94.57"
"FCF per Share","0.062","-0.824","-0.124","1.167","-0.383","-0.692","-0.486","1.125","0.12","-0.503","-0.655","0.495","-0.173","-0.878","-0.28","0.697","0.309","0.383","0.173","1.113","0.511","0.412","0.507","1.671","0.419","1.276","0.021","2.144","0.646","0.286","-0.705","1.668","-0.463","0.418","-1.515","0.932","-1.084","-0.925","-0.898"
"Interest Debt per Share","34.1756","33.7675","32.2918","31.5169","32.2094","31.3149","31.2284","29.5095","29.934","29.6579","28.5202","27.6051","27.77","27.0981","26.4056","25.3833","25.4864","25.3833","25.3792","28.8211","28.3883","28.7799","28.8944","29.8304","30.6633","31.6376","32.2375","32.336","33.5864","33.447","34.466","36.132","39.3961","38.914","38.2633","37.1802","37.6181","35.9655","35.4489"
"Cash per Share","0.0412","0.033","0.0371","0.0742","0.0536","0.0536","1.2036","0.2968","0.0082","0.0247","0.0206","0.0536","0.1896","0.1072","0.1237","0.6966","0.6183","0.6636","0.7585","1.2284","0.4823","0.8574","1.052","2.1597","1.5672","2.3815","2.2708","2.5407","2.1225","1.5152","2.6256","2.5802","1.1751","1.4292","0.4342","0.9796","0.9785","0.8912","1.7043"
"Debt to Equity Ratio","1.1583","1.1597","1.1029","1.063","1.1289","1.106","1.0907","1.0207","1.0736","1.0732","1.0307","0.9886","1.0251","1.0094","0.9789","0.9367","0.97","0.9675","0.9306","0.888","0.9116","0.9395","0.8845","0.9016","0.9497","0.9854","1.0009","0.9979","1.002","1.0058","1.0393","1.0056","1.1774","1.1722","1.1644","1.114","1.1602","1.1151","1.0972"
"Total Debt To Total Assets","0.3283","0.3302","0.3172","0.3168","0.3284","0.3249","0.3205","0.3052","0.3137","0.3144","0.3104","0.3061","0.3121","0.3106","0.3044","0.2751","0.2776","0.2805","0.277","0.2976","0.2997","0.3049","0.2962","0.3087","0.3162","0.3263","0.3291","0.3275","0.3348","0.3355","0.3445","0.3342","0.3629","0.3588","0.3576","0.364","0.3641","0.3616","0.3562"
"Interest Coverage","4.101","2.6061","1.6105","7.2062","3.5158","2.4316","1.6484","7.3333","3.3483","2.9773","1.9067","6.7294","3.7865","2.7391","1.5505","6.5568","2.61","-0.0891","-10.8247","6.5859","4.1327","-2.8776","0.7255","4.9646","3.1442","1.9748","1.6833","0.7692","3.0435","2.3409","1.9318","3.7015","3.0","2.7881","1.5963","3.8053","3.7542","3.25","2.486"
"Current Ratio","0.568","0.525","0.596","0.698","0.656","0.793","0.916","0.797","0.779","0.791","0.753","0.916","0.85","0.675","0.801","1.014","1.037","1.279","1.339","1.556","1.344","1.316","1.286","1.45","1.507","1.478","1.531","1.63","1.608","1.621","1.661","1.443","1.047","0.957","0.848","0.873","0.899","0.656","0.848"
"Income Quality","2.7565","3.2451","17.625","2.1572","2.8163","3.3238","16.8621","2.2187","3.1267","2.8889","7.5417","1.8737","2.7852","2.4896","10.2432","1.8079","4.0947","-2.6138","-0.327","1.4733","1.7915","-0.9504","12.52","2.3368","2.4565","7.8873","6.2885","-4.3413","2.5724","3.7255","3.4304","3.6344","2.1515","3.6596","4.7544","3.6863","0.835","2.3841","1.7407"
