"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","4.563","4.539","4.239","4.353","4.197","4.828","4.68","5.23","5.56","5.697","5.991","5.942","5.784","5.791","5.833","6.443","6.324","6.186","6.141","5.914","7.978","8.472","7.747","7.966","8.838","8.617","8.213","8.677","8.407","9.345","7.003","6.871","6.588","5.876","5.54","6.286","6.384","4.947","4.728"
"Tangible Book Value per Share","52.742","53.108","52.494","53.964","54.018","53.596","51.976","51.724","53.05","51.375","52.208","50.314","51.739","54.16","51.853","52.187","51.17","53.808","53.104","52.042","50.087","53.726","53.392","50.03","52.226","49.116","49.222","50.243","48.825","59.953","56.511","55.998","53.253","49.439","49.658","51.556","53.743","50.335","48.667"
"FCF per Share","-0.601","0.347","0.193","0.459","0.164","0.0","0.012","0.581","-0.57","-0.258","-0.073","0.381","-0.38","-0.246","0.023","0.523","0.136","0.29","0.329","0.675","0.115","-0.059","-0.035","0.413","0.173","0.029","0.339","0.598","0.299","0.262","-0.631","0.646","-0.153","-0.326","-0.474","0.334","-0.652","-0.243","-0.32"
"Interest Debt per Share","31.3701","30.8558","31.0433","31.4668","31.5326","31.006","29.8442","30.349","29.8748","28.8966","29.252","28.4676","29.8393","29.6754","28.3554","28.1606","28.0559","29.2176","27.8523","28.8237","28.3079","29.031","28.6888","26.6845","27.4102","24.6774","23.8396","25.1569","24.7329","30.8795","29.2653","29.475","28.8301","26.9537","26.713","27.7132","28.4336","27.4781","26.8805"
"Cash per Share","2.3051","2.7405","2.4015","2.4411","2.2989","2.2308","2.3066","2.607","1.9137","2.3442","2.5552","2.9149","2.7431","2.7652","3.0162","3.5489","3.1638","4.0868","3.5405","3.5802","2.9981","2.7889","2.8298","5.3515","5.312","3.1969","3.7165","4.3538","4.3539","5.9195","3.279","3.7931","3.2685","2.5547","2.4206","3.3579","3.4027","3.3147","3.8326"
"Debt to Equity Ratio","6.8742","6.7984","7.3239","7.228","7.5127","6.4221","6.3769","5.8026","5.3734","5.0724","4.8825","4.791","5.1586","5.124","4.8612","4.3707","4.4367","4.7235","4.5351","4.8734","3.5483","3.4266","3.7033","3.3496","3.1016","2.864","2.9025","2.8991","2.9418","3.3043","4.179","4.2898","4.3761","4.5867","4.8215","4.4086","4.4537","5.554","5.6858"
"Total Debt To Total Assets","0.5694","0.557","0.5665","0.5614","0.562","0.5571","0.5506","0.5594","0.5381","0.5369","0.5353","0.5404","0.5509","0.5244","0.5209","0.51","0.516","0.5123","0.4954","0.5213","0.5082","0.4894","0.4856","0.5107","0.5028","0.4803","0.4638","0.4781","0.4833","0.4929","0.4942","0.5008","0.5137","0.5154","0.5082","0.5087","0.5012","0.516","0.5222"
"Interest Coverage","1.4354","1.1293","-2.7507","1.6977","-0.2538","1.6491","1.3467","1.611","1.669","1.6556","1.7507","2.4872","1.8978","0.9893","0.6451","1.5503","1.7211","1.4459","1.9558","-2.5253","1.5599","2.4639","0.9746","0.8493","1.9134","2.2988","-0.2852","1.5669","2.0411","1.979","1.0857","1.9557","2.1087","2.0316","0.9975","1.6834","3.6034","2.0851","1.1674"
"Current Ratio","0.985","1.221","1.216","1.277","1.187","1.057","0.988","1.105","1.145","1.161","1.118","1.115","1.111","1.019","1.011","1.03","0.944","0.997","1.018","1.154","1.182","1.198","1.094","1.39","1.414","1.158","1.171","1.39","1.503","1.517","1.327","1.399","1.486","1.594","1.412","1.55","1.529","1.386","1.521"
