"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","79.646","75.521","74.556","82.762","80.771","76.536","73.126","77.399","78.439","79.05","76.828","76.506","74.987","71.155","68.409","66.976","66.009","67.404","66.446","61.898","59.606","55.145","53.446","45.291","50.46","54.583","613.898","594.955","555.69","552.865","515.418","537.438","428.424","338.322","390.852","526.614","599.53","630.562","751.338"
"Tangible Book Value per Share","539.845","509.965","486.877","480.323","458.293","434.722","405.229","392.46","383.692","381.2","370.55","371.459","366.826","374.926","368.586","366.593","363.991","371.751","371.975","335.301","316.153","295.528","291.108","286.526","335.816","392.391","4917.591","6406.562","6243.075","6347.784","6210.87","6197.599","6090.792","6010.667","6328.562","7486.201","7978.695","8235.0","8148.145"
"FCF per Share","1.16","-10.562","0.616","1.103","1.382","-0.837","0.524","1.361","0.079","0.284","0.467","1.914","0.609","0.523","1.305","1.542","1.235","-0.101","0.567","0.735","0.876","0.05","0.59","1.23","0.966","-3.41","10.663","39.329","48.42","23.552","50.786","28.7","30.692","27.127","13.132","-116.913","46.718","53.813","72.365"
"Interest Debt per Share","34.3634","31.3496","30.2056","30.1289","29.9294","27.627","23.8558","24.0166","22.8415","23.4262","22.4358","25.5228","26.6321","27.0742","28.3884","28.6302","28.8612","30.6582","32.8831","44.9006","42.0661","40.5635","39.6105","40.7418","43.2626","52.7466","766.021","868.073","1023.6499","1056.3644","1077.7767","1309.254","1361.0558","1417.944","1491.6128","1742.4322","1470.1563","1468.75","1482.9674"
"Cash per Share","2.7189","1.9556","1.8253","2.3318","1.602","1.2961","1.3286","1.2267","1.4573","1.3346","1.2635","1.362","1.2666","1.7064","1.5259","1.3952","1.1934","0.831","0.7804","0.979","0.7013","0.701","0.7759","0.8118","1.4101","1.1562","11.2103","12.2756","20.9111","15.7233","32.4794","36.6388","42.8883","29.7886","64.0816","137.3835","17.1134","19.6915","17.9127"
"Debt to Equity Ratio","0.4315","0.4151","0.4051","0.364","0.3705","0.361","0.3262","0.3103","0.2912","0.2963","0.292","0.3336","0.3552","0.3805","0.415","0.4275","0.4372","0.4548","0.4949","0.7254","0.7057","0.7356","0.7411","0.8995","0.8574","0.9664","1.2478","1.4591","1.8421","1.9107","2.0911","2.4361","3.1769","4.1911","3.8163","3.3087","2.4522","2.3293","1.9738"
"Total Debt To Total Assets","0.0637","0.0615","0.062","0.0627","0.0653","0.0636","0.0589","0.0612","0.0595","0.0615","0.0605","0.0687","0.0726","0.0722","0.077","0.0781","0.0793","0.0825","0.0884","0.1339","0.1331","0.1373","0.1361","0.1422","0.1288","0.1344","0.1558","0.1353","0.1635","0.1659","0.1723","0.2098","0.2217","0.2339","0.2338","0.2304","0.1824","0.1766","0.1804"
"Interest Coverage","6.7774","6.7081","-12.2","3.3283","9.8656","0.2124","-8.6184","0.4829","9.1551","12.0824","2.948","8.0047","10.8207","5.6409","5.214","3.3256","6.8991","6.0659","-9.4103","5.3023","4.2469","8.5912","-3.7496","-3.799","2.5385","2.0094","21.4826","0.1208","0.0479","1.763","-0.1529","1.0225","1.5511","-1.1863","-4.6394","-11.1672","-5.5371","-7.9167","-5.7066"
"Income Quality","0.9504","-8.7418","-0.2072","2.5584","0.8045","5.2896","-0.3493","-7.5368","0.0583","0.1572","0.9924","1.2391","0.2857","0.4742","0.9692","1.0479","0.6675","-0.0675","-0.2115","0.6503","0.6595","0.0293","0.0521","-0.5855","0.9668","-10.9526","0.2726","-2.1232","-2.4759","8.8997","-0.745","42.8043","13.717","-0.7027","0.0163","0.6229","-1.4615","-1.0633","-0.9907"
"Payout Ratio","0.262","0.264","-0.116","0.744","0.186","-2.0","-0.206","-1.556","0.096","0.072","0.26","0.084","0.061","0.118","0.075","0.068","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.024","-0.097","-0.065","-0.098"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0017","0.0031","0.003","0.0073","0.0069","0.0078","0.0083","0.0081","0.0101","0.0102","0.0097","0.009"
"Selling, General and Administrative Expense of Revenue","0.1745","0.1934","0.2201","0.1973","0.1756","0.2549","0.251","0.2476","0.1968","0.1846","0.2108","0.1887","0.2605","0.2549","0.073","0.3656","0.3028","0.244","0.1618","0.2614","0.3164","0.2449","0.0934","0.5142","0.2761","0.2471","0.1795","0.2913","0.2952","0.2902","0.3687","0.2831","0.2816","0.4367","-0.0486","10.6871","0.4468","0.5802","0.4525"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","499762000000.0","500162000000.0","498264000000.0","514568000000.0","510349000000.0","502777000000.0","496842000000.0","501985000000.0","509987000000.0","520701000000.0","515581000000.0","527190000000.0","529109000000.0","547111000000.0","541329000000.0","540744000000.0","537438000000.0","548880000000.0","548633000000.0","550723000000.0","555383000000.0","554403000000.0","553054000000.0","544257000000.0","616798000000.0","611247000000.0","683443000000.0","870518000000.0","847891000000.0","861132000000.0","841390000000.0","838497000000.0","823973000000.0","812960000000.0","853466000000.0","1011903000000.0","1039215000000.0","1040904000000.0","1038947000000.0"
"Invested Capital","529057000000.0","528991000000.0","527308000000.0","544347000000.0","541894000000.0","533230000000.0","524462000000.0","531135000000.0","538410000000.0","550877000000.0","545040000000.0","561480000000.0","565696000000.0","584129000000.0","580781000000.0","580917000000.0","578290000000.0","592919000000.0","595982000000.0","622863000000.0","628048000000.0","629184000000.0","626833000000.0","620104000000.0","693669000000.0","691612000000.0","788346000000.0","986803000000.0","984076000000.0","1002304000000.0","982997000000.0","1010674000000.0","1002297000000.0","1000712000000.0","1045982000000.0","1228856000000.0","1228472000000.0","1224065000000.0","1225752000000.0"
"Average Receivables","11499500000.0","11772000000.0","10958000000.0","11842000000.0","12668000000.0","12932000000.0","11741000000.0","12657000000.0","13667500000.0","13859500000.0","12485000000.0","13475500000.0","14140000000.0","14789500000.0","13464000000.0","14139500000.0","14376500000.0","15479000000.0","14355000000.0","15077000000.0","15589500000.0","16578500000.0","15217000000.0","16943500000.0","26410000000.0","27569500000.0","26294500000.0","29442500000.0","39866000000.0","42239500000.0","44456500000.0","48450500000.0","49598000000.0","54391500000.0","51169000000.0","55850000000.0","56483500000.0","57528000000.0","50990000000.0"
