"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","76.491","73.998","71.301","74.755","74.031","70.132","67.808","69.25","70.421","73.501","72.933","74.015","73.627","69.957","65.667","63.313","61.876","65.095","64.869","63.654","58.34","55.928","52.8","52.589","49.901","46.913","45.049","49.78","45.026","42.576","41.275","41.49","36.837","31.133","31.536","31.629","35.901","35.623","34.498"
"Tangible Book Value per Share","522.12","504.315","498.257","484.233","461.398","448.22","433.557","435.352","432.733","424.83","427.06","408.51","405.205","391.739","388.22","375.704","358.906","356.904","350.819","331.789","305.103","296.387","282.493","270.877","263.941","254.653","239.977","240.423","225.132","216.698","212.054","208.627","200.983","193.531","199.892","207.769","214.55","216.906","218.666"
"FCF per Share","-0.739","0.167","2.764","3.977","-0.043","-5.666","-4.553","4.929","4.52","-2.864","-2.052","3.116","1.61","1.566","3.885","5.809","2.732","0.5","2.928","2.771","1.95","-0.048","3.643","1.858","1.356","1.754","0.626","1.234","1.624","0.931","0.345","3.186","0.643","-2.356","1.415","3.152","-0.258","3.692","2.945"
"Interest Debt per Share","20.5793","18.9906","18.5642","19.3415","18.7205","21.7356","17.4566","17.3186","17.0837","16.7859","16.4843","16.2228","16.1153","16.0725","22.2551","21.6877","21.248","20.8856","12.1648","11.8355","11.2696","10.9528","10.5328","10.1965","9.9497","9.6071","9.1612","9.0174","8.6878","8.3214","8.2669","8.2247","8.2038","8.2447","8.2631","8.2377","8.215","8.2291","8.1996"
"Cash per Share","15.3575","15.5601","17.9553","18.5294","19.8037","31.6625","19.3099","22.8282","18.9245","15.2668","18.5616","19.5513","19.2524","15.1809","23.3293","17.0323","16.3905","20.0617","11.3767","13.0544","12.8303","11.9948","12.6391","11.1117","11.6167","9.2933","10.8419","10.8371","8.9703","7.9829","11.2137","10.457","6.8295","5.6352","8.8473","8.9306","8.0856","8.6415","6.7915"
"Debt to Equity Ratio","0.269","0.2566","0.2604","0.2587","0.2529","0.3099","0.2574","0.2501","0.2426","0.2284","0.226","0.2192","0.2189","0.2297","0.3389","0.3425","0.3434","0.3208","0.1875","0.1859","0.1932","0.1958","0.1995","0.1939","0.1994","0.2048","0.2034","0.1811","0.1929","0.1954","0.2003","0.1982","0.2227","0.2648","0.262","0.2604","0.2288","0.231","0.2377"
"Total Debt To Total Assets","0.0378","0.0361","0.0359","0.0385","0.0391","0.0467","0.0388","0.0383","0.038","0.038","0.0371","0.0382","0.0382","0.0395","0.0551","0.0558","0.0573","0.0567","0.0336","0.0345","0.0357","0.0357","0.036","0.0363","0.0363","0.0364","0.0368","0.0362","0.0372","0.037","0.0376","0.0379","0.0392","0.0408","0.0396","0.0383","0.0371","0.0367","0.0363"
"Interest Coverage","15.4113","18.0714","4.9423","16.7688","16.4934","24.2828","8.9975","-1.3406","3.905","7.0381","7.5573","17.3147","15.067","14.7857","9.7664","10.3385","10.794","14.6904","3.3095","14.836","18.5574","17.5593","17.4922","8.4561","9.6661","15.1713","-7.0497","15.954","17.7176","17.3819","5.034","14.7906","19.5698","11.3935","13.6057","-9.765","17.3154","19.7028","13.872"
"Income Quality","-0.2038","0.1683","5.6706","1.7916","0.1311","-1.5699","-4.1814","-51.3498","10.5695","-3.5502","-2.4289","1.8026","0.9372","0.9266","2.7893","3.497","1.6625","0.4388","10.0268","1.9372","1.0846","0.0063","2.1716","2.5114","0.8492","1.3046","-0.407","1.0389","1.1926","0.7753","4.7639","2.6725","0.4697","-3.2833","1.0127","-3.4166","-0.087","2.4096","3.0353"
"Payout Ratio","0.243","0.207","0.768","0.208","0.184","0.148","0.51","-3.0","0.625","0.375","0.375","0.139","0.136","0.133","0.336","0.147","0.145","0.143","0.538","0.136","0.107","0.098","0.105","0.231","0.107","0.115","-0.099","0.122","0.109","0.111","1.364","0.123","0.092","0.206","0.091","-0.149","0.087","0.076","0.118"
"Intangible Assets out of Total Assets","0.0407","0.0414","0.0361","0.0364","0.0364","0.0368","0.037","0.0373","0.0381","0.0377","0.0388","0.0387","0.0384","0.0381","0.0383","0.0329","0.0317","0.0317","0.0312","0.0323","0.0337","0.0346","0.0349","0.0353","0.0369","0.0348","0.0353","0.0345","0.0354","0.0352","0.0358","0.0393","0.0407","0.0422","0.0409","0.0331","0.0316","0.0313","0.0311"
"Selling, General and Administrative Expense of Revenue","0.4038","0.4198","0.5068","0.4546","0.447","0.4271","0.4222","0.3776","0.3666","0.3548","0.384","0.3528","0.3391","0.3444","0.3608","0.3264","0.3316","0.3204","0.3318","0.3086","0.3018","0.2943","0.3057","0.2891","0.2902","0.289","0.3606","0.2753","0.2823","0.2635","0.2844","0.2787","0.2591","0.2714","0.2733","0.2993","0.2494","0.245","0.2704"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","28836900000.0","28343200000.0","28637900000.0","29180871000.0","28719621000.0","29173298000.0","28925727000.0","29444127000.0","29667510000.0","29640454000.0","30339267000.0","29487290000.0","29442008000.0","28537694000.0","28575492000.0","28382349000.0","27818074000.0","28546817000.0","28042899000.0","27258736000.0","26324166000.0","26311159000.0","26076933000.0","25828595000.0","25790434000.0","25769538000.0","25465730000.0","25919139000.0","25190904000.0","25313980000.0","24934269000.0","24656489000.0","23813080000.0","22815617000.0","23512687000.0","24513825000.0","25383289000.0","25617376000.0","25917660000.0"
"Invested Capital","29125300000.0","28536000000.0","28672900000.0","29229805000.0","28652202000.0","28527187000.0","28802078000.0","29071496000.0","29541303000.0","29746442000.0","30191690000.0","29247029000.0","29214070000.0","28602641000.0","28496426000.0","28734040000.0","28194569000.0","28612715000.0","28105894000.0","27158598000.0","26189511000.0","26218652000.0","25882498000.0","25741321000.0","25627555000.0","25801296000.0","25287378000.0","25722969000.0","25159291000.0","25353523000.0","24587775000.0","24392670000.0","23975905000.0","23123260000.0","23443960000.0","24432079000.0","25398595000.0","25568668000.0","26084559000.0"
"Average Receivables","10117571000.0","10067075000.0","9516160000.0","9463486500.0","9374434000.0","9400309000.0","8715667500.0","8022098000.0","8050179500.0","7866451500.0","7766260000.0","7078829500.0","6932266000.0","6855511500.0","6902034500.0","6459518500.0","6340662500.0","6429552500.0","6515975000.0","6080532500.0","5938927500.0","5863495500.0","5800214500.0","5693048500.0","5474466000.0","5366877500.0","5139955000.0","5037815000.0","4920447500.0","4812294500.0","4631509000.0","4564840000.0","4550364500.0","4516398500.0","4504039000.0","4517841000.0","4435414000.0","4442438000.0","4505855000.0"
"Average Payables","5621113500.0","5567816500.0","6120458500.0","6365963500.0","6167474000.0","6106937000.0","6745524500.0","6452526000.0","6388967500.0","6122765000.0","6367983500.0","5867329500.0","5751510500.0","5664624000.0","5817802000.0","5510468500.0","5251370000.0","5388715000.0","5615740000.0","5320161000.0","5142546000.0","5113970000.0","5191902000.0","5213446000.0","5189997500.0","5066501500.0","5069580000.0","5044719500.0","4989145000.0","4860595500.0","5063009500.0","4957992000.0","4808777500.0","4861005000.0","5032625500.0","5011709500.0","4909160000.0","4977709000.0","5052184000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
