"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","21.417","20.505","20.212","20.824","20.324","20.319","20.591","20.925","21.832","19.091","20.012","20.479","20.685","16.021","15.855","15.131","13.428","13.226","13.334","13.525","12.451","11.792","11.017","10.872","10.908","10.562","10.44","9.614","9.319","8.945","8.771","8.588","8.381","8.278","7.774","8.307","7.825","7.589","7.62"
"Tangible Book Value per Share","38.537","34.72","34.25","32.807","33.921","30.2","31.403","29.729","32.313","27.857","29.648","30.949","34.121","30.184","27.646","25.691","25.808","23.739","24.681","24.076","27.074","24.415","24.509","23.168","26.723","20.954","21.025","20.919","22.629","19.991","20.33","20.556","24.863","20.312","23.302","24.135","28.624","27.644","29.825"
"FCF per Share","-0.003","0.786","0.869","1.173","-0.067","0.215","1.692","1.213","-0.315","0.58","0.97","0.112","0.741","0.48","0.533","1.338","-0.032","0.333","1.195","0.884","0.837","-0.544","0.778","0.68","0.823","-0.154","0.095","1.119","0.764","-0.024","0.098","1.125","1.032","-0.408","0.343","1.001","0.8","-0.778","0.942"
"Interest Debt per Share","17.3402","16.4828","16.0064","15.7357","15.4159","14.2521","13.8866","13.7076","14.2304","14.1784","14.8283","15.2283","16.0221","14.1392","11.0652","8.3048","7.2976","6.1571","6.8657","5.9929","6.1116","6.6672","6.0682","6.0186","6.4392","6.2152","5.1884","5.228","5.3089","5.7083","5.4028","5.247","5.9182","6.4505","5.6","5.552","5.4418","4.9539","4.2599"
"Cash per Share","11.525","10.2006","10.889","10.8958","10.3992","9.7663","10.7105","9.8502","10.5936","8.8829","10.423","10.2684","13.2562","12.3662","10.0769","9.4841","9.1003","8.1282","9.2751","9.1811","9.3517","8.5153","8.7143","8.558","9.0339","8.4094","8.0137","8.1908","7.6834","7.1534","7.1562","7.8014","8.2834","7.6421","7.8463","8.9818","9.7791","9.0647","9.1299"
"Debt to Equity Ratio","0.8096","0.8038","0.7919","0.7556","0.7585","0.7014","0.6744","0.6551","0.6518","0.7427","0.741","0.7436","0.7746","0.8826","0.6979","0.5489","0.5435","0.4655","0.5149","0.4431","0.4909","0.5654","0.5508","0.5536","0.5903","0.5884","0.497","0.5438","0.5697","0.6382","0.616","0.611","0.7061","0.7793","0.7204","0.6684","0.6954","0.6527","0.559"
"Total Debt To Total Assets","0.2476","0.2499","0.2479","0.2487","0.2399","0.2355","0.2249","0.2276","0.2213","0.24","0.2391","0.2424","0.2512","0.2601","0.2122","0.1776","0.1663","0.1483","0.1596","0.1447","0.1408","0.1666","0.1528","0.1589","0.155","0.1829","0.1529","0.1589","0.1547","0.181","0.1692","0.1638","0.1624","0.2001","0.1626","0.162","0.1439","0.1365","0.1125"
"Interest Coverage","5.3829","2.3445","3.2226","4.0632","5.8456","2.7171","1.8721","4.832","5.6231","1.7969","2.0233","4.3861","6.0566","3.8519","4.5827","7.5267","9.1849","4.7768","5.1651","8.1308","9.4352","4.066","5.5577","7.8932","7.217","3.4737","4.9655","9.186","8.5862","5.9884","4.7568","10.2794","11.5857","6.6986","2.4286","7.4085","10.3699","1.7077","6.7879"
"Current Ratio","1.051","0.937","0.958","0.958","1.023","0.979","1.006","1.078","1.091","1.045","1.046","1.054","1.146","1.054","0.875","0.988","1.11","1.039","1.028","1.112","1.078","1.088","1.061","1.075","1.056","1.178","1.094","1.103","1.079","1.071","1.044","0.96","0.957","0.914","0.916","0.959","0.986","0.999","1.02"
