"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","33.977","32.483","33.738","29.343","28.099","31.537","29.003","28.025","28.337","28.756","17.397","18.618","19.107","20.126","20.036","18.027","16.102","20.266","20.598","20.244","19.076","19.359","17.919","17.652","18.82","17.418","15.465","15.143","13.115","13.132","13.162","13.07","12.152","11.09","11.7","13.718","14.304","13.484","13.291"
"Tangible Book Value per Share","47.773","48.323","55.71","66.997","66.396","42.548","69.1","44.268","45.12","47.505","63.162","39.561","39.992","40.003","39.55","38.101","35.374","34.817","34.441","33.535","32.88","33.22","31.534","31.728","31.177","29.652","29.062","27.59","25.545","25.551","25.417","25.426","24.235","24.756","26.643","27.999","28.331","27.151","24.949"
"FCF per Share","-1.632","0.254","2.006","1.407","0.345","1.021","-0.172","1.166","0.289","-0.101","0.361","1.347","1.563","1.574","1.17","1.312","0.385","0.488","1.349","0.33","-0.117","0.773","1.559","0.887","0.697","0.16","0.329","1.375","1.076","0.021","0.895","1.353","0.791","-0.404","1.418","0.482","0.607","-0.042","0.671"
"Interest Debt per Share","15.6169","15.2955","21.0625","30.6801","31.273","31.9803","34.0186","34.2537","35.5677","37.1139","37.5477","13.4499","13.5182","13.4301","13.2827","13.2688","12.8196","7.843","7.8556","7.9901","8.4419","8.5021","8.5993","9.9091","8.4149","8.3779","9.402","8.3859","8.691","8.8163","8.8719","8.9621","9.263","10.0474","10.2345","10.5984","9.7391","9.5015","7.5271"
"Cash per Share","9.0973","11.2026","20.1779","2.0777","1.7239","2.2482","1.9048","2.0899","1.8472","2.4177","31.8613","8.3472","6.5485","6.5723","5.8757","4.9324","3.7447","4.902","5.3663","4.5075","5.1642","5.8357","5.2859","5.3512","5.3506","4.8128","5.7843","4.6508","3.5498","2.9251","3.3709","2.8435","1.8855","2.0125","2.7808","2.2672","1.8416","1.4584","1.3574"
"Debt to Equity Ratio","0.4596","0.4709","0.6243","1.0456","1.113","1.0141","1.1729","1.2222","1.2552","1.2906","2.1583","0.7224","0.7075","0.6673","0.663","0.7361","0.7962","0.387","0.3814","0.3947","0.4425","0.4392","0.4799","0.5613","0.4471","0.481","0.608","0.5538","0.6627","0.6714","0.6741","0.6857","0.7623","0.906","0.8747","0.7726","0.6809","0.7047","0.5663"
"Total Debt To Total Assets","0.2371","0.2325","0.2903","0.3671","0.3773","0.3803","0.3977","0.3972","0.4084","0.4097","0.5618","0.3101","0.3078","0.3009","0.301","0.3112","0.3229","0.2017","0.2034","0.2123","0.2285","0.225","0.2384","0.2726","0.2344","0.2445","0.2806","0.2607","0.2906","0.2922","0.2932","0.2952","0.3184","0.3419","0.3245","0.3206","0.2903","0.2959","0.2548"
"Interest Coverage","9.6678","1.9222","35.7589","9.8181","-17.4282","17.7838","8.3807","5.0705","4.2525","2.6017","-2.0937","10.6618","6.0636","8.9532","24.5777","13.371","14.5561","22.0627","4.2321","18.9342","9.4811","18.551","7.5557","16.88","16.561","15.4654","13.827","20.8037","18.7276","14.4784","10.4624","10.3047","6.0499","5.132","-2.3839","7.7298","9.8327","8.8198","8.4428"
"Current Ratio","2.241","1.979","2.9","1.447","1.318","1.319","1.133","1.301","1.209","1.158","2.938","1.856","1.87","3.491","3.398","3.395","3.413","3.232","3.655","3.626","3.512","3.391","3.379","3.602","3.691","3.528","3.702","3.486","3.409","3.031","2.922","2.933","3.127","3.102","2.689","3.218","2.8","2.798","2.573"
