"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.447","13.077","12.495","12.157","11.38","11.174","10.669","10.002","9.592","9.863","9.381","8.96","8.34","8.589","7.882","7.199","6.456","6.906","7.173","7.394","7.294","6.601","6.232","5.823","5.518","5.233","4.948","4.724","4.411","3.943","3.663","3.706","3.587","3.451","3.51","2.37","2.322","2.562","2.35"
"Tangible Book Value per Share","18.206","17.106","16.496","15.953","14.603","14.142","13.583","12.528","11.812","11.772","11.29","10.733","9.893","9.877","9.285","8.417","7.66","7.905","7.542","7.493","6.972","6.13","5.89","5.097","4.611","6.442","6.213","5.808","5.345","4.906","4.692","4.669","4.54","4.269","4.354","3.081","3.026","3.196","3.087"
"FCF per Share","1.147","-0.15","0.838","0.531","0.717","0.131","0.787","0.621","0.653","0.249","0.803","0.751","0.799","0.16","0.782","0.617","0.615","0.059","0.542","0.424","0.276","-0.065","0.49","0.294","0.308","0.188","0.346","0.43","0.506","0.188","0.418","0.14","0.262","0.132","0.109","0.217","0.088","-0.027","0.231"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","4.4668","3.2668","4.8865","5.2509","2.0976","1.9343","2.1103","2.1807","2.0154","2.3612","2.4908","2.2408","2.0669","2.253","3.0208","2.1989","2.0479","4.0524","3.7803","3.7633","3.2839","2.8824","3.1074","2.5776","2.1647","4.12","3.8598","3.4821","3.1148","2.5332","2.2335","1.9555","1.8433","1.4708","1.399","1.1839","0.9381","1.6463","1.2999"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","169.5882","0.0","0.0","0.0","51.5833","0.0","0.0","0.0","18.1462"
"Current Ratio","2.362","2.512","2.689","2.658","2.761","2.85","2.694","2.911","2.951","3.277","3.256","3.101","2.964","3.232","3.106","2.954","2.752","3.666","3.119","3.192","3.025","2.838","2.598","2.722","2.618","4.75","4.18","4.472","4.486","3.733","3.216","3.258","3.062","3.145","2.937","3.059","3.016","3.543","3.002"
