"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","59.134","57.856","55.905","56.35","55.013","53.795","52.027","51.647","52.329","53.341","53.029","52.601","52.664","49.518","47.417","45.066","42.428","43.372","42.6","42.883","39.696","38.464","35.081","35.352","35.871","36.369","35.254","35.633","33.362","32.488","30.917","32.423","27.914","22.717","23.479","31.228","35.718","36.204","37.982"
"Tangible Book Value per Share","298.559","295.182","291.823","288.878","283.9","276.985","268.737","263.552","260.192","256.962","255.017","252.276","251.011","275.645","269.927","262.507","256.761","263.721","260.209","258.79","253.349","250.032","237.636","246.26","244.98","243.976","241.009","243.409","240.311","243.315","244.077","249.361","244.937","240.299","248.744","263.079","271.762","269.945","270.438"
"FCF per Share","1.152","2.141","3.065","3.537","1.542","1.751","2.198","3.267","1.629","1.219","1.403","3.018","1.515","0.939","2.384","3.134","1.772","1.43","0.677","1.614","1.839","1.516","0.33","0.697","0.91","1.277","1.146","1.634","2.007","1.739","1.371","1.841","1.684","2.726","0.401","2.216","2.053","1.904","2.178"
"Interest Debt per Share","17.4587","17.353","17.2473","13.755","13.6751","13.5097","13.3125","13.0353","12.742","12.4916","12.2206","12.2379","13.4607","13.8889","13.6887","13.483","12.7589","13.7905","12.5378","12.4655","12.3481","12.1476","11.3267","11.5371","11.2923","11.1262","10.9529","10.9244","10.9284","10.9343","10.9465","12.3375","12.3342","10.501","10.5108","10.4333","10.2537","10.0606","9.8036"
"Cash per Share","1.3256","1.2086","1.1848","1.0471","1.1938","1.4044","1.286","2.2796","1.9779","2.203","1.5621","2.0848","2.047","2.621","1.4901","2.3184","1.3538","1.7249","1.6684","1.3213","1.1639","1.157","1.4877","2.0039","1.3248","1.2072","1.0419","0.9244","1.315","1.3025","1.1335","1.3465","1.2356","1.5532","0.7708","0.6545","1.3556","0.6598","0.7335"
"Debt to Equity Ratio","0.2952","0.2999","0.3085","0.2441","0.2486","0.2511","0.2559","0.2524","0.2435","0.2342","0.2305","0.2327","0.2556","0.2805","0.2887","0.2992","0.3007","0.318","0.2943","0.2907","0.3111","0.3158","0.3229","0.3264","0.3148","0.3059","0.3107","0.3066","0.3276","0.3366","0.3541","0.3805","0.4419","0.4623","0.4477","0.3341","0.2871","0.2779","0.2581"
"Total Debt To Total Assets","0.0573","0.0576","0.0584","0.0471","0.0476","0.0482","0.049","0.0489","0.0484","0.0481","0.0474","0.048","0.053","0.0499","0.0502","0.0508","0.0492","0.0518","0.0477","0.0477","0.0483","0.0481","0.0472","0.0465","0.0458","0.0453","0.0451","0.0446","0.0452","0.0446","0.0446","0.0492","0.05","0.0434","0.042","0.0394","0.0375","0.0371","0.0361"
"Interest Coverage","11.253","12.9059","17.3377","11.4795","6.2222","5.863","10.863","14.0822","8.2055","15.8082","18.0137","16.2564","12.369","10.7586","15.2874","7.1325","7.202","11.5102","6.913","12.2688","7.4731","12.7053","12.2391","3.3804","-10.3846","9.0652","4.663","6.3846","2.8043","2.163","7.8614","3.1226","5.7526","-0.4886","-19.9425","-16.5455","0.0227","5.8523","12.7841"
"Income Quality","0.8927","1.2868","1.5425","2.8187","2.6612","3.2903","2.0217","2.2271","2.2607","0.8735","0.844","1.8187","1.184","0.8075","1.4457","4.8968","1.8733","1.0437","1.1066","1.1674","2.2861","1.0535","0.3624","2.3486","-0.8558","1.3855","2.3871","2.5313","7.7931","8.0333","1.5174","4.6742","2.4679","-5.5547","-0.3136","-1.3619","47.16","3.2184","1.7303"
"Payout Ratio","0.245","0.203","0.151","0.25","0.508","0.579","0.25","0.192","0.375","0.192","0.149","0.158","0.199","0.214","0.141","0.373","0.269","0.168","0.268","0.148","0.256","0.143","0.153","0.618","-0.176","0.212","0.385","0.294","0.741","0.909","0.208","0.488","0.278","-0.392","-0.199","-0.241","8.2","0.661","0.281"
"Intangible Assets out of Total Assets","0.0208","0.0208","0.0112","0.0112","0.0114","0.0115","0.0116","0.0115","0.0114","0.0113","0.0112","0.0113","0.0111","0.01","0.0101","0.0102","0.0102","0.0098","0.0098","0.0098","0.0099","0.0099","0.0099","0.0069","0.0068","0.0067","0.0067","0.0066","0.0067","0.0066","0.0066","0.0064","0.0066","0.0067","0.0065","0.0061","0.0058","0.0054","0.0053"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","108556000000.0","107948000000.0","107391000000.0","107318000000.0","106065000000.0","104728000000.0","103437000000.0","104630000000.0","105898000000.0","106845000000.0","107260000000.0","107091000000.0","109014000000.0","123048000000.0","122277000000.0","121042000000.0","120241000000.0","125373000000.0","125707000000.0","125746000000.0","124293000000.0","124691000000.0","123951000000.0","126085000000.0","128149000000.0","129551000000.0","130000000000.0","131660000000.0","129936000000.0","131512000000.0","131777000000.0","134630000000.0","132217000000.0","129497000000.0","133924000000.0","142694000000.0","149958000000.0","151385000000.0","155583000000.0"
"Invested Capital","114422000000.0","113852000000.0","113302000000.0","112039000000.0","110728000000.0","109305000000.0","108066000000.0","108900000000.0","110279000000.0","111123000000.0","111743000000.0","111401000000.0","113971000000.0","128078000000.0","127803000000.0","126190000000.0","125582000000.0","131109000000.0","130958000000.0","131161000000.0","129780000000.0","130172000000.0","129083000000.0","130966000000.0","133363000000.0","134818000000.0","135346000000.0","137069000000.0","135134000000.0","136718000000.0","137075000000.0","140564000000.0","138208000000.0","134319000000.0","139168000000.0","147998000000.0","154868000000.0","156657000000.0","160801000000.0"
"Average Receivables","14329000000.0","14251500000.0","14202000000.0","14450000000.0","14181000000.0","14020500000.0","14008500000.0","13669000000.0","13501500000.0","13346500000.0","13406500000.0","12719000000.0","13173000000.0","13082500000.0","13338000000.0","12332500000.0","12755500000.0","12704000000.0","12994500000.0","12047000000.0","11682000000.0","11728500000.0","11781000000.0","11643000000.0","11341000000.0","11334500000.0","11292500000.0","11504000000.0","11391000000.0","11327500000.0","11219500000.0","11321000000.0","11059500000.0","11048000000.0","10970500000.0","11029000000.0","10697500000.0","10650500000.0","10656000000.0"
"Average Payables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
