"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","67.875","46.849","46.829","46.531","46.343","43.662","43.478","43.837","38.634","36.27","35.49","35.989","33.65","32.353","32.443","32.801","32.71","30.825","30.627","31.454","29.456","26.803","26.446","26.639","24.923","23.51","22.721","22.761","22.384","21.082","22.241","23.43","23.254","23.633","23.421","23.552","21.751","21.784","22.441"
"Tangible Book Value per Share","169.771","159.317","162.219","141.438","136.653","123.294","126.113","125.804","123.73","120.383","121.665","111.22","108.824","103.336","98.989","102.935","98.284","83.139","75.562","77.149","72.98","69.427","69.69","67.86","66.627","64.386","59.972","57.722","57.146","57.649","56.304","57.164","57.79","53.51","51.492","60.795","67.905","61.909","56.956"
"FCF per Share","2.974","-1.349","-1.44","3.181","1.967","-0.276","0.225","5.771","6.278","-3.347","0.869","3.55","2.978","-2.049","0.498","5.03","-4.242","0.891","1.895","2.235","4.348","-0.903","-2.048","4.898","-1.304","1.151","1.138","1.043","-0.705","-0.867","-0.843","1.946","-1.036","1.574","-1.572","2.772","2.183","-2.907","-1.338"
"Interest Debt per Share","58.4251","56.7293","59.4087","39.4839","37.6653","33.8294","33.97","30.9469","33.6342","33.0511","33.1554","22.9711","23.6272","21.5461","21.2896","24.9926","24.7275","11.6058","11.4409","11.361","12.192","12.0","12.2639","11.2561","12.0827","13.6088","14.0989","13.1086","13.1317","13.2043","13.2637","13.3068","13.3116","11.211","11.7249","11.2473","13.0842","15.301","12.1985"
"Cash per Share","8.1116","19.6243","28.2348","11.7343","9.3808","3.6706","7.8565","7.8286","7.8115","3.6661","7.9681","11.9625","9.5824","6.0777","9.3363","11.0847","3.1517","14.3942","11.8084","9.7923","9.4699","5.0896","6.4888","7.9649","4.2567","5.113","4.5795","2.406","1.3594","2.0789","2.9755","3.864","2.0217","1.1313","0.1456","1.3421","0.1758","0.301","0.1691"
"Debt to Equity Ratio","0.8608","1.2109","1.2686","0.8485","0.8127","0.7748","0.7813","0.706","0.8706","0.9113","0.9342","0.6383","0.7021","0.666","0.6562","0.7619","0.756","0.3765","0.3736","0.3612","0.4139","0.4477","0.4637","0.4226","0.4848","0.5789","0.6205","0.5759","0.5866","0.6263","0.5964","0.5679","0.5725","0.4744","0.5006","0.4775","0.6015","0.7024","0.5436"
"Total Debt To Total Assets","0.2827","0.331","0.3399","0.2592","0.2556","0.2527","0.2494","0.2284","0.2523","0.2541","0.2523","0.2065","0.2171","0.2085","0.2108","0.2383","0.2457","0.1396","0.1484","0.1444","0.1635","0.169","0.172","0.162","0.1769","0.2059","0.2285","0.2203","0.223","0.2222","0.2281","0.2231","0.2207","0.2","0.2167","0.1772","0.1853","0.2366","0.2041"
"Interest Coverage","2.1034","1.7978","2.7024","4.7714","11.9167","2.65","2.8889","23.537","17.963","5.3818","4.806","13.9","9.6829","2.7403","0.8974","4.1064","12.0606","6.0333","5.7586","7.3939","18.9118","3.5833","-3.7368","15.6053","6.8833","5.2143","1.3171","3.35","3.8919","-5.4595","-5.9167","2.4571","-1.4194","4.0357","6.1429","15.1667","0.931","-4.1111","-3.0625"
"Current Ratio","1.453","2.051","2.086","1.896","1.826","1.545","1.702","1.633","1.439","1.524","1.479","1.626","1.527","1.504","1.563","1.648","1.717","1.599","1.609","1.52","1.414","1.264","1.278","1.468","1.398","1.225","1.173","1.159","1.125","1.09","1.177","1.227","1.186","1.124","1.142","1.039","0.98","1.127","1.043"
"Income Quality","16.75","2.0","1.3205","3.3905","1.0622","2.6667","5.2593","1.2385","1.8127","-1.0207","2.1862","1.6944","2.3482","-1.9231","-27.0","8.3939","-1.7974","2.6559","15.1852","1.652","1.9096","-0.2679","1.3952","2.2406","-0.5596","1.972","76.6667","3.8571","-0.3881","0.2258","0.0335","11.303","0.8889","6.5882","-0.6804","1.9459","115.5","2.2439","-1.75"
