"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","12.671","12.082","11.92","12.004","11.469","11.008","10.498","10.176","9.923","9.516","9.383","9.5","9.475","9.127","9.032","8.374","8.093","7.842","7.576","7.52","6.967","6.911","6.608","6.599","6.707","6.577","6.649","6.173","5.628","5.338","5.061","4.743","4.405","4.089","3.882","4.141","3.862","3.467","3.54"
"Tangible Book Value per Share","15.572","14.512","13.956","13.347","12.495","11.973","14.455","14.484","13.605","13.301","13.048","12.634","12.797","11.881","11.655","11.56","10.808","10.311","9.741","9.899","9.173","8.665","8.213","8.341","8.019","7.521","7.112","7.022","6.266","5.883","5.364","5.179","4.815","4.745","5.069","5.173","5.004","4.697","4.433"
"FCF per Share","0.75","0.618","0.965","0.791","0.637","0.507","0.917","0.791","0.619","0.479","0.744","0.537","0.413","0.473","0.506","0.498","0.453","0.474","0.546","0.449","0.3","0.41","0.43","0.492","0.24","0.241","0.359","0.285","0.228","0.039","0.399","0.383","0.373","0.368","0.422","0.205","0.187","0.254","0.309"
"Interest Debt per Share","11.1073","10.5584","9.7655","9.6229","9.1982","9.3189","9.1199","9.2373","8.9336","8.8987","8.5726","8.3757","7.4581","7.0578","6.7364","5.8914","5.5808","5.2844","5.3204","4.9749","4.7793","4.2831","4.1903","3.7669","3.3819","2.7109","2.2918","2.6017","2.2533","2.3143","2.1839","2.3114","2.3965","2.5454","2.2628","2.1801","2.3356","2.4144","2.0225"
"Cash per Share","4.4477","4.1738","3.8054","3.292","2.6759","2.3199","5.7063","5.1722","4.5231","4.3584","4.2911","3.9728","4.5951","4.1245","3.7656","4.0449","3.5771","3.1987","2.9385","2.7669","2.4161","2.2818","1.9745","2.3248","2.0344","1.9736","1.7882","1.6908","1.2583","1.2458","1.2243","0.8971","0.6443","0.4396","0.6185","0.6529","0.5378","0.5099","0.514"
"Debt to Equity Ratio","0.8766","0.8739","0.8193","0.8016","0.802","0.8465","0.8688","0.9078","0.9003","0.9352","0.9136","0.8817","0.7871","0.7733","0.7459","0.7036","0.6895","0.6738","0.7023","0.6615","0.686","0.6198","0.6341","0.5708","0.5042","0.4122","0.3447","0.4215","0.4004","0.4335","0.4315","0.4873","0.544","0.6225","0.5828","0.5265","0.6048","0.6964","0.5713"
"Total Debt To Total Assets","0.3703","0.3718","0.3543","0.3551","0.3532","0.3633","0.3772","0.3812","0.3818","0.3926","0.3802","0.383","0.3596","0.3569","0.3458","0.3314","0.3298","0.3238","0.3272","0.3166","0.3239","0.3048","0.3098","0.2901","0.2679","0.2277","0.1992","0.2279","0.2199","0.2352","0.234","0.2523","0.2737","0.2945","0.2627","0.2553","0.28","0.309","0.2701"
"Interest Coverage","14.4658","16.3368","18.462","18.0","16.6556","13.1823","16.8895","17.4235","15.3977","15.4294","14.0","12.8246","12.8657","12.2984","14.8343","14.1773","14.4783","13.5302","14.2823","14.3054","13.7664","13.5851","14.8536","17.8014","18.9835","18.6563","18.7204","17.8704","17.5613","14.3531","13.8231","13.5583","12.3909","11.9838","13.9155","17.1891","16.7355","14.9663","15.8125"
"Current Ratio","2.329","2.351","2.196","2.25","2.871","2.795","3.818","3.572","3.649","3.817","3.302","2.168","2.023","2.059","1.961","3.446","3.525","3.344","3.047","3.055","3.026","3.076","3.395","3.515","3.465","3.145","3.041","2.849","2.945","2.726","2.823","2.69","2.758","2.507","2.104","2.329","2.424","2.594","2.351"
"Income Quality","1.1149","1.0574","1.4822","1.2969","1.1797","1.2401","1.6099","1.3956","1.3101","1.0473","1.4134","1.23","1.0326","1.2789","1.2589","1.2246","1.1725","1.1781","1.4756","1.1936","0.9039","1.2974","1.4809","1.3686","0.708","0.842","1.2255","0.935","0.8022","0.3238","1.7311","1.8036","1.895","1.9186","1.7303","0.9284","0.8746","1.1246","1.3303"
"Payout Ratio","0.195","0.219","0.211","0.192","0.209","0.275","0.215","0.212","0.224","0.224","0.21","0.224","0.179","0.2","0.189","0.196","0.104","0.104","0.114","0.109","0.116","0.128","0.029","0.025","0.023","0.028","0.026","0.025","0.026","0.036","0.038","0.043","0.045","0.048","0.034","0.031","0.031","0.036","0.036"
"Intangible Assets out of Total Assets","0.4809","0.489","0.4937","0.5074","0.5203","0.5332","0.4021","0.4023","0.4186","0.4131","0.4213","0.4223","0.383","0.3992","0.4018","0.3497","0.3612","0.3682","0.4009","0.3701","0.3784","0.3834","0.3928","0.3576","0.3648","0.3684","0.3818","0.385","0.3887","0.4022","0.4252","0.4346","0.45","0.451","0.4116","0.3942","0.4001","0.3989","0.408"
"Selling, General and Administrative Expense of Revenue","0.1275","0.1294","0.1253","0.1251","0.1272","0.1306","0.1184","0.1159","0.1229","0.1239","0.1179","0.1187","0.1225","0.1242","0.116","0.1187","0.1195","0.1213","0.1154","0.1166","0.1206","0.1263","0.126","0.1206","0.122","0.1255","0.1258","0.1271","0.1285","0.1351","0.1361","0.1397","0.144","0.145","0.1298","0.1273","0.128","0.1305","0.1303"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","2278500000.0","2139100000.0","1956000000.0","1891700000.0","2058100000.0","1920000000.0","2841600000.0","2781000000.0","2608100000.0","2608100000.0","2406600000.0","1817175000.0","1750592000.0","1648263000.0","1547700000.0","2184334000.0","2058911000.0","1910657000.0","1818401000.0","1776393000.0","1624504000.0","1546821000.0","1538822000.0","1665609000.0","1598302000.0","1463467000.0","1337140000.0","1270527000.0","1160787000.0","1023464000.0","917236000.0","840413000.0","769346000.0","707956000.0","701032000.0","816805000.0","796352000.0","783128000.0","703327000.0"
"Tangible Asset Value","4761800000.0","4449300000.0","4302600000.0","4122800000.0","3850900000.0","3682900000.0","4459500000.0","4474000000.0","4202700000.0","4123300000.0","4042900000.0","3957925000.0","4021037000.0","3743182000.0","3690000000.0","3668253000.0","3452050000.0","3294032000.0","3124351000.0","3194426000.0","2963129000.0","2822429000.0","2699112000.0","2801838000.0","2745748000.0","2634727000.0","2482558000.0","2440947000.0","2174405000.0","2038716000.0","1850512000.0","1775735000.0","1649810000.0","1624713000.0","1761824000.0","1828450000.0","1756144000.0","1659516000.0","1583905000.0"
"Net Current Asset Value","-1264600000.0","-1233900000.0","-1184400000.0","-1209900000.0","-1295000000.0","-1476200000.0","-330000000.0","-441900000.0","-533100000.0","-512600000.0","-595800000.0","-481537000.0","-56326000.0","-129874000.0","-130300000.0","103374000.0","67429000.0","28777000.0","-66366000.0","8234000.0","-77162000.0","-20862000.0","-79202000.0","195565000.0","233349000.0","301140000.0","318988000.0","159068000.0","181951000.0","73270000.0","-35971000.0","-159964000.0","-263848000.0","-362718000.0","-289726000.0","-123039000.0","-216475000.0","-261518000.0","-187011000.0"
"Invested Capital","5084400000.0","4823500000.0","4504900000.0","4564900000.0","4761100000.0","4766200000.0","4504200000.0","4648400000.0","4580400000.0","4605100000.0","4323900000.0","3781892000.0","3208905000.0","3111140000.0","3020700000.0","3360997000.0","3276489000.0","3145356000.0","2999831000.0","3042337000.0","2924838000.0","2729335000.0","2784892000.0","2624056000.0","2558732000.0","2210593000.0","2003331000.0","2070441000.0","1922781000.0","1816099000.0","1678419000.0","1763321000.0","1812558000.0","1875799000.0","1698464000.0","1753418000.0","1827849000.0","1840995000.0","1602419000.0"
"Average Receivables","1332300000.0","1260100000.0","1226950000.0","1241350000.0","1173400000.0","1146850000.0","1114150000.0","1127862000.0","1060285500.0","1031688000.0","1062350000.0","1009309000.0","968447000.0","916587000.0","955855500.0","914769000.0","872956500.0","816499000.0","838946000.0","853410500.0","816754000.0","757801500.0","742863000.0","765467500.0","719506500.0","658409500.0","584068000.0","596489500.0","545334000.0","516039500.0","482795000.0","524592000.0","500142000.0","483721000.0","513205000.0","528366500.0","491554500.0","450254000.0","447134500.0"
"Average Payables","707500000.0","648900000.0","633000000.0","656100000.0","602300000.0","599150000.0","603100000.0","630627000.0","546940500.0","531343000.0","584150000.0","540388000.0","490770000.0","462651500.0","523212500.0","479561000.0","439556500.0","424216500.0","437196000.0","448150500.0","429069000.0","408606000.0","381415000.0","407100000.0","401901000.0","367058000.0","338542500.0","339543500.0","312504500.0","288508000.0","299036000.0","314140500.0","282958500.0","273472000.0","300670500.0","309376000.0","275442000.0","253829500.0","265129500.0"
"Average Inventory","992900000.0","947900000.0","890350000.0","907150000.0","909800000.0","902450000.0","858700000.0","867886000.0","849226000.0","822055000.0","829100000.0","790398000.0","754470500.0","742145500.0","763159000.0","722456500.0","689415500.0","685344500.0","691790000.0","673501500.0","658807500.0","631046500.0","599515500.0","587271000.0","570412500.0","539541000.0","505459500.0","497859000.0","474223000.0","477900500.0","487128500.0","488924500.0","484743500.0","489846000.0","484694500.0","484487500.0","472748000.0","463867500.0","436690500.0"
