"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.016","12.459","11.665","26.855","28.162","27.913","27.584","30.903","30.221","28.408","31.318","31.614","29.883","31.71","29.711","36.06","35.95","37.653","37.104","38.158","38.412","39.795","39.023","42.058","44.143","41.707","39.976","39.227","37.048","37.252","38.24","40.746","39.466","46.536","43.989","55.563","61.474","58.252","56.65"
"Tangible Book Value per Share","31.499","34.061","33.958","73.129","70.189","70.178","71.507","76.42","76.952","75.216","81.732","86.03","84.128","89.586","90.67","92.801","93.804","98.145","98.413","98.462","96.626","99.705","98.552","96.77","101.917","98.73","100.361","97.654","94.846","96.356","102.9","101.761","100.431","119.652","123.105","125.231","130.816","126.37","120.276"
"FCF per Share","0.206","-0.916","0.8","0.046","0.126","-1.555","1.069","0.373","0.503","-1.036","2.517","-0.087","0.665","-2.116","1.397","-0.101","0.64","-0.856","1.504","-0.11","0.692","-1.424","1.849","0.462","1.483","-1.242","2.952","0.517","0.256","-0.065","2.343","-0.573","-0.277","-2.776","-1.533","-3.578","0.777","-3.816","-1.337"
"Interest Debt per Share","15.5193","18.3932","18.4365","23.5051","20.742","20.7055","20.2125","22.7637","21.5702","21.6413","22.5276","22.9223","20.6136","21.5657","23.333","23.4042","23.4497","25.0391","24.8191","26.7806","26.836","27.4166","26.4145","26.2483","26.3642","26.2372","26.9178","27.3469","28.7947","28.6893","30.2316","31.0138","31.6081","38.184","39.6518","37.3582","31.7894","31.2978","28.2686"
"Cash per Share","4.0476","5.8023","4.2488","7.2983","4.4041","3.1598","3.1188","4.2671","3.2175","2.9233","4.7768","8.3446","3.0274","1.8512","4.0305","2.8526","3.372","4.3626","5.2314","4.0266","4.8148","4.9216","5.4655","3.755","3.5536","2.504","4.5318","2.4765","3.949","3.799","4.5598","3.2821","2.6204","4.2319","2.8564","3.0649","2.9997","1.3925","1.7084"
"Debt to Equity Ratio","1.1923","1.4763","1.5804","0.8752","0.7365","0.7418","0.7328","0.7366","0.7137","0.7618","0.7193","0.7251","0.6898","0.6801","0.7853","0.649","0.6523","0.665","0.6689","0.7018","0.6986","0.6889","0.6769","0.6241","0.5972","0.6291","0.6734","0.6971","0.7772","0.7701","0.7906","0.7611","0.8009","0.8205","0.9014","0.6724","0.5171","0.5373","0.499"
"Total Debt To Total Assets","0.3582","0.4015","0.4034","0.2752","0.2514","0.2509","0.242","0.2536","0.2402","0.247","0.2369","0.2421","0.2218","0.2176","0.2328","0.2183","0.2168","0.2225","0.2197","0.237","0.2416","0.2394","0.2336","0.2351","0.2254","0.2304","0.2332","0.2426","0.2627","0.2579","0.2552","0.2644","0.2727","0.2765","0.2797","0.2595","0.2121","0.2156","0.206"
"Interest Coverage","2.4699","5.2087","-0.0091","3.3534","3.0806","1.5537","-6.3365","2.1707","2.7339","4.4508","2.4615","3.7619","3.0571","-1.125","-17.0982","1.5093","0.1695","2.8522","4.2083","-0.4194","1.0894","2.0813","-1.12","2.816","3.8098","5.018","3.661","1.0863","2.6218","0.0085","-2.4215","1.4583","-3.887","-6.0526","-10.432","5.2083","9.9425","6.202","7.0123"
"Current Ratio","2.27","2.594","2.143","1.703","1.475","1.38","1.526","1.669","1.504","1.525","1.438","1.81","1.264","1.284","1.142","1.167","1.177","1.195","1.296","1.19","1.263","1.253","1.283","1.364","1.357","1.261","1.318","1.392","1.196","1.287","1.297","1.402","1.476","1.522","1.12","1.316","1.249","1.143","1.076"
"Income Quality","1.0236","-0.9317","-0.5262","1.8434","2.4593","-26.875","-1.234","9.5455","3.3714","-0.8974","9.1698","1.6711","3.7536","3.0955","-0.3933","8.9167","-4.3193","-0.4698","3.8554","-1.8392","-268.5","-2.5106","-5.9791","2.843","2.4783","-0.7662","5.3101","6.4262","2.2059","-0.99","-4.0578","2.3896","-0.7225","0.5453","-0.5105","-0.347","1.8443","-0.9505","1.0174"
