"","42886.0","42794.0","42704.0","42613.0","42521.0","42429.0","42338.0","42247.0","42155.0","42063.0","41973.0","41882.0","41790.0","41698.0","41608.0","41517.0","41425.0","41333.0","41243.0","41152.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0"
"Book Value per Share","35.619","41.205","39.5","37.895","36.503","34.331","33.139","31.555","30.41","29.039","28.156","26.995","26.28","25.22","24.404","23.213","21.863","21.157","20.72","20.145","19.688","19.208","18.578","18.067","18.329","17.683","17.207","16.339","16.789","16.445","16.411","16.005","16.101","14.453","14.251","14.315","14.068","13.023","12.593"
"Tangible Book Value per Share","32.36","37.886","37.644","36.959","33.211","29.501","34.072","37.555","35.565","33.176","32.805","31.68","29.075","27.194","27.106","25.479","24.038","22.796","22.691","22.976","20.889","19.471","19.476","19.189","18.896","17.806","18.624","18.553","18.237","17.424","14.693","14.171","15.265","16.658","22.38","23.28","22.123","20.766","20.911"
"FCF per Share","2.051","0.379","0.562","1.822","2.448","1.099","0.695","2.71","1.583","0.471","0.656","2.179","1.474","0.14","0.84","1.297","1.562","0.086","-0.615","1.374","1.341","0.114","0.57","1.754","1.144","0.43","-0.031","1.353","1.016","0.028","0.868","1.412","0.682","-0.072","-0.316","2.624","1.201","0.518","0.481"
"Interest Debt per Share","8.2761","8.1301","8.1279","8.1096","8.1471","8.131","8.1386","8.1763","8.1875","8.2065","8.2233","8.1647","8.2617","8.2617","8.3005","8.2617","8.3768","8.3967","8.4569","8.5386","8.4976","8.5362","8.5777","8.4344","8.3153","8.3546","8.4143","8.3129","8.274","8.3129","5.4208","5.5119","7.2071","5.0738","9.1216","9.052","9.055","8.9974","8.7091"
"Cash per Share","4.4014","10.5753","10.3014","9.4338","7.7471","5.1563","12.9376","17.5592","15.0949","13.9466","13.5581","12.819","10.9182","9.5374","9.3451","8.3902","7.154","6.2423","6.3995","6.872","5.488","4.3623","4.1917","4.0621","3.7835","2.9669","3.6238","4.4941","4.555","3.6659","1.1418","0.4452","0.6917","1.7988","6.6324","7.3895","5.3823","4.5756","4.8275"
"Debt to Equity Ratio","0.2323","0.1973","0.2058","0.214","0.2232","0.2368","0.2456","0.2591","0.2692","0.2826","0.2921","0.3024","0.3144","0.3276","0.3401","0.3559","0.3832","0.3969","0.4082","0.4239","0.4316","0.4444","0.4617","0.4668","0.4537","0.4725","0.489","0.5088","0.4928","0.5055","0.3303","0.3444","0.4476","0.3511","0.6401","0.6323","0.6437","0.6909","0.6916"
"Total Debt To Total Assets","0.1306","0.1187","0.1201","0.1205","0.1273","0.135","0.1406","0.1464","0.1519","0.1595","0.1603","0.1624","0.1725","0.1793","0.1798","0.1857","0.1932","0.2029","0.2041","0.2035","0.2134","0.2212","0.2216","0.2212","0.2221","0.2299","0.2323","0.235","0.2406","0.2465","0.1741","0.1794","0.2231","0.1743","0.2676","0.2584","0.2664","0.277","0.2699"
"Interest Coverage","16.3827","13.425","16.4024","16.9","14.9012","13.1463","14.3165","13.0","13.7595","9.8375","11.0886","11.25","8.9753","7.2875","9.6","9.8987","6.7949","5.7692","6.2468","7.6711","7.7922","4.9221","6.9481","7.7703","6.5733","4.8667","5.9067","6.5616","5.5068","2.284","6.2985","7.5455","6.125","3.8267","4.7375","10.2602","9.6999","8.5179","7.9166"
"Current Ratio","2.01","2.494","2.224","1.967","1.975","1.943","2.448","2.713","2.764","2.88","2.702","2.522","2.618","2.7","2.474","2.365","2.338","2.508","2.407","2.135","2.127","2.2","2.014","1.903","2.0","2.026","2.021","1.949","2.17","2.196","0.937","0.888","1.368","1.826","1.511","1.456","1.424","1.361","1.958"
