"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","-3.342","0.153","1.324","3.302","0.919","6.072","9.455","9.782","8.963","11.07","12.154","19.826","18.999","19.255","19.795","11.638","9.751","9.707","7.78","9.916","7.617","6.618","4.729","7.915","6.289","5.223","3.771","5.982","4.142","4.106","2.929","-1.251","0.472","-0.72","-1.558","12.071","11.728","12.13","11.617"
"Tangible Book Value per Share","134.715","131.737","133.081","128.551","128.771","125.895","129.294","132.322","129.079","125.82","119.132","115.546","114.301","110.772","112.539","112.63","108.884","107.094","107.085","99.011","96.667","95.132","96.87","87.716","85.077","81.286","82.675","76.986","76.231","75.361","75.498","73.369","72.515","69.351","64.745","70.344","72.4","73.574","69.429"
"FCF per Share","7.426","2.635","3.657","4.122","3.962","0.808","3.752","3.341","3.756","-0.68","6.083","0.447","1.84","0.835","0.993","3.026","3.917","0.047","4.96","1.543","0.74","0.549","3.229","0.138","1.669","-1.81","0.998","2.146","0.038","-0.632","4.119","1.383","0.997","-0.317","-2.822","-1.197","-0.876","2.051","1.911"
"Interest Debt per Share","17.6755","17.3841","16.1253","16.526","17.311","14.9655","14.872","13.0856","12.9003","12.6547","12.7221","12.1328","12.0024","11.8486","12.8218","12.4769","12.41","11.9305","13.8036","14.6184","14.6995","15.3028","16.6448","16.4213","15.4504","15.6061","16.932","16.6788","17.4263","17.4882","17.787","15.7393","12.8866","13.1072","10.2506","10.5375","11.1299","11.0115","10.6017"
"Cash per Share","14.3323","13.1842","14.2603","14.2026","13.5235","11.8444","16.8691","13.6183","13.102","12.1185","16.4574","9.0928","10.1784","9.2057","12.0939","13.0555","11.2646","10.843","13.7135","8.6017","8.2743","8.8441","13.5206","7.8976","6.7101","7.5701","7.3053","3.8464","6.0143","6.1032","12.6824","8.691","6.5013","5.9895","4.4594","5.7986","7.6678","10.3117","9.0857"
"Debt to Equity Ratio","-5.2896","113.6737","12.1812","5.0053","18.8291","2.4645","1.5728","1.3377","1.4393","1.1432","1.0467","0.6119","0.6317","0.6154","0.6477","1.0721","1.2727","1.229","1.7742","1.4742","1.9299","2.3123","3.5195","2.0747","2.4568","2.988","4.4906","2.7883","4.2073","4.259","6.0733","-12.5861","27.2934","-18.2161","-6.5779","0.873","0.949","0.9078","0.9126"
"Total Debt To Total Assets","0.1197","0.1204","0.1106","0.1175","0.1229","0.1088","0.1055","0.0911","0.0919","0.0924","0.0976","0.0958","0.0958","0.0976","0.104","0.1014","0.104","0.1014","0.1171","0.1337","0.1373","0.1449","0.1547","0.1669","0.1612","0.17","0.1812","0.1904","0.2031","0.2055","0.2083","0.1881","0.158","0.1675","0.1397","0.1346","0.1394","0.1363","0.1393"
"Interest Coverage","27.5484","23.5172","27.6203","28.1975","-5.5616","24.8493","16.2639","38.1194","22.64","32.9016","24.8272","26.7089","22.1975","16.8587","15.9375","19.1579","18.0208","15.5253","14.7054","14.3091","14.6415","13.8246","15.0777","14.6033","12.5772","7.7769","8.5833","10.5692","10.1515","9.6066","14.9545","-23.4674","19.7125","17.2632","-4.4386","24.7755","27.0","41.3913","28.9649"
"Current Ratio","1.188","1.253","1.246","1.284","1.274","1.325","1.354","1.169","1.169","1.202","1.405","1.226","1.229","1.234","1.264","1.292","1.306","1.303","1.274","1.255","1.216","1.214","1.207","1.233","1.187","1.163","1.146","1.152","1.124","1.099","1.073","0.943","0.963","0.928","0.844","0.829","0.825","0.863","0.865"
