"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","27.062","26.551","26.166","26.349","25.858","25.34","24.635","24.502","23.995","23.785","23.152","22.697","22.569","21.958","21.885","21.67","21.44","21.974","21.986","22.142","21.899","21.828","22.377","22.761","22.009","22.914","22.732","23.104","23.419","25.042","26.774","29.846","35.235","37.601","35.697","35.44","36.677","35.302","33.202"
"Tangible Book Value per Share","217.751","215.193","207.205","206.819","204.411","203.424","198.839","198.791","197.514","196.409","192.713","194.444","198.803","196.004","190.162","190.864","189.446","193.779","197.394","193.382","192.81","196.787","198.732","210.749","214.804","215.916","215.71","224.643","226.202","242.082","244.338","247.221","294.972","346.412","345.663","378.331","366.33","371.591","367.425"
"FCF per Share","0.981","-1.272","-0.819","0.051","1.481","1.051","0.542","2.47","-0.318","0.023","0.098","0.258","0.437","2.127","1.161","0.744","4.266","2.456","-2.412","0.798","1.567","-1.459","2.338","-1.148","5.116","-0.092","0.462","3.78","1.561","2.578","3.626","2.619","2.66","8.518","-5.608","4.327","3.236","-0.963","2.579"
"Interest Debt per Share","45.6208","44.7193","40.3079","41.9722","42.6716","43.6534","42.2314","45.1006","47.324","45.1464","45.2243","47.6726","49.5062","48.227","46.4427","48.7338","50.2567","52.777","55.6309","55.2817","58.1662","61.2745","60.5691","67.3123","71.0071","74.7609","75.0672","84.2273","87.4432","94.5424","88.2933","88.9693","111.4493","137.0784","127.6155","138.4807","140.3337","138.5317","137.9692"
"Cash per Share","38.5536","38.6873","34.8916","36.1703","38.0021","39.2118","34.5791","36.7274","35.4127","35.8092","32.1334","34.2179","37.169","35.9582","31.3384","32.4369","31.1726","30.9606","32.4159","33.0729","34.5391","35.2119","34.7459","34.7156","37.1473","35.2629","34.3068","42.288","42.124","39.454","38.8089","42.063","48.4375","55.038","25.1835","30.3893","34.6834","38.3051","41.5822"
"Debt to Equity Ratio","1.6858","1.6843","1.5405","1.5929","1.6502","1.7227","1.7143","1.8407","1.9723","1.8981","1.9534","2.1004","2.1936","2.1963","2.1221","2.2489","2.3441","2.4018","2.5303","2.4967","2.6561","2.8071","2.7068","2.9574","3.2263","3.2627","3.3023","3.6455","3.7339","3.7753","3.2977","2.981","3.1631","3.6456","3.5749","3.9074","3.8262","3.9242","4.1554"
"Total Debt To Total Assets","0.2026","0.2009","0.1879","0.196","0.2016","0.2071","0.2048","0.2188","0.231","0.2215","0.226","0.2361","0.2399","0.2369","0.2349","0.2456","0.2551","0.2621","0.2713","0.275","0.2901","0.2992","0.2925","0.3068","0.317","0.3312","0.3328","0.3591","0.3683","0.371","0.3422","0.3412","0.358","0.3761","0.3482","0.3436","0.3626","0.3532","0.3555"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","2.002","-2.9504","-1.9276","0.1181","3.4586","3.6143","1.9086","6.1742","-0.6936","0.0902","0.1016","-6.2681","2.3479","-44.2082","3.7681","3.7092","12.9174","23.845","-71.2343","-267.1818","8.0424","-47.5701","15.5322","-1.9287","-5.6732","-0.3312","-3.2958","-4.9735","5.5605","8.4248","-6.169","-10.2213","8.2571","19.473","11.3888","28.5199","4.6619","-3.7569","56.8744"
