"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","16.866","16.055","15.267","15.95","15.527","16.428","16.142","14.33","14.684","13.366","14.982","15.506","15.982","15.998","15.586","14.271","13.411","12.772","12.661","13.009","11.911","12.03","11.696","12.283","12.275","11.671","11.303","11.183","9.946","10.679","11.906","11.712","10.794","9.949","10.112","11.294","11.532","11.071","10.891"
"Tangible Book Value per Share","24.096","22.061","21.805","21.941","22.026","24.16","30.887","29.385","44.373","35.173","39.836","35.723","35.192","34.624","34.484","34.6","37.201","30.607","31.157","30.036","27.44","27.512","28.295","26.527","26.089","25.742","25.773","25.716","23.624","24.266","24.861","24.099","22.201","21.06","21.69","20.942","21.19","20.163","20.707"
"FCF per Share","0.686","0.122","0.945","0.61","1.047","-0.942","0.859","0.038","0.893","-0.217","1.554","2.092","0.325","0.255","2.604","1.046","0.766","0.172","0.996","0.891","1.28","0.37","1.021","1.214","0.74","0.3","1.155","1.325","0.921","0.081","1.003","1.038","0.98","0.108","0.456","0.899","0.819","0.324","0.761"
"Interest Debt per Share","6.3548","5.1516","5.1234","5.2206","5.781","6.1148","11.8741","12.3242","26.136","18.4254","16.6587","17.0996","16.3081","16.0406","16.8803","16.6961","16.639","10.7651","10.8212","10.8522","9.6618","9.3184","9.2274","8.0247","7.7193","7.5806","7.5508","8.3613","8.118","7.8953","6.8725","6.8909","6.313","6.3785","6.0974","5.472","5.1661","4.5443","4.8646"
"Cash per Share","7.0165","5.2828","5.1584","4.7739","4.7993","4.0273","4.0383","3.6081","12.2794","4.6593","5.3967","3.8339","3.4428","3.7804","5.0331","4.3757","11.0295","4.9339","5.9672","5.823","4.2782","4.0644","5.1599","4.1307","3.5404","3.7574","4.6213","4.774","3.8786","4.4402","4.6126","4.2496","2.9687","2.7781","3.4594","3.5056","3.4297","2.7468","3.9984"
"Debt to Equity Ratio","0.3768","0.3209","0.3356","0.3273","0.3723","0.3722","0.7356","0.86","1.7799","1.3785","1.1119","1.1028","1.0204","1.0027","1.0831","1.17","1.2407","0.8428","0.8547","0.8342","0.8112","0.7746","0.7889","0.6533","0.6288","0.6495","0.668","0.7477","0.8162","0.7393","0.5772","0.5883","0.5849","0.6411","0.603","0.4845","0.448","0.4105","0.4466"
"Total Debt To Total Assets","0.2038","0.178","0.179","0.1798","0.1982","0.1935","0.3104","0.3336","0.4737","0.4024","0.3454","0.3626","0.3449","0.3442","0.3634","0.359","0.3804","0.2888","0.2908","0.3","0.2881","0.2773","0.2724","0.2546","0.248","0.2512","0.2508","0.278","0.292","0.2769","0.2392","0.2459","0.2434","0.2615","0.2438","0.2249","0.209","0.1918","0.202"
"Interest Coverage","24.6154","24.3571","22.6923","10.3571","111.7273","119.6429","8.0938","0.0","13.2","15.8","33.2414","16.9677","16.5714","17.3256","0.1951","16.1111","44.7059","28.72","26.7273","31.64","38.1364","41.6667","36.9333","52.7857","53.6","73.4","25.4211","27.75","27.72","6.7368","29.44","29.5217","31.0833","25.4231","50.0714","28.9","27.88","32.4118","50.5"
"Current Ratio","3.012","2.721","2.396","2.528","1.833","2.097","2.051","1.862","2.297","1.603","1.683","1.608","1.637","1.663","1.943","1.921","2.698","1.845","1.946","2.042","1.653","1.671","1.781","1.921","1.937","1.996","1.977","1.939","1.805","1.871","1.853","2.325","2.083","2.143","1.966","2.237","2.228","2.167","1.982"
