"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","22.091","21.569","21.035","20.718","20.143","19.861","19.587","19.291","19.538","19.011","18.567","18.526","17.995","17.223","17.815","15.858","15.333","14.775","14.049","14.426","13.553","13.414","12.686","12.885","13.051","12.573","12.098","11.443","10.889","10.785","10.374","11.045","10.561","10.088","10.082","10.066","10.091","9.77","9.541"
"Tangible Book Value per Share","27.165","26.509","24.63","24.105","23.565","23.065","23.122","22.936","23.255","22.842","22.477","22.439","22.851","21.861","21.493","20.515","20.316","19.494","18.782","19.77","17.825","17.779","17.27","17.575","16.613","16.059","15.454","12.886","12.331","10.966","10.494","10.802","10.42","9.796","10.015","10.186","10.306","11.047","10.362"
"FCF per Share","0.577","0.269","0.762","0.913","1.213","0.2","0.459","0.671","1.099","0.861","0.894","1.139","1.213","0.478","0.491","0.767","1.164","0.736","0.43","0.257","0.606","0.451","0.216","0.856","0.752","0.346","0.285","0.454","0.907","0.527","0.447","0.202","0.342","0.285","0.029","-0.012","1.285","0.354","0.258"
"Interest Debt per Share","2.5437","2.9721","3.0494","3.6163","3.6992","3.6555","3.5251","3.5113","3.5623","3.985","3.3734","3.4368","3.4893","3.534","3.5781","3.6132","3.7463","3.8003","3.8665","4.3543","3.0151","3.0762","3.1574","3.2776","3.1702","3.2258","3.2829","1.4511","1.3927","0.5141","0.4691","0.1753","0.2599","0.3316","0.37","0.3831","0.5426","1.8132","1.2406"
"Cash per Share","15.6528","15.5241","14.8641","14.7248","14.0907","13.568","13.7475","13.6329","13.6226","13.062","12.6696","12.1479","12.2634","10.955","10.6203","9.9545","9.7708","8.7138","8.2318","9.4878","8.3417","7.8403","7.5313","7.8575","7.0916","6.9762","6.4303","6.1068","5.8512","4.4162","4.1444","4.4928","3.4094","3.4981","4.0635","3.5965","4.2928","5.1253","3.9212"
"Debt to Equity Ratio","0.1151","0.1378","0.145","0.1746","0.1837","0.1841","0.18","0.182","0.1823","0.2096","0.1817","0.1855","0.1939","0.2052","0.2009","0.2278","0.2443","0.2572","0.2752","0.3018","0.2225","0.2293","0.2489","0.2544","0.2429","0.2566","0.2714","0.1268","0.1279","0.0477","0.0452","0.0159","0.0246","0.0329","0.0367","0.0381","0.0538","0.1856","0.13"
"Total Debt To Total Assets","0.0817","0.0976","0.107","0.1294","0.1353","0.1363","0.1312","0.1319","0.1322","0.1503","0.1288","0.1314","0.1312","0.1382","0.1419","0.1491","0.156","0.1636","0.1716","0.1883","0.1428","0.1459","0.1536","0.1574","0.1604","0.1683","0.178","0.0915","0.0912","0.037","0.035","0.0128","0.0196","0.0262","0.0287","0.0293","0.0412","0.1303","0.0943"
"Interest Coverage","47.1008","49.6667","49.203","48.4179","52.5285","45.4344","55.7917","45.3721","53.6715","496.5882","73.7876","72.648","77.1743","71.1579","68.9762","63.7826","77.22","73.8807","51.1724","80.3452","64.3861","74.4688","80.314","56.9222","71.8324","83.0306","90.7666","56.0192","103.483","542.2724","691.4838","1879.8657","1962.7062","86.0693","155.7258","950.2657","169.5099","88.3349","118.3664"
"Current Ratio","5.297","6.778","6.806","5.805","5.923","6.066","6.143","6.321","6.074","5.177","5.18","7.228","6.969","7.395","7.031","5.182","4.888","3.582","3.937","","","","","","","","","","","","","","","","","","","",""
