"","42947.0","42855.0","42766.0","42674.0","42582.0","42490.0","42400.0","42308.0","42216.0","42124.0","42035.0","41943.0","41851.0","41759.0","41670.0","41578.0","41486.0","41394.0","41305.0","41213.0","41121.0","41029.0","40939.0","40847.0","40755.0","40663.0","40574.0","40482.0","40390.0","40298.0","40209.0","40117.0","40025.0","39933.0","39844.0","39752.0","39660.0","39568.0","39478.0","39386.0"
"Book Value per Share","3.696","3.569","3.077","3.277","3.377","3.904","3.519","3.392","4.123","4.523","4.827","4.86","4.809","4.764","4.43","4.298","3.896","3.811","3.557","5.403","4.976","4.856","4.779","4.641","4.762","4.73","4.303","4.505","4.234","4.3","4.271","4.207","4.003","4.03","4.011","4.009","3.876","3.818","3.679","3.784"
"Tangible Book Value per Share","8.813","8.416","8.363","8.523","8.506","7.493","7.852","7.519","7.545","7.052","6.941","6.974","6.806","6.578","6.342","6.059","5.611","5.479","5.958","5.908","5.407","5.145","5.619","5.505","5.64","5.549","5.025","4.792","4.647","4.648","4.693","4.97","4.615","4.691","4.739","5.136","4.567","4.466","4.361","4.679"
"FCF per Share","0.193","0.396","0.624","0.054","0.282","0.14","0.653","-0.031","0.261","0.487","0.643","-0.166","0.19","0.52","0.375","0.171","0.159","0.311","0.426","0.131","0.164","0.345","0.404","0.182","0.132","0.262","0.48","0.167","0.227","0.238","0.485","0.183","0.244","0.297","0.477","-0.006","0.2","0.28","0.412","0.123"
"Interest Debt per Share","5.799","5.5978","5.7852","5.7572","5.6899","3.7516","4.3159","4.315","3.6037","2.8089","2.3791","2.6277","2.367","2.356","2.3593","2.3479","2.3458","2.3453","2.9534","1.2002","1.1989","1.1971","1.7887","1.7586","1.7516","1.7426","1.745","1.4608","1.6339","1.5863","1.74","2.1622","2.0322","2.2169","2.3422","2.6536","2.2076","2.2264","2.202","2.4162"
"Cash per Share","0.6195","0.4741","0.512","0.5389","1.1654","0.6573","0.7872","0.4722","1.1932","0.8785","0.5912","0.5504","1.077","1.0244","0.6731","0.449","0.5075","0.4775","0.906","0.8638","0.8476","0.7934","1.1625","0.8793","1.271","1.3018","0.6399","0.3551","0.5914","0.5265","0.5485","0.6494","0.6361","0.7545","0.7411","0.723","0.3546","0.2634","0.2965","0.4167"
"Debt to Equity Ratio","1.569","1.5686","1.8801","1.7568","1.685","0.9609","1.2265","1.2719","0.874","0.621","0.4929","0.5407","0.4922","0.4946","0.5326","0.5462","0.602","0.6155","0.8302","0.2221","0.241","0.2465","0.3743","0.3789","0.3678","0.3684","0.4055","0.3243","0.3859","0.3689","0.4074","0.5139","0.5077","0.5501","0.5839","0.6618","0.5696","0.5832","0.5985","0.6385"
"Total Debt To Total Assets","0.464","0.4646","0.4839","0.4775","0.4713","0.3588","0.4011","0.4126","0.3443","0.2825","0.2418","0.2644","0.2412","0.2449","0.2519","0.2586","0.2721","0.2763","0.329","0.1346","0.1427","0.1467","0.2071","0.2069","0.2031","0.2045","0.2157","0.1862","0.213","0.2066","0.2243","0.2687","0.2658","0.2875","0.3022","0.3259","0.2892","0.2954","0.2991","0.3151"
"Interest Coverage","15.3125","14.1333","17.125","18.25","16.4615","60.5833","23.1667","25.1667","25.2222","38.8333","45.3333","43.2857","31.5714","31.3333","42.5","44.5714","31.1429","10.4706","26.4444","52.6","44.4","20.3514","26.1772","31.6667","23.6329","27.5556","30.1467","35.1642","25.8507","16.1622","22.9474","28.9744","23.8272","13.9432","18.9894","23.2708","15.4674","13.1923","16.6909","14.9097"
"Current Ratio","2.298","2.424","2.104","2.799","2.93","2.823","2.186","2.078","2.846","2.353","2.569","3.391","3.546","3.881","3.482","3.751","3.614","3.85","2.535","4.062","3.883","4.329","2.692","2.585","2.623","2.795","3.854","2.956","2.542","2.797","2.264","1.937","1.899","1.883","2.137","1.52","1.457","1.48","1.433","1.42"
