"","42916.0","","",""
"Book Value per Share","137.051","","",""
"Tangible Book Value per Share","1872.941","","",""
"Interest Debt per Share","25.1809","","",""
"Cash per Share","37.0951","","",""
"Debt to Equity Ratio","0.1837","0.3167","0.3167","0.2811"
"Total Debt To Total Assets","0.0134","0.0212","0.0212","0.0209"
"Interest Coverage","0.0","0.0","",""
"Payout Ratio","0.0","0.0","",""
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","",""
"Research and Development Expense of Revenue","0.0","0.0","",""
"Tangible Asset Value","224328000000.0","221930000000.0","221930000000.0","226725000000.0"
"Invested Capital","222901000000.0","221409000000.0","221409000000.0","229888000000.0"
