"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41091.0","41000.0","40908.0","40818.0","40727.0","40636.0","40543.0","40447.0","40356.0","40265.0","40178.0","40083.0","39992.0","39901.0","39813.0","39719.0","39628.0","39537.0","39447.0"
"Book Value per Share","10.568","10.636","10.149","10.942","13.496","3.801","4.603","4.527","4.872","4.207","4.536","5.125","5.059","4.566","4.851","4.538","4.058","4.207","4.171","4.751","4.281","4.319","4.169","4.794","5.164","4.971","4.587","4.751","3.916","4.063","4.217","3.935","3.492","2.972","2.893","3.687","3.929","3.748","3.367"
"Tangible Book Value per Share","26.636","27.353","26.208","28.079","62.807","25.22","26.739","17.948","18.1","17.841","17.361","17.209","17.276","16.967","16.593","16.491","16.555","16.449","14.925","15.48","15.047","15.285","13.741","14.724","14.847","14.573","12.044","12.11","11.56","12.217","10.906","12.132","11.017","11.432","11.099","10.358","10.787","10.43","9.491"
"FCF per Share","1.555","-1.494","1.201","-1.701","1.01","-1.848","0.872","0.936","0.976","-1.043","0.809","1.179","0.979","-0.704","1.23","1.342","0.422","-1.383","1.186","0.792","0.736","-0.943","1.172","0.518","0.349","-0.501","0.068","0.761","0.723","-0.82","1.366","-0.076","0.781","-1.004","1.157","0.361","0.152","-0.744","0.457"
"Interest Debt per Share","21.5002","22.7769","21.5878","23.1921","39.9858","20.4488","18.4379","11.5129","11.8297","12.754","11.5964","12.0118","12.7226","13.4276","12.3511","12.1367","12.8766","12.8177","10.6859","10.7729","11.0499","11.6223","9.5117","10.5676","10.3427","10.394","7.7797","7.2272","7.3318","8.5801","6.9155","7.4109","6.3279","7.1074","6.4129","6.9717","7.0745","7.0978","5.916"
"Cash per Share","1.2334","1.3084","1.7111","1.8475","30.0025","8.1245","8.6805","0.8898","0.8247","0.8345","0.7004","0.6865","0.5586","0.6246","1.4252","0.5796","0.5697","0.6959","0.5629","0.5855","0.3941","0.342","0.5016","0.5812","0.431","0.5706","0.4205","0.4606","0.2031","1.0516","0.561","1.1123","0.1586","0.1419","0.339","0.2986","0.1636","0.2312","0.3803"
"Debt to Equity Ratio","2.0345","2.1416","2.1271","2.1196","2.9627","5.3794","4.0056","2.5433","2.428","3.0317","2.5564","2.3436","2.5147","2.941","2.546","2.6747","3.173","3.0464","2.5621","2.2677","2.5814","2.6907","2.2816","2.2045","2.0028","2.0908","1.6961","1.5211","1.8721","2.1116","1.6401","1.8834","1.812","2.3915","2.2166","1.8907","1.8004","1.8936","1.7569"
"Total Debt To Total Assets","0.4514","0.479","0.4657","0.4746","0.453","0.5765","0.5209","0.4093","0.4152","0.4565","0.4186","0.4354","0.4552","0.4869","0.461","0.4569","0.4902","0.4927","0.4403","0.4431","0.4654","0.4801","0.4316","0.4585","0.4426","0.4519","0.406","0.3793","0.4091","0.4539","0.4001","0.4102","0.3763","0.4139","0.3784","0.4281","0.4167","0.4281","0.3918"
"Interest Coverage","2.6133","2.3235","2.662","1.4634","3.2184","-1.1212","1.806","1.2373","7.6389","1.2245","3.2154","5.6683","6.2537","2.8158","4.9541","4.4038","2.6922","3.0112","3.1031","4.7738","5.2394","2.9255","3.7972","5.1791","5.5951","3.9957","3.8986","8.9558","3.9038","3.9558","3.8968","6.4948","8.4211","4.7829","2.4095","5.4622","5.1902","4.3425","2.1586"
"Current Ratio","1.124","1.295","1.23","1.394","0.974","1.041","1.02","1.045","1.143","1.21","1.153","1.177","1.226","1.32","1.282","1.545","1.482","1.505","1.388","1.404","1.33","1.389","1.251","1.441","1.555","1.612","1.667","1.218","1.356","1.268","1.582","1.725","1.266","1.37","1.163","1.478","1.363","1.374","1.218"
"Income Quality","6.6768","-5.8529","11.8302","0.0","1.3746","3.0394","7.4545","8.5778","2.45","-8.619","4.7632","2.9851","2.2613","-1.4567","3.4353","4.322","2.5026","-4.5083","8.706","2.7246","2.1004","-2.4723","6.5471","2.1181","1.6464","-0.8149","1.5597","1.4976","4.387","-3.43","6.801","-0.0299","2.3781","-4.4288","14.4734","2.0412","1.45","-2.5609","8.042"
"Payout Ratio","0.357","0.35","0.5","0.065","-0.156","0.35","0.438","0.121","1.0","0.25","0.13","0.127","0.206","0.159","0.175","0.212","0.292","0.278","0.132","0.111","0.179","0.167","0.098","0.093","0.148","0.111","0.047","0.167","0.143","0.136","0.107","0.086","0.167","0.333","0.111","0.115","0.143","0.375",""
"Intangible Assets out of Total Assets","0.4408","0.4247","0.4346","0.4254","0.2885","0.289","0.2446","0.362","0.3648","0.3615","0.3734","0.3762","0.382","0.3848","0.3807","0.3792","0.3698","0.3678","0.3851","0.3633","0.3662","0.3687","0.3765","0.3611","0.3647","0.3664","0.3715","0.3644","0.3549","0.3537","0.369","0.3286","0.3448","0.3342","0.345","0.3639","0.3646","0.3709","0.3715"
"Selling, General and Administrative Expense of Revenue","0.0448","0.0578","0.0666","0.048","0.0517","0.0615","0.0609","0.051","0.0543","0.0603","0.0609","0.055","0.0486","0.0537","0.0538","0.0435","0.0467","0.0549","0.0478","0.0378","0.0429","0.0488","0.0484","0.0397","0.0403","0.0494","0.0536","0.0457","0.0387","0.0498","0.0486","0.0459","0.0418","0.0474","0.0319","0.0336","0.0377","0.0469","0.0398"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","415000000.0","889000000.0","684000000.0","1161000000.0","-267000000.0","91000000.0","42000000.0","103000000.0","312800000.0","428600000.0","306700000.0","356900000.0","446200000.0","583000000.0","543500000.0","855200000.0","852100000.0","879800000.0","653600000.0","740200000.0","623200000.0","704300000.0","465800000.0","788300000.0","972800000.0","1031000000.0","922400000.0","422800000.0","669100000.0","546100000.0","832000000.0","1125000000.0","465200000.0","628800000.0","302900000.0","652100000.0","576900000.0","559400000.0","329800000.0"
"Tangible Asset Value","9351000000.0","9575000000.0","9144000000.0","9803000000.0","17842000000.0","7152000000.0","7325000000.0","4929900000.0","4988500000.0","4891500000.0","4744200000.0","4749900000.0","4803100000.0","4764500000.0","4843200000.0","4785500000.0","4925600000.0","4916200000.0","4616100000.0","4790500000.0","4715400000.0","4772400000.0","4542100000.0","4816400000.0","4987600000.0","4931400000.0","4353900000.0","4436000000.0","4269300000.0","4547200000.0","4094300000.0","4560500000.0","4132100000.0","4277400000.0","4171200000.0","3951300000.0","4181400000.0","4055100000.0","3784100000.0"
"Net Current Asset Value","-9246000000.0","-9014000000.0","-8979000000.0","-9136000000.0","-11157000000.0","-6658000000.0","-6252000000.0","-4101000000.0","-4005000000.0","-4039200000.0","-4017900000.0","-3821400000.0","-3945000000.0","-4058100000.0","-3933500000.0","-3967000000.0","-3988700000.0","-3895800000.0","-3877700000.0","-3483600000.0","-3586400000.0","-3693900000.0","-3584700000.0","-3396500000.0","-3391000000.0","-3386300000.0","-2963900000.0","-2880600000.0","-2622000000.0","-2935800000.0","-2643100000.0","-2635900000.0","-2784900000.0","-2986200000.0","-3116100000.0","-2786800000.0","-2890600000.0","-2932500000.0","-2834100000.0"
"Invested Capital","13116000000.0","14072000000.0","13110000000.0","14312000000.0","10325000000.0","8415000000.0","7856000000.0","5568200000.0","5829200000.0","6120200000.0","5714900000.0","5854000000.0","6211400000.0","6538400000.0","6104900000.0","6569100000.0","6819800000.0","6796200000.0","6061300000.0","6113000000.0","6166100000.0","6482000000.0","5664300000.0","6297400000.0","6565400000.0","6572200000.0","5630900000.0","4979300000.0","5021300000.0","5308000000.0","5049700000.0","5376100000.0","4699200000.0","5186100000.0","4591500000.0","5132200000.0","5271900000.0","5229000000.0","4478000000.0"
"Average Receivables","1773500000.0","1358500000.0","1188000000.0","1443400000.0","1551000000.0","1032850000.0","921050000.0","1073600000.0","1132750000.0","1012400000.0","908250000.0","1068450000.0","1098700000.0","1019400000.0","894750000.0","1146900000.0","1133500000.0","1079450000.0","920250000.0","1156950000.0","1179100000.0","1090400000.0","880050000.0","1114450000.0","1139000000.0","1033150000.0","692300000.0","1090000000.0","917800000.0","839100000.0","521400000.0","916250000.0","805850000.0","683300000.0","545300000.0","813300000.0","805700000.0","686850000.0","581100000.0"
"Average Payables","2157000000.0","1544500000.0","1767000000.0","1657700000.0","1806200000.0","1265100000.0","1420500000.0","1351300000.0","1280200000.0","1120550000.0","1169400000.0","1125000000.0","1033100000.0","942850000.0","972850000.0","952550000.0","901350000.0","874200000.0","897100000.0","841550000.0","860600000.0","843300000.0","773800000.0","794100000.0","817550000.0","800050000.0","641050000.0","750000000.0","751550000.0","713800000.0","672750000.0","695750000.0","767250000.0","708100000.0","763650000.0","720200000.0","773350000.0","701550000.0","748000000.0"
"Average Inventory","1503500000.0","1255000000.0","1155500000.0","1147000000.0","1206000000.0","994600000.0","957350000.0","924350000.0","978600000.0","1057400000.0","1022500000.0","976500000.0","1064300000.0","1112600000.0","1036350000.0","986650000.0","1068000000.0","1134050000.0","1058450000.0","1043800000.0","1116150000.0","1185100000.0","1078200000.0","996750000.0","1036450000.0","1132550000.0","982550000.0","902900000.0","938800000.0","1051300000.0","927700000.0","953900000.0","1047100000.0","1108600000.0","986150000.0","934250000.0","995800000.0","1076350000.0","966750000.0"
