"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","5.282","5.166","4.943","4.764","4.582","4.782","4.696","4.769","4.906","4.874","4.867","5.055","4.946","4.944","4.92","4.897","4.915","4.81","5.03","4.903","5.43","7.885","7.734","7.608","7.549","7.448","7.431","7.263","7.183","7.119","8.143","8.81","8.902","8.822","8.774","10.454","10.44","10.301","10.125"
"Tangible Book Value per Share","4.081","4.043","4.064","3.94","4.003","3.835","4.062","4.106","4.288","3.807","4.161","3.836","3.841","3.659","3.707","4.05","4.032","3.724","3.582","3.605","3.58","3.488","3.444","3.413","3.348","3.613","3.683","3.687","3.97","3.801","4.352","4.599","4.504","4.363","4.978","4.856","4.768","4.98","5.452"
"FCF per Share","0.085","0.001","0.22","-0.075","0.252","0.064","0.181","0.251","0.01","-0.182","0.272","0.219","0.166","0.105","0.144","0.145","0.258","0.138","0.251","0.162","0.249","0.101","0.192","0.196","0.201","-0.109","0.257","-0.134","0.148","-0.234","-0.272","0.26","0.229","0.134","-0.065","0.377","0.12","0.14","0.148"
"Interest Debt per Share","4.2597","4.0384","4.0261","3.9872","3.9981","4.2039","4.2186","4.3594","3.8112","3.2001","3.1989","3.2078","3.2157","3.2148","3.1899","3.1702","3.1649","3.1467","3.1159","3.0557","2.9911","2.947","2.9028","2.815","2.7483","3.2257","3.5772","3.9722","3.978","3.9095","3.9176","3.9952","4.1479","4.1514","4.4922","4.5133","4.8644","5.0653","5.4919"
"Cash per Share","0.1424","0.1143","0.1439","0.1742","0.3227","0.2503","0.2371","0.2604","0.6732","0.1815","0.4425","0.1856","0.2698","0.1445","0.1633","0.426","0.3945","0.1982","0.1515","0.2528","0.2607","0.1965","0.1819","0.1823","0.1007","0.3898","0.1401","0.4106","0.5347","0.3427","0.572","0.915","0.7924","0.5961","1.0929","1.1553","1.0791","1.1639","0.9738"
"Debt to Equity Ratio","0.8065","0.7818","0.8145","0.8369","0.8725","0.8792","0.8983","0.914","0.7769","0.6565","0.6573","0.6345","0.6502","0.6503","0.6484","0.6474","0.6439","0.6542","0.6195","0.6232","0.5509","0.3737","0.3753","0.37","0.364","0.4331","0.4814","0.5469","0.5538","0.5492","0.4811","0.4535","0.4659","0.4705","0.512","0.4317","0.4659","0.4917","0.5424"
"Total Debt To Total Assets","0.3174","0.3073","0.3031","0.3065","0.3042","0.3204","0.3131","0.3217","0.2985","0.2591","0.2493","0.2543","0.2582","0.2601","0.2559","0.2512","0.2502","0.2538","0.2481","0.2518","0.2389","0.201","0.2001","0.1983","0.1949","0.2231","0.2458","0.2685","0.2621","0.2591","0.2351","0.2299","0.2386","0.2393","0.2485","0.2271","0.2436","0.2494","0.2625"
"Interest Coverage","2.569","6.3509","2.5345","5.431","-5.7288","4.8644","-4.7288","-5.3276","1.9906","0.15","-9.0727","1.0556","-0.9623","3.7037","2.0172","0.708","3.3385","-5.0615","1.8125","-9.2","-55.5313","2.7826","2.4085","2.7903","3.1644","4.64","3.1402","2.7912","2.1553","-15.9355","-10.041","0.5165","2.9565","0.049","-22.5981","0.3929","1.8475","4.5267","-3.3504"
"Current Ratio","0.749","0.867","0.903","1.055","1.047","1.213","1.428","1.547","1.948","1.295","1.267","1.745","1.813","1.708","1.651","1.853","1.412","1.896","1.705","1.748","1.734","1.852","1.718","1.703","1.664","1.75","1.386","1.203","1.071","1.286","1.522","1.562","1.744","1.882","1.686","1.494","1.703","1.545","1.828"
