"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","17.153","16.084","15.217","17.428","17.066","16.989","16.032","16.532","16.36","15.518","15.972","16.429","16.817","16.196","15.693","14.792","13.922","13.483","13.316","13.319","12.813","12.258","10.98","11.057","11.175","10.424","10.072","10.003","8.738","9.47","9.357","9.155","8.826","8.45","8.682","9.468","10.842","10.14","9.49"
"Tangible Book Value per Share","33.718","32.703","31.532","31.861","31.039","30.487","29.432","28.925","29.205","28.14","25.931","26.738","27.289","26.879","25.21","25.365","24.11","23.262","22.546","22.634","22.556","23.431","21.943","22.48","22.919","21.582","19.806","19.767","16.853","16.864","16.057","15.945","15.244","14.288","15.544","16.458","17.938","17.581","16.326"
"FCF per Share","1.024","-0.334","1.403","0.521","0.915","-0.322","1.079","0.076","0.628","-0.475","0.4","0.35","0.653","-0.351","0.371","0.491","0.768","-0.309","0.914","0.603","0.829","-0.296","0.531","0.502","0.925","-0.504","0.613","0.106","0.399","0.038","0.342","0.058","0.241","0.127","0.137","-0.454","0.455","-0.004","0.595"
"Interest Debt per Share","10.5413","10.848","10.4941","12.2858","12.2131","11.9528","11.505","8.0463","8.0043","8.1419","5.9183","5.7756","5.4696","6.0067","5.3884","5.5891","5.36","5.212","4.6099","4.8242","5.1418","6.5025","6.1112","6.4006","6.6609","6.4885","5.2637","5.2826","4.1881","3.8943","3.6067","3.6311","3.6975","3.0893","3.377","3.0789","2.6963","3.1381","2.7408"
"Cash per Share","1.8383","1.6938","2.0979","2.4367","2.2945","1.8046","2.6061","4.5958","4.9163","4.586","3.5236","3.4473","3.3881","3.5532","4.1407","4.0433","3.56","3.0186","3.0915","2.7187","2.1487","1.8304","1.6534","1.7329","1.712","1.0074","2.0062","1.9165","0.8127","1.6073","1.5304","1.1086","1.102","0.3913","0.4475","0.5853","0.9716","0.8749","0.8119"
"Debt to Equity Ratio","0.6145","0.6744","0.6896","0.705","0.7156","0.7036","0.7176","0.4867","0.4893","0.5247","0.3706","0.3516","0.3252","0.3709","0.3434","0.3778","0.385","0.3866","0.3462","0.3622","0.4013","0.5305","0.5566","0.5789","0.596","0.6225","0.5226","0.5281","0.4793","0.4112","0.3854","0.3966","0.4189","0.3656","0.389","0.3252","0.2487","0.3095","0.2888"
"Total Debt To Total Assets","0.239","0.2527","0.2512","0.2904","0.2931","0.2906","0.289","0.2353","0.2323","0.2444","0.1854","0.1801","0.167","0.1857","0.1768","0.1827","0.1834","0.1839","0.1667","0.1738","0.1854","0.2245","0.2231","0.2285","0.2327","0.239","0.2125","0.2136","0.1945","0.1825","0.1751","0.1769","0.1869","0.1647","0.168","0.1462","0.1152","0.138","0.1283"
"Interest Coverage","17.0111","16.3056","-23.4308","6.8973","12.6168","12.4789","11.4775","15.9533","13.9716","26.1","21.3137","27.5","31.6111","28.7073","25.4605","28.5432","28.3523","20.8866","26.3134","34.06","16.0079","15.2715","11.4767","11.1622","11.3317","9.9891","7.4682","7.0272","8.662","7.838","4.6273","2.4385","-5.1111","0.288","-12.1845","-8.4732","11.8611","19.8154","15.7284"
"Current Ratio","1.516","1.444","1.392","1.345","1.336","1.377","1.33","2.144","2.08","2.076","1.37","1.391","1.399","1.581","1.723","1.735","1.594","1.643","1.543","1.59","1.599","1.281","1.122","1.179","1.191","1.405","1.479","1.48","1.231","1.484","1.483","1.427","1.416","1.07","1.047","1.188","1.344","1.322","1.458"
