"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.142","13.742","13.501","13.355","13.109","13.085","12.445","13.078","13.149","12.901","13.036","13.052","12.882","12.659","12.758","12.667","12.511","12.111","11.976","11.638","11.692","11.532","11.859","11.495","11.446","11.173","10.822","10.434","10.004","9.74","9.748","9.286","8.953","8.503","8.305","7.947","7.674","7.258","7.224"
"Tangible Book Value per Share","10.393","10.739","10.356","9.522","9.899","10.518","9.21","8.761","9.61","10.174","9.752","10.664","10.832","11.434","10.596","9.958","9.238","10.464","9.748","8.672","8.938","10.154","9.335","8.458","9.764","10.817","9.604","9.365","8.89","9.898","11.128","11.403","11.31","10.043","10.465","10.339","10.756","12.2","9.065"
"FCF per Share","0.689","0.971","1.218","-0.159","0.449","1.056","0.774","0.08","0.413","1.071","0.652","0.05","0.348","1.073","0.915","0.123","-0.06","1.171","1.135","0.081","0.269","1.498","0.7","0.254","0.124","1.149","0.846","0.152","0.098","1.092","0.546","0.102","0.388","1.173","0.467","0.313","-0.006","1.215","0.353"
"Interest Debt per Share","6.7181","6.7415","4.7215","4.7101","4.7101","4.7518","4.6762","3.8005","2.8853","2.883","2.8636","4.0068","4.0205","4.0136","3.9731","3.971","2.8556","2.8667","2.8783","2.8253","2.7914","2.7799","2.7101","2.6572","2.614","3.0835","3.0792","3.0907","3.0549","3.0176","3.0","3.7336","3.719","3.7193","4.1206","4.356","4.3555","5.0528","5.1725"
"Cash per Share","7.159","6.6932","6.8475","6.244","6.7053","6.8418","5.6024","5.6376","6.4587","6.4312","6.0977","7.2568","7.3977","7.3909","6.6682","6.2277","5.4689","5.7622","5.2058","4.5546","5.4645","5.7244","4.882","4.4686","5.522","6.0616","4.9861","4.9803","4.8549","5.0449","5.0951","5.8398","5.7733","5.2865","4.6089","4.6693","4.709","5.4716","4.0745"
"Debt to Equity Ratio","0.475","0.4906","0.3497","0.3527","0.3593","0.3631","0.3757","0.2906","0.2194","0.2235","0.2197","0.307","0.3121","0.3171","0.3114","0.3135","0.2282","0.2367","0.2403","0.2428","0.2387","0.2411","0.2285","0.2312","0.2284","0.276","0.2845","0.2962","0.3054","0.3098","0.3078","0.4021","0.4154","0.4374","0.4961","0.5481","0.5676","0.6961","0.7161"
"Total Debt To Total Assets","0.2235","0.2213","0.1769","0.1825","0.1788","0.1743","0.1809","0.1521","0.1175","0.1146","0.1154","0.155","0.1516","0.147","0.1505","0.1534","0.1131","0.1092","0.1126","0.1162","0.1143","0.1084","0.111","0.1143","0.1103","0.125","0.1308","0.1363","0.138","0.13","0.1356","0.1696","0.1692","0.1697","0.1945","0.2074","0.2026","0.2196","0.2601"
"Interest Coverage","10.52","12.6471","19.25","22.8571","19.4667","18.8","19.8","21.75","34.3333","24.1111","26.8333","28.4167","22.7143","12.7333","21.8667","27.2308","20.3636","22.7273","30.8333","33.7","34.6364","26.5455","45.8889","55.5","39.4444","30.0","33.6","25.4167","24.3846","16.0714","15.2609","15.4091","19.1176","7.9091","19.3125","25.3846","28.0","3.5714","24.9"
"Current Ratio","1.329","1.242","1.344","1.32","1.27","1.23","1.28","1.336","1.394","1.357","1.341","1.286","1.207","1.162","1.185","1.37","1.177","1.165","1.138","1.023","1.084","1.057","1.092","1.056","1.155","1.114","1.181","1.222","1.183","1.114","1.308","1.181","1.136","1.037","0.962","1.191","1.146","1.044","0.838"
