"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","6.471","7.045","8.585","12.029","11.893","11.931","11.798","12.191","12.116","12.864","13.448","14.286","15.839","14.269","16.608","15.99","15.647","14.931","16.074","16.076","15.611","15.412","15.14","14.776","14.875","14.545","14.424","13.995","13.505","13.376","13.319","13.053","12.672","12.613","12.651","13.492","32.198","31.83","31.345"
"Tangible Book Value per Share","37.282","37.853","38.959","26.581","24.508","24.936","34.647","24.011","22.355","22.362","21.666","20.876","23.878","18.789","23.212","17.974","17.347","17.561","17.917","17.66","18.012","17.267","17.005","16.337","16.493","16.572","16.148","16.624","15.695","16.826","17.043","16.15","15.201","16.017","16.67","16.613","16.402","18.495","17.367"
"FCF per Share","0.438","1.69","0.717","0.02","0.415","2.163","1.493","-0.618","0.847","0.804","1.777","-0.719","0.144","0.797","0.755","0.372","0.701","0.879","0.431","0.261","0.869","0.941","-0.037","0.043","0.966","1.269","0.103","0.382","0.722","0.976","0.435","0.187","0.518","-0.143","0.454","-0.056","0.682","1.378","0.179"
"Interest Debt per Share","22.6231","21.8614","21.8174","20.1461","18.5613","17.9505","17.9162","18.2463","16.4586","15.5126","13.7225","13.2095","10.9925","13.472","10.7235","10.4265","10.4679","10.2788","9.3203","9.2605","10.4931","9.1267","9.141","8.9433","8.964","8.9143","8.812","9.6031","9.6211","10.3073","10.3326","10.3086","10.2825","10.6198","10.2946","10.4425","10.41","10.4692","10.3464"
"Cash per Share","0.4188","0.398","1.3917","0.4026","0.3885","0.8944","0.6723","0.2758","0.6502","0.6656","0.8258","0.3379","0.4593","0.5241","0.6132","0.3737","0.4596","0.6501","1.1143","1.4796","2.9129","1.2233","1.0085","1.4137","2.0126","1.4456","0.705","1.5748","1.2326","1.2904","1.0584","0.6991","0.5026","0.3568","0.6173","0.8135","1.1951","3.3184","1.9662"
"Debt to Equity Ratio","3.496","3.1033","2.5413","1.6748","1.5607","1.5045","1.5186","1.4967","1.3584","1.2059","1.0204","0.9247","0.694","0.9441","0.6457","0.6521","0.669","0.6884","0.5798","0.5761","0.6722","0.5922","0.6038","0.6053","0.6026","0.6129","0.6109","0.6862","0.7124","0.7706","0.7758","0.7898","0.8115","0.842","0.8138","0.774","0.3233","0.3289","0.3301"
"Total Debt To Total Assets","0.4054","0.3889","0.3868","0.3756","0.3634","0.351","0.3555","0.363","0.3423","0.3243","0.2971","0.2967","0.2374","0.3061","0.2439","0.2435","0.25","0.2477","0.2238","0.2246","0.2539","0.2245","0.2281","0.2294","0.2286","0.2273","0.2295","0.2468","0.2515","0.2605","0.2595","0.263","0.2685","0.2701","0.2583","0.2613","0.1719","0.1737","0.1753"
"Interest Coverage","3.045","-0.0459","0.0935","7.2885","6.96","7.79","4.4757","7.2451","6.2872","7.4194","6.8736","20.6517","7.9787","8.5484","8.1277","8.7419","8.5106","8.1263","6.8065","7.6702","7.2981","6.1273","6.2571","6.0455","6.6818","3.9455","4.6719","4.9055","2.7985","0.9638","1.6946","3.1219","1.54","0.6509","2.1866","-101.3316","5.7751","3.8522","4.4559"
"Current Ratio","1.76","1.641","1.635","1.761","1.651","1.635","1.614","1.619","1.509","1.688","1.36","1.591","1.624","1.247","1.276","1.303","1.247","1.184","1.451","1.58","1.459","1.393","1.409","1.379","1.449","1.344","1.34","1.224","1.341","1.211","1.188","1.209","1.139","1.113","1.086","1.117","1.113","1.476","1.369"
