"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.004","14.067","14.381","16.559","17.077","17.333","17.303","17.64","17.5","16.946","17.071","18.104","17.557","18.043","17.899","17.822","16.848","18.402","18.737","17.38","15.612","15.059","13.884","12.285","13.599","12.239","11.362","10.868","11.19","7.042","7.086","6.841","6.687","5.755","5.137","5.983","5.797","4.771","4.194"
"Tangible Book Value per Share","53.859","55.062","54.923","56.941","57.432","56.591","44.138","44.885","37.872","39.194","37.151","38.51","36.072","37.886","30.262","30.487","27.706","26.561","25.722","25.854","21.942","23.061","21.099","20.695","20.546","19.987","18.764","18.343","19.285","10.832","10.221","9.716","9.415","10.352","9.162","10.644","9.81","8.987","7.108"
"FCF per Share","3.186","1.158","-1.546","-1.24","-2.585","-1.407","-2.324","-0.785","-2.611","0.371","-1.182","0.154","-1.891","1.31","-0.536","2.214","-1.204","1.699","0.523","2.568","1.105","1.657","0.15","2.804","0.583","1.839","1.387","1.426","-0.217","0.101","0.235","0.134","0.588","0.922","-0.011","0.225","0.649","0.935","0.563"
"Interest Debt per Share","24.7666","24.7962","24.8196","23.7666","23.7462","23.7521","23.7436","23.9923","19.5264","19.1594","18.6233","18.4879","17.9882","16.7602","10.9242","10.8133","10.4839","5.1518","5.0952","5.1115","4.9916","4.9402","4.9398","4.662","4.5198","4.5388","5.4951","6.3449","7.7187","0.0202","0.0193","0.019","0.0174","0.0161","0.0157","0.0162","0.017","0.0171","0.0173"
"Cash per Share","8.5867","5.6456","5.0215","6.6967","8.6369","11.5823","1.325","4.1574","3.673","7.685","8.4457","11.2593","11.1206","15.2682","6.5755","8.3686","6.7963","7.0957","7.2219","7.0742","4.3017","5.2315","3.6855","4.1098","3.7866","3.1812","2.2376","1.8239","1.7846","4.1584","2.857","2.0515","3.3723","3.3215","2.3992","2.922","2.8574","3.0266","1.2951"
"Debt to Equity Ratio","1.7685","1.7627","1.7258","1.4352","1.3906","1.3704","1.3722","1.3601","1.1158","1.1306","1.0909","1.0212","1.0246","0.9289","0.6103","0.6067","0.6223","0.28","0.2719","0.2941","0.3197","0.328","0.3558","0.3795","0.3324","0.3709","0.4837","0.5838","0.6898","0.0029","0.0027","0.0028","0.0026","0.0028","0.0031","0.0027","0.0029","0.0036","0.0041"
"Total Debt To Total Assets","0.3872","0.3806","0.3819","0.3544","0.3515","0.3555","0.4366","0.4346","0.4176","0.3999","0.4081","0.3939","0.4062","0.3681","0.2901","0.2869","0.3022","0.1552","0.1579","0.1576","0.176","0.1682","0.1803","0.175","0.1718","0.1761","0.2238","0.2617","0.3026","0.0019","0.0019","0.002","0.0018","0.0016","0.0017","0.0015","0.0017","0.0019","0.0024"
"Interest Coverage","1.1","0.55","-4.2429","-4.1935","3.3279","2.0789","3.25","4.6667","20.0345","11.1176","10.0489","5.3405","10.2663","29.0425","13.8894","9.3683","25.1827","14.1432","24.4507","22.23","21.2097","19.6149","24.0031","17.0685","25.9481","9.4607","8.2899","2.1509","2.7426","-21.0","194.25","177.5","1200.3333","260.75","736.0","187.5","1122.25","615.0","520.25"
"Current Ratio","1.856","3.288","3.87","3.034","4.365","2.765","0.928","1.385","1.813","1.815","2.583","3.183","4.728","3.421","3.175","3.352","4.712","2.262","2.955","2.526","3.596","1.966","1.744","1.37","1.901","1.307","1.414","1.653","2.183","2.447","2.674","3.296","4.15","1.727","1.752","2.126","1.937","1.538","2.033"
