"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","9.48","9.301","8.877","8.903","8.831","8.304","8.012","7.825","7.641","7.237","7.18","6.947","6.833","6.609","6.215","6.3","9.38","9.274","9.351","8.029","7.896","7.672","7.663","7.736","7.827","7.434","7.309","7.108","6.706","6.426","6.495","6.688","6.557","6.522","6.593","6.518","6.448","6.352","6.146"
"Tangible Book Value per Share","18.211","16.764","16.142","15.698","14.911","13.508","13.62","14.445","14.94","14.182","15.71","13.724","14.211","13.591","12.277","12.369","12.314","11.661","11.466","11.572","11.365","10.645","10.854","10.866","10.926","10.312","9.853","9.661","9.316","8.781","8.746","8.652","8.606","8.293","8.79","9.229","9.612","9.149","8.952"
"FCF per Share","0.291","0.537","0.933","0.718","0.818","0.601","1.686","1.384","0.947","0.641","1.397","1.164","0.729","0.012","0.998","0.72","0.65","-0.425","1.128","0.891","0.135","0.389","0.69","1.253","0.098","0.26","1.218","0.718","-0.015","-0.003","0.75","0.88","0.115","0.278","1.576","0.634","0.19","0.117","0.69"
"Interest Debt per Share","10.0585","9.2874","9.3297","9.1325","7.3003","7.2489","7.2166","7.5453","8.186","8.184","8.1166","6.137","6.5","6.5322","6.2442","5.7556","2.6693","2.7863","1.9994","0.0","0.0","0.0","0.3809","0.0","0.0","0.0","0.3618","0.0","0.0","0.0","0.4646","0.0","0.0","0.0","0.4978","0.0","0.0","0.0","0.5157"
"Cash per Share","1.9366","1.6242","1.7478","1.5739","1.4482","1.25","1.1715","0.9897","1.1782","0.9287","3.3487","0.8709","0.9756","0.9616","1.0717","0.8267","0.9387","0.9954","1.3055","1.6977","1.4864","1.9138","2.2936","2.3345","1.9191","2.1762","2.4197","1.5146","1.0084","1.3881","2.0286","2.2506","2.1246","2.6587","2.9462","1.8471","1.8778","2.2363","1.9984"
"Debt to Equity Ratio","1.0611","0.9986","1.051","1.0258","0.8267","0.873","0.9008","0.9642","1.0714","1.1309","1.1305","0.8834","0.9513","0.9883","1.0047","0.9136","0.2846","0.3005","0.2138","0.0","0.0","0.0","0.0497","0.0","0.0","0.0","0.0495","0.0","0.0","0.0","0.0715","0.0","0.0","0.0","0.0755","0.0","0.0","0.0","0.0839"
"Total Debt To Total Assets","0.3578","0.348","0.3585","0.3555","0.3117","0.329","0.3254","0.3293","0.3499","0.3616","0.3682","0.3059","0.3164","0.3277","0.3368","0.3124","0.146","0.1581","0.1147","0.0","0.0","0.0","0.029","0.0","0.0","0.0","0.0299","0.0","0.0","0.0","0.0421","0.0","0.0","0.0","0.046","0.0","0.0","0.0","0.0483"
"Interest Coverage","19.4086","20.2062","62.0799","28.4496","37.31","22.6803","15.929","35.4796","38.8692","18.9407","29.3325","32.7751","32.0509","25.6028","25.8306","66.9279","309.8065","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.271","1.115","1.088","1.093","1.26","1.243","1.195","1.174","1.147","1.119","1.336","1.373","1.334","1.321","1.311","1.342","1.34","1.353","1.357","1.84","1.799","1.836","1.838","1.848","1.883","1.857","1.92","1.858","1.781","1.75","1.786","1.88","1.908","2.016","1.932","1.798","1.801","1.855","1.834"
"Income Quality","0.516","0.7593","1.2476","1.0042","1.0001","0.8755","2.0057","1.5294","1.0991","0.9429","1.8425","1.4158","0.9606","0.155","1.7735","1.1571","1.0398","-0.5617","0.7535","1.3507","0.2875","0.7238","1.2467","1.8776","0.2364","0.5422","2.0128","1.2401","0.0612","0.0467","1.484","1.6345","0.2998","0.6873","3.0631","1.1987","0.4142","0.2981","1.5102"
"Payout Ratio","0.57","0.523","0.517","0.478","0.43","0.518","0.483","0.396","0.404","0.521","0.487","0.412","0.438","0.556","0.565","0.507","0.5","0.547","0.22","0.458","0.465","0.508","0.493","0.414","0.433","0.492","0.921","0.403","0.424","0.49","0.472","0.421","0.436","0.48","0.462","0.4","0.415","0.431","0.44"
"Intangible Assets out of Total Assets","0.3523","0.3718","0.3797","0.389","0.3633","0.3869","0.3858","0.3695","0.3613","0.3734","0.2873","0.3159","0.3083","0.3181","0.3377","0.3287","0.3264","0.3383","0.3422","0.1706","0.1786","0.1885","0.1729","0.1826","0.1802","0.1877","0.1867","0.1973","0.2014","0.2114","0.2072","0.2147","0.1986","0.1982","0.187","0.1894","0.166","0.1706","0.1619"
"Selling, General and Administrative Expense of Revenue","0.1057","0.1114","0.1077","0.1035","0.1092","0.1185","0.1109","0.1041","0.1001","0.104","0.0936","0.0935","0.0915","0.0955","0.0918","0.0865","0.0882","0.0959","0.1047","0.0852","0.0814","0.0961","0.0893","0.0887","0.0878","0.0988","0.0964","0.0893","0.0848","0.0948","0.0978","0.1012","0.1048","0.1192","0.1032","0.0876","0.0847","0.1017","0.0973"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","487528000.0","215243000.0","162384000.0","167752000.0","387645000.0","333661000.0","282101000.0","274952000.0","249521000.0","195819000.0","529599000.0","495514000.0","478203000.0","442593000.0","394504000.0","447210000.0","451981000.0","441152000.0","440073000.0","788111000.0","758260000.0","729264000.0","734911000.0","760039000.0","786194000.0","730312000.0","710161000.0","677455000.0","618683000.0","567378000.0","575462000.0","614259000.0","626822000.0","644533000.0","650218000.0","646563000.0","680241000.0","669130000.0","631537000.0"
"Tangible Asset Value","2568847000.0","2371849000.0","2287437000.0","2238645000.0","2132237000.0","1938671000.0","1955779000.0","2088472000.0","2173985000.0","2073416000.0","2290970000.0","2012572000.0","2100721000.0","2018487000.0","1856278000.0","1941014000.0","1968003000.0","1873111000.0","1844599000.0","1860603000.0","1839856000.0","1731892000.0","1768324000.0","1781400000.0","1798449000.0","1702822000.0","1623088000.0","1591074000.0","1534756000.0","1452763000.0","1454211000.0","1446566000.0","1445526000.0","1402707000.0","1476117000.0","1558397000.0","1631416000.0","1554032000.0","1518098000.0"
"Net Current Asset Value","-343659000.0","-367260000.0","-421809000.0","-426845000.0","-207128000.0","-264723000.0","-303210000.0","-324991000.0","-347824000.0","-404289000.0","-61864000.0","-98351000.0","-117804000.0","-155489000.0","-198609000.0","-149564000.0","360488000.0","349704000.0","372437000.0","773774000.0","745792000.0","714959000.0","721976000.0","745534000.0","770710000.0","713263000.0","690137000.0","655436000.0","593834000.0","544326000.0","552921000.0","588490000.0","614513000.0","632790000.0","639371000.0","634732000.0","668269000.0","657020000.0","620098000.0"
"Invested Capital","1917035000.0","1578708000.0","1516105000.0","1516793000.0","1477626000.0","1427603000.0","1375251000.0","1455011000.0","1498901000.0","1483072000.0","1410383000.0","1455619000.0","1486372000.0","1465333000.0","1368367000.0","1408244000.0","913601000.0","911372000.0","724025000.0","649593000.0","649888000.0","548660000.0","580085000.0","501954000.0","592665000.0","491728000.0","512474000.0","552156000.0","576458000.0","467058000.0","462354000.0","372271000.0","398602000.0","318533000.0","367312000.0","436398000.0","463048000.0","391448000.0","509037000.0"
"Average Receivables","1775417500.0","1633008500.0","1608405500.0","1667240000.0","1654530000.0","1557333500.0","1538605500.0","1646214000.0","1703108000.0","1631730500.0","1510586000.0","1602815500.0","1635336500.0","1540930000.0","1430858500.0","1449787000.0","1493138000.0","1357602500.0","1300886500.0","1286328000.0","1363291000.0","1210577000.0","1112853500.0","1190268000.0","1230737500.0","1089291000.0","960806500.0","1013511000.0","1035484500.0","900805500.0","857213500.0","1001265000.0","1034706500.0","902579500.0","870332000.0","1027974500.0","1014661000.0","903797000.0","838387500.0"
"Average Payables","868111500.0","791964500.0","768660500.0","809803000.0","795326500.0","741207000.0","707119500.0","783235500.0","824055000.0","787317500.0","701272000.0","762361000.0","781135500.0","742341500.0","662675000.0","743651000.0","790857000.0","724704000.0","641066000.0","735360500.0","796357500.0","728381000.0","605316500.0","705943500.0","727699000.0","676179500.0","548608500.0","630854000.0","646407500.0","583143000.0","507211500.0","643249000.0","676724500.0","597837000.0","507959500.0","660113000.0","686395000.0","628257500.0","499625500.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
