"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","176.242","185.513","243.857","188.286","278.312","-2.157","-0.454","0.593","-0.307","0.69","1.49","0.892","1.102","1.193","1.454","0.593","0.606","1.286","1.49","1.735","2.452","3.279","3.898","7.969","9.738","10.439","13.044","13.465","14.428","15.599","5.003","-31.219","-28.532","-28.337","-27.797","-23.611","-22.882","-22.562","-21.333"
"Tangible Book Value per Share","395.41","394.097","508.136","380.785","563.631","379.667","367.884","343.746","150.117","198.826","225.682","171.013","138.494","139.075","141.819","142.104","132.623","132.835","132.182","140.95","131.039","130.047","123.341","119.028","119.086","113.324","112.841","119.378","113.95","114.996","34.88","28.768","36.255","36.102","36.729","40.511","39.58","40.955","39.643"
"FCF per Share","4.342","4.23","-130.508","3.69","2.858","-0.601","0.789","2.055","1.563","0.905","1.02","-0.57","0.648","0.695","0.78","-5.256","0.746","1.176","0.33","0.02","0.261","1.026","1.591","0.009","1.419","0.636","2.233","1.255","1.123","1.814","0.277","0.462","-0.288","-0.609","-0.123","-0.974","-0.435","-0.543",""
"Interest Debt per Share","240.066","233.6166","298.9603","228.5455","339.2346","365.5661","352.4062","328.8461","137.4826","187.7559","213.1502","161.7297","129.8345","132.376","136.5429","138.9952","127.355","127.7418","128.0725","137.3193","128.5067","128.7501","122.512","116.0393","115.4981","110.8773","108.6046","116.4698","111.899","112.9171","34.7492","30.9708","31.0226","31.1403","57.5231","56.4032","55.291","55.7763","53.9887"
"Cash per Share","2.6342","10.8548","7.432","4.2947","3.0268","232.3044","219.6829","193.9225","0.2968","63.875","72.5978","32.3827","0.0834","0.0376","0.2022","0.3984","0.4374","0.917","0.34","8.9774","0.3216","0.3118","0.2764","0.2951","1.7755","0.4769","0.2824","6.0295","0.5923","2.2474","1.9667","2.8359","2.6175","2.2111","2.54","1.5208","0.1695","1.2619","0.2027"
"Debt to Equity Ratio","1.3621","1.2593","1.226","1.2138","1.2189","-169.516","-776.587","554.6833","-448.2581","272.2597","143.0616","181.3918","117.8067","110.9449","93.9139","234.5246","210.0328","99.3488","85.9597","79.1329","52.4016","39.2699","31.4328","14.5613","11.8609","10.621","8.3261","8.65","7.7555","7.2388","6.9458","-0.9921","-1.0873","-1.0989","-2.0694","-2.3888","-2.4164","-2.4721","-2.5308"
"Total Debt To Total Assets","0.4304","0.4205","0.4142","0.4164","0.4169","0.9161","0.9086","0.9026","0.8024","0.8588","0.8564","0.8399","0.8071","0.8146","0.8199","0.8293","0.8219","0.8195","0.8212","0.8298","0.8221","0.8249","0.824","0.8045","0.7983","0.7994","0.782","0.7967","0.7907","0.7878","0.7997","1.0766","0.8557","0.8626","1.5661","1.3923","1.3969","1.3619","1.3619"
"Interest Coverage","1.2497","1.2525","1.9121","1.2831","0.8111","0.6476","0.7471","0.7507","0.6201","0.8408","1.0","1.0276","1.0952","1.128","1.1659","0.9393","0.8199","0.8429","1.0417","0.9214","0.9333","0.903","1.0","0.9467","0.8921","0.867","0.9957","1.0631","1.0091","1.2108","-6.767","0.7593","0.689","-2.6461","0.4456","0.5474","0.3541","0.0815",""
"Current Ratio","0.316","0.49","0.345","0.322","0.264","0.837","0.175","0.222","0.279","0.875","0.211","0.233","0.21","0.2","0.219","0.258","0.26","0.29","0.27","0.581","0.307","0.296","0.309","0.31","0.451","0.324","0.339","0.635","0.368","0.57","1.106","0.103","0.098","0.087","0.831","0.587","0.279","0.558","0.252"
"Income Quality","21.1871","18.3419","7.1057","14.8201","0.5184","-2.2553","-5.0082","12.7593","-4.3525","-6.5185","-13.125","-9.8113","-14.0444","-15.5946","15.2564","-7.6857","-5.0417","-12.881","-12.125","-5.3793","-5.6506","-4.8298","-6.3433","-4.7647","-4.2991","-4.0636","-5.9529","-4.6421","-5.5679","22.0833","-0.37","-3.9107","-0.9122","0.0074","-0.7516","0.1314","-0.5682","0.0",""
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"Intangible Assets out of Total Assets","0.2911","0.2906","0.296","0.3063","0.3073","0.0486","0.0515","0.0565","0.1239","0.0905","0.0932","0.1119","0.139","0.1442","0.1484","0.1521","0.1441","0.1478","0.1524","0.1482","0.1617","0.1668","0.1704","0.1748","0.1769","0.183","0.1875","0.1834","0.1948","0.1977","0.1973","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.6348","0.6473","0.6324","0.6458","0.6499","0.6605","0.6465","0.6612","0.6588","0.6693","0.6479","0.6638","0.6547","0.6571","0.6494","0.6596","0.6567","0.6562","0.6419","0.6606","0.6391","0.6492","0.6314","0.6446","0.6293","0.6288","0.6216","0.6467","0.6381","0.6357","0.6456","0.626","0.636","0.631","0.6608","0.6408","0.6566","0.6381",""
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"Working Capital","-5559000000.0","-4854000000.0","-6272000000.0","-5866000000.0","-6482000000.0","-313000000.0","-1627000000.0","-1423000000.0","-1180000000.0","-1067000000.0","-1290000000.0","-1216000000.0","-1269000000.0","-1219000000.0","-1145000000.0","-1025000000.0","-947000000.0","-916000000.0","-894000000.0","-887000000.0","-827000000.0","-802000000.0","-800000000.0","-746000000.0","-597000000.0","-695000000.0","-693000000.0","-585000000.0","-641000000.0","-412000000.0","103000000.0","-11839000000.0","-11858000000.0","-11958000000.0","-247000000.0","-605000000.0","-932000000.0","-622000000.0","-996000000.0"
"Tangible Asset Value","104175000000.0","106014000000.0","104950000000.0","103293000000.0","103349000000.0","38556000000.0","37292000000.0","34789000000.0","15173000000.0","22200000000.0","22115000000.0","18605000000.0","14954000000.0","14803000000.0","14729000000.0","14626000000.0","13342000000.0","13327000000.0","13219000000.0","14052000000.0","13038000000.0","12931000000.0","12943000000.0","12905000000.0","13012000000.0","12831000000.0","12786000000.0","13503000000.0","12889000000.0","12997000000.0","13372000000.0","10905000000.0","13740000000.0","13650000000.0","13882000000.0","15157000000.0","14710000000.0","15157000000.0","14666000000.0"
"Net Current Asset Value","-97963000000.0","-94874000000.0","-95401000000.0","-95041000000.0","-95838000000.0","-39131000000.0","-39017000000.0","-36407000000.0","-16894000000.0","-16831000000.0","-23897000000.0","-20483000000.0","-16913000000.0","-16866000000.0","-16822000000.0","-16832000000.0","-15195000000.0","-15136000000.0","-15117000000.0","-15095000000.0","-14942000000.0","-14855000000.0","-14835000000.0","-14439000000.0","-14255000000.0","-14190000000.0","-13903000000.0","-13993000000.0","-14002000000.0","-13890000000.0","-13669000000.0","-22910000000.0","-23442000000.0","-23363000000.0","-23170000000.0","-23131000000.0","-22853000000.0","-22721000000.0","-22222000000.0"
"Invested Capital","158606000000.0","156418000000.0","155590000000.0","155477000000.0","156190000000.0","50164000000.0","48774000000.0","46615000000.0","27403000000.0","27463000000.0","34253000000.0","31091000000.0","27358000000.0","27366000000.0","27422000000.0","27509000000.0","24830000000.0","24761000000.0","24769000000.0","24731000000.0","24598000000.0","24562000000.0","24613000000.0","24373000000.0","24351000000.0","24303000000.0","24011000000.0","24391000000.0","24465000000.0","24547000000.0","24972000000.0","8372000000.0","11360000000.0","11492000000.0","33198000000.0","34226000000.0","33903000000.0","33924000000.0","33232000000.0"
"Average Receivables","1414500000.0","782000000.0","855500000.0","767000000.0","830500000.0","258500000.0","282000000.0","281000000.0","286500000.0","240500000.0","259500000.0","252500000.0","237500000.0","212500000.0","234000000.0","244500000.0","239500000.0","219500000.0","251000000.0","253500000.0","249500000.0","227000000.0","257500000.0","247000000.0","246000000.0","223000000.0","247500000.0","226000000.0","232000000.0","205500000.0","235000000.0","228500000.0","232500000.0","197500000.0","223500000.0","234500000.0","237000000.0","182500000.0","210000000.0"
"Average Payables","7429500000.0","4719000000.0","4758000000.0","4213000000.0","4186000000.0","1755500000.0","1803500000.0","1707500000.0","1621000000.0","1554500000.0","1551000000.0","1484000000.0","1443000000.0","1406500000.0","1345500000.0","1314000000.0","1237000000.0","1215000000.0","1190500000.0","1163500000.0","1140500000.0","1084000000.0","1103000000.0","1048000000.0","1050500000.0","993000000.0","973500000.0","1236500000.0","1201000000.0","1140000000.0","1104000000.0","1461500000.0","1340500000.0","1365000000.0","1321000000.0","1437500000.0","1275500000.0","1436000000.0","1315000000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
