"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","4.198","3.138","2.101","2.233","2.293","1.997","1.528","0.921","0.911","2.291","2.152","1.307","1.194","0.41","1.202","0.623","1.111","1.155","0.428","-0.154","-1.038","-0.814","-1.518","-0.576","-0.65","-0.601","0.894","2.0","0.592","1.279","0.192","-0.336","-1.256","-2.22","-2.897","-2.629","-2.681","-3.42","-3.993"
"Tangible Book Value per Share","20.563","21.056","20.631","19.598","19.907","20.449","19.646","19.055","19.391","19.525","22.994","19.055","19.736","20.6","20.557","19.758","19.624","21.061","20.979","22.914","19.998","20.097","19.281","18.171","18.597","17.226","17.696","20.298","18.527","17.192","15.581","16.452","16.396","15.753","15.242","16.381","17.182","17.376","17.074"
"FCF per Share","2.447","1.305","0.327","0.857","2.1","1.673","-0.015","0.921","2.601","1.479","0.023","1.655","2.225","1.516","-0.031","1.161","1.781","0.973","0.527","1.182","1.645","0.921","-0.061","0.712","1.686","0.814","0.159","0.817","2.025","1.165","0.784","0.429","1.823","1.3","0.381","0.39","1.355","0.964","0.742"
"Interest Debt per Share","17.0003","18.9512","19.837","18.5942","17.8534","17.1794","17.7238","17.2428","16.9134","16.4299","20.4665","17.1987","17.9298","19.8271","19.3475","18.8816","18.049","19.4577","20.4136","23.1907","20.9211","21.8783","22.088","19.4138","19.5343","18.0986","17.5082","21.0073","19.9247","21.4401","21.6318","22.6773","22.6054","23.4245","24.129","24.8958","25.1821","26.6651","27.1207"
"Cash per Share","3.2374","3.3475","3.2219","3.1518","3.0965","3.1922","3.0106","2.9654","2.9489","2.8673","6.2732","2.7453","2.5503","2.8148","2.6264","2.4832","2.2751","3.2138","3.3972","5.1202","2.0529","2.326","2.2652","2.046","1.958","1.122","2.7329","2.0505","0.6202","1.7121","1.0976","1.696","1.4788","0.8404","0.6974","1.3289","1.5508","2.0434","2.018"
"Debt to Equity Ratio","4.0498","6.0396","9.4407","8.3287","7.7845","8.6023","11.596","18.7143","18.5678","7.1722","9.5089","13.1598","15.0195","48.3774","16.1026","30.321","16.2466","16.8487","47.75","-151.05","-20.1556","-26.8868","-14.5528","-33.7105","-30.0465","-30.0976","19.5806","10.5018","33.6747","16.7667","112.4074","-67.4255","-17.9943","-10.5534","-8.3275","-9.4698","-9.3919","-7.7966","-6.7924"
"Total Debt To Total Assets","0.48","0.5271","0.558","0.539","0.5126","0.5201","0.5499","0.5438","0.5262","0.5123","0.5717","0.5359","0.5432","0.5862","0.5725","0.571","0.5502","0.5662","0.594","0.6364","0.6248","0.6498","0.6751","0.6284","0.6207","0.6092","0.5839","0.6113","0.6146","0.6363","0.6761","0.6892","0.6882","0.7303","0.7631","0.7515","0.7375","0.7747","0.7754"
"Interest Coverage","14.3636","12.2273","11.2727","13.0","13.0","11.9091","11.3636","12.4348","13.6522","10.88","8.4615","7.2692","11.0769","9.48","7.9615","9.0","11.3077","7.7","6.697","6.8788","8.6061","6.9394","6.1667","7.4483","9.7586","8.8966","3.1818","9.6875","9.2188","7.7941","5.1622","7.5","7.2222","6.9744","3.9773","5.4286","6.5814","4.2826","3.7826"
"Current Ratio","0.837","0.802","0.76","0.93","0.953","1.146","1.097","1.044","1.017","1.15","1.092","0.881","0.852","0.827","1.27","1.214","1.252","1.214","1.13","1.012","0.668","0.677","0.823","0.976","0.937","0.977","1.143","1.014","0.905","0.755","0.804","0.644","0.609","0.562","0.728","0.746","0.753","0.715","0.521"
"Income Quality","1.9204","1.2326","0.6711","0.9497","2.0061","1.6173","0.255","0.8547","1.9843","1.2529","0.272","2.7","1.9824","1.6058","0.2783","1.3088","1.5847","1.203","0.9512","1.5639","1.6494","1.1894","0.3524","1.0077","1.7278","1.1987","3.6667","0.6852","2.1988","1.1939","1.3818","0.5987","1.8529","1.5163","1.1395","0.7266","1.6076","1.65","1.6087"
"Payout Ratio","0.516","0.597","0.69","0.576","0.602","0.616","0.67","0.579","0.503","0.565","0.771","1.057","0.538","0.676","0.798","0.683","0.46","0.634","0.681","0.627","0.448","0.588","0.759","0.606","0.437","0.5","3.667","0.357","0.41","0.427","0.641","0.446","0.38","0.426","0.742","0.505","0.36","0.556","0.606"
"Intangible Assets out of Total Assets","0.4194","0.4143","0.4197","0.4319","0.4284","0.381","0.3904","0.399","0.3967","0.3912","0.3577","0.4063","0.4021","0.3909","0.3918","0.4025","0.4018","0.3871","0.3896","0.3712","0.4028","0.4031","0.4107","0.4118","0.4091","0.4201","0.4098","0.4093","0.4285","0.4898","0.513","0.5","0.5009","0.5088","0.518","0.5056","0.4968","0.4952","0.5118"
"Selling, General and Administrative Expense of Revenue","0.2392","0.2451","0.2312","0.2273","0.2606","0.2454","0.2357","0.2223","0.2389","0.2355","0.2364","0.2226","0.2164","0.2182","0.2431","0.2338","0.2237","0.2321","0.2415","0.2369","0.218","0.2405","0.2449","0.236","0.2254","0.2354","0.2519","0.2362","0.2281","0.2331","0.2535","0.2256","0.245","0.2215","0.2294","0.2189","0.2147","0.2254","0.2336"
"Research and Development Expense of Revenue","0.0225","0.0237","0.0228","0.0215","0.0263","0.0245","0.0253","0.0216","0.025","0.0243","0.0245","0.0222","0.0234","0.0205","0.0237","0.0231","0.024","0.0241","0.0234","0.0224","0.0221","0.0214","0.0238","0.0215","0.0196","0.0222","0.0237","0.0229","0.0231","0.0233","0.0239","0.02","0.0265","0.02","0.0222","0.0195","0.0221","0.02","0.0236"
"Working Capital","-295000000.0","-395000000.0","-488000000.0","-106000000.0","-73000000.0","203000000.0","132000000.0","59000000.0","24000000.0","195000000.0","161000000.0","-182000000.0","-243000000.0","-318000000.0","319000000.0","250000000.0","286000000.0","280000000.0","179000000.0","20000000.0","-685000000.0","-689000000.0","-289000000.0","-30000000.0","-86000000.0","-28000000.0","168000000.0","24000000.0","-156000000.0","-434000000.0","-269000000.0","-665000000.0","-757000000.0","-866000000.0","-389000000.0","-396000000.0","-412000000.0","-506000000.0","-1116000000.0"
"Tangible Asset Value","2655000000.0","2711000000.0","2651000000.0","2537000000.0","2578000000.0","2652000000.0","2545000000.0","2461000000.0","2512000000.0","2574000000.0","3002000000.0","2464000000.0","2546000000.0","2664000000.0","2669000000.0","2570000000.0","2579000000.0","2772000000.0","2748000000.0","2985000000.0","2601000000.0","2618000000.0","2528000000.0","2398000000.0","2460000000.0","2349000000.0","2454000000.0","2831000000.0","2599000000.0","2420000000.0","2186000000.0","2299000000.0","2284000000.0","2193000000.0","2120000000.0","2268000000.0","2371000000.0","2398000000.0","2369000000.0"
