"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","45.129","45.093","45.256","44.433","43.932","43.71","42.776","42.837","42.262","42.05","41.194","41.106","40.562","40.001","39.09","37.678","37.028","37.236","36.471","36.611","35.734","35.344","34.568","39.321","34.157","33.247","32.823","33.218","32.849","37.493","46.511","46.554","46.936","47.503","47.526","33.898","33.769","34.927","33.883"
"Tangible Book Value per Share","403.801","414.969","423.643","426.239","407.003","394.601","406.694","399.104","392.929","388.743","385.037","380.957","359.573","360.743","356.589","349.64","337.257","345.743","341.849","327.212","318.549","316.723","307.063","344.433","306.278","311.24","304.077","311.957","316.948","377.75","392.053","394.339","421.055","445.533","448.866","433.051","438.582","445.254","412.739"
"FCF per Share","1.323","2.246","0.418","0.811","-0.177","1.264","0.894","1.377","0.152","1.755","0.234","1.172","0.644","1.087","2.154","0.681","-0.139","1.279","-0.672","1.545","1.469","0.794","-0.408","1.663","1.765","0.849","2.017","1.282","2.337","1.932","-0.298","1.032","1.151","-1.772","0.166","1.954","1.243","1.262","1.549"
"Interest Debt per Share","32.1246","29.5351","30.0993","33.9385","33.8769","20.7173","17.4329","18.0353","16.2744","15.508","15.5326","15.8771","15.3902","20.2887","20.7533","20.4961","19.9953","25.3479","25.3751","24.8223","24.5331","25.3052","25.2363","29.2627","29.8296","34.9443","35.5144","42.1451","52.5459","68.9602","76.3144","77.3524","93.0914","111.2939","111.7447","126.4332","112.6175","88.1114","77.3152"
"Cash per Share","31.825","47.305","41.9011","46.2328","23.4677","17.1662","34.7809","40.4656","33.5095","33.4269","33.7866","43.0635","21.434","30.867","35.2686","38.3215","21.0293","29.8239","23.82","20.3519","21.0553","20.0377","17.8979","29.4042","19.6073","25.1461","11.8023","22.6521","23.9618","30.6203","37.168","19.9717","34.0126","23.2124","22.7463","9.518","11.994","13.1948","10.0253"
"Debt to Equity Ratio","0.7118","0.655","0.6651","0.7638","0.7711","0.474","0.4075","0.421","0.3851","0.3688","0.3771","0.3863","0.3794","0.5072","0.5309","0.544","0.54","0.6807","0.6958","0.678","0.6865","0.716","0.7301","0.7442","0.8733","1.051","1.082","1.2687","1.5996","1.8393","1.6408","1.6615","1.9834","2.3429","2.3512","3.7298","3.3349","2.5227","2.2818"
"Total Debt To Total Assets","0.0796","0.0712","0.071","0.0796","0.0832","0.0525","0.0429","0.0452","0.0414","0.0399","0.0403","0.0417","0.0428","0.0562","0.0582","0.0586","0.0593","0.0733","0.0742","0.0759","0.077","0.0799","0.0822","0.085","0.0974","0.1123","0.1168","0.1351","0.1658","0.1826","0.1947","0.1962","0.2211","0.2498","0.2489","0.292","0.2568","0.1979","0.1873"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","1.2327","2.035","0.589","1.0676","-0.0388","4.2034","1.7304","2.0075","0.4179","2.5606","0.5","1.4408","0.8859","1.562","3.7043","1.0621","-0.0213","1.9621","-0.4141","2.5776","2.0496","1.2171","0.4211","3.0309","3.2842","1.4706","3.0632","4.322","6.2464","-4.3521","0.4032","-10.8125","-12.0","10.375","-65.0","11.8929","4.1429","2.1284","2.6283"
"Payout Ratio","0.226","0.2","0.245","0.264","0.367","0.618","0.318","0.276","0.276","0.267","0.238","0.235","0.241","0.25","0.266","0.212","0.221","0.239","0.221","0.246","0.205","0.152","0.208","0.196","0.185","0.172","0.179","0.147","0.125","-0.109","-0.119","-0.5","-0.455","-0.313","33.0","3.474","1.784","0.904","0.842"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.3531","0.389","0.3959","0.4249","0.4518","0.5506","0.4961","0.4527","0.4794","0.467","0.4864","0.4936","0.4704","0.4943","0.4906","0.4921","0.4799","0.4976","0.4699","0.515","0.488","0.508","0.528","0.5195","0.5292","0.5298","0.4956","0.6368","0.5857","0.6429","0.8362","0.7326","0.7397","0.7178","0.7918","0.5416","0.5875","0.5415","0.5548"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","71447000000.0","72976000000.0","72978000000.0","74124000000.0","71280000000.0","69007000000.0","71877000000.0","71012000000.0","69945000000.0","69336000000.0","69186000000.0","68887000000.0","65325000000.0","65681000000.0","65224000000.0","64670000000.0","62947000000.0","64885000000.0","65069000000.0","63314000000.0","62650000000.0","62593000000.0","61008000000.0","60888000000.0","54141000000.0","55017000000.0","53667000000.0","55004000000.0","55885000000.0","57106000000.0","59249000000.0","59590000000.0","63630000000.0","67370000000.0","67548000000.0","65153000000.0","66003000000.0","67017000000.0","62331000000.0"
"Invested Capital","71500000000.0","69851000000.0","70945000000.0","71986000000.0","73103000000.0","69628000000.0","68811000000.0","67021000000.0","66877000000.0","66140000000.0","65906000000.0","63971000000.0","64227000000.0","63755000000.0","62569000000.0","61373000000.0","62754000000.0","64045000000.0","65365000000.0","64179000000.0","63334000000.0","63634000000.0","62466000000.0","60863000000.0","55948000000.0","56749000000.0","57852000000.0","58441000000.0","60925000000.0","62902000000.0","65165000000.0","68261000000.0","72558000000.0","80689000000.0","80941000000.0","82743000000.0","81146000000.0","78293000000.0","72493000000.0"
"Average Receivables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Payables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
