"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","50.619","48.964","48.531","49.583","50.88","51.526","68.593","77.003","72.356","68.77","64.867","61.05","56.46","52.961","49.595","47.44","44.252","41.535","39.802","41.324","39.791","37.243","33.38","31.899","30.13","27.757","26.071","24.525","23.906","23.326","22.273","21.555","20.375","19.765","19.134","19.253","18.537","17.718","17.126"
"Tangible Book Value per Share","71.437","70.968","69.351","70.368","71.211","70.882","87.133","93.821","89.469","86.409","80.759","77.857","72.648","68.695","64.073","61.155","57.83","54.519","52.606","53.227","51.315","47.935","44.86","42.177","39.838","36.552","35.357","32.562","31.466","30.837","29.749","28.391","26.727","26.018","24.68","24.648","23.278","22.25","21.333"
"FCF per Share","1.27","3.252","0.055","1.234","1.856","-0.042","0.618","3.847","3.322","5.908","1.293","4.248","4.027","4.267","2.476","2.085","3.2","2.862","2.124","2.398","2.935","-0.398","1.98","2.584","2.412","1.347","1.638","1.215","1.503","1.276","1.414","1.137","0.847","1.121","0.177","0.495","0.255","0.488","-0.031"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","6.1132","4.2578","3.0409","5.3032","6.5039","8.3901","7.9942","19.3722","18.8845","17.4944","13.5211","14.2688","15.139","13.2511","10.4202","9.9711","9.114","11.187","10.3042","13.3094","12.7712","11.7858","12.8262","13.0821","11.2234","9.103","7.2291","6.7995","6.44","6.1304","6.952","7.5398","6.5388","6.4036","2.7059","6.4568","5.9538","5.7048","4.6059"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-416.4326","5569.9286","886.8941","779.3797","703.9861","742.4459","309.7581","566.9452","375.2533","410.1154","523.1867","380.2162","396.6301"
"Current Ratio","2.479","2.168","1.854","1.678","1.402","1.378","2.91","4.394","3.79","3.553","3.498","3.298","3.693","3.48","3.344","3.36","3.038","3.16","2.925","4.121","4.133","4.428","3.183","3.797","3.762","3.797","3.301","3.339","3.374","3.262","2.912","3.089","2.956","2.6","2.749","2.963","3.091","2.774","2.754"
"Income Quality","1.3937","3.2649","4.2673","13.0026","4.6095","-2.3335","1.396","1.2937","1.1299","1.9791","1.0914","1.4474","1.6383","2.1642","1.7591","1.4507","1.6221","1.6355","2.0541","1.7021","1.7323","0.4688","2.0919","1.922","2.1006","1.4727","2.0023","1.3942","1.487","1.5818","2.582","1.8695","1.4594","2.4815","2.8189","2.825","1.9369","2.7914","2.3577"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0106","0.0106","0.0108","0.0106","0.0104","0.0102","0.0081","0.0074","0.0078","0.0081","0.0087","0.009","0.0096","0.0102","0.0109","0.0115","0.0121","0.0128","0.0131","0.0129","0.0133","0.0144","0.0154","0.0163","0.0174","0.0189","0.0196","0.0213","0.0217","0.0221","0.0228","0.0239","0.0251","0.0257","0.0266","0.0264","0.0279","0.0292","0.0304"
"Selling, General and Administrative Expense of Revenue","0.0599","0.065","0.0629","0.0756","0.0709","0.0743","0.047","0.0576","0.0586","0.0579","0.057","0.0656","0.0713","0.074","0.0662","0.0638","0.0624","0.0608","0.0618","0.0694","0.0612","0.077","0.0637","0.0629","0.0734","0.0632","0.0595","0.0703","0.0646","0.0639","0.0647","0.0634","0.0663","0.0669","0.0703","0.0665","0.0607","0.0706","0.0714"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","396180000.0","357641000.0","240581000.0","189398000.0","111179000.0","102777000.0","534705000.0","828989000.0","728215000.0","707574000.0","613801000.0","608884000.0","650563000.0","563549000.0","467079000.0","424084000.0","372303000.0","393398000.0","359755000.0","497346000.0","470333000.0","426940000.0","343739000.0","359286000.0","324296000.0","277816000.0","283167000.0","241966000.0","238774000.0","226778000.0","195301000.0","182006000.0","158355000.0","141829000.0","134284000.0","158979000.0","149043000.0","134742000.0","128543000.0"
"Tangible Asset Value","2046612000.0","2040323000.0","2004164000.0","2045094000.0","2079861000.0","2118881000.0","2703127000.0","2925983000.0","2784285000.0","2681780000.0","2505378000.0","2415114000.0","2255643000.0","2133741000.0","1987341000.0","1889493000.0","1786992000.0","1690731000.0","1646728000.0","1684266000.0","1626470000.0","1505629000.0","1403369000.0","1321434000.0","1241642000.0","1136116000.0","1099666000.0","1010432000.0","987183000.0","970833000.0","939566000.0","897880000.0","851400000.0","832660000.0","803046000.0","809980000.0","764817000.0","729993000.0","700176000.0"
"Net Current Asset Value","45610000.0","9424000.0","-101236000.0","-157116000.0","-228050000.0","-225826000.0","217555000.0","526799000.0","434717000.0","415310000.0","344563000.0","330581000.0","367551000.0","280144000.0","195315000.0","158092000.0","113522000.0","150935000.0","123866000.0","258090000.0","233258000.0","193714000.0","120110000.0","143797000.0","117193000.0","81851000.0","95489000.0","74057000.0","80240000.0","68657000.0","39410000.0","31005000.0","15018000.0","8392000.0","8677000.0","40759000.0","42619000.0","40025000.0","41839000.0"
"Invested Capital","1603690000.0","1611587000.0","1634491000.0","1611467000.0","1613373000.0","1596113000.0","2175180000.0","2077577000.0","1935584000.0","1861702000.0","1840203000.0","1707510000.0","1544057000.0","1494907000.0","1464910000.0","1401719000.0","1322653000.0","1161685000.0","1137323000.0","1103784000.0","1071564000.0","1010891000.0","844673000.0","783116000.0","774425000.0","753833000.0","751774000.0","696003000.0","684567000.0","677559000.0","617847000.0","572298000.0","562159000.0","539110000.0","638214000.0","516800000.0","497905000.0","466897000.0","475699000.0"
"Average Receivables","24074000.0","22637000.0","39367000.0","23130000.0","24459500.0","22586000.0","36561000.0","21553000.0","22976500.0","19031000.0","29427500.0","16762000.0","17601500.0","16028500.0","20408000.0","14570500.0","12656000.0","12281000.0","12594500.0","10165500.0","8265000.0","8355000.0","7023500.0","5105500.0","4983000.0","5568500.0","5210500.0","3789500.0","3502000.0","3444500.0","4203000.0","3857500.0","4295500.0","3627000.0","4508000.0","5225500.0","5822000.0","4629500.0","9510500.0"
"Average Payables","78115500.0","80223000.0","82036000.0","75966000.0","78354000.0","76336000.0","77661000.0","82824000.0","79550500.0","71397500.0","64317500.0","79332500.0","70476500.0","61679000.0","58861000.0","67680500.0","59632500.0","52891500.0","52541000.0","57052500.0","48109000.0","42541500.0","40043500.0","42326000.0","35234500.0","31034000.0","29467500.0","34098000.0","27438500.0","24400500.0","24560000.0","30902000.0","25115500.0","24172000.0","21885000.0","27103500.0","22744000.0","22666500.0","19723500.0"
"Average Inventory","18046000.0","17602000.0","15031000.0","17953000.0","16747500.0","16468500.0","15187500.0","16704500.0","16025500.0","15627000.0","14188000.0","14197000.0","13396000.0","13316500.0","12070000.0","11236500.0","10887000.0","10724000.0","10004500.0","9366000.0","9475500.0","9377500.0","8005500.0","7971500.0","7402500.0","7526000.0","6356000.0","6516500.0","6036500.0","6040000.0","5201500.0","5671500.0","5433000.0","5174500.0","4560500.0","4944500.0","4784500.0","4362500.0","3918500.0"
