"","42917.0","42826.0","42735.0","42644.0","42553.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","10.653","10.299","10.022","9.762","9.644","9.451","9.248","8.926","9.012","9.207","9.136","8.873","8.818","8.654","8.709","8.453","8.556","7.991","7.366","7.007","6.964","6.742","6.448","6.269","5.543","5.911","5.849","5.341","4.994","5.379","5.877","5.784","5.327","4.816","4.53","4.071","4.365","4.189","4.368"
"Tangible Book Value per Share","17.78","13.665","13.785","13.358","14.535","13.943","13.746","13.584","14.017","15.212","11.98","12.115","11.992","11.652","11.415","11.068","11.283","10.371","10.233","9.611","9.499","9.111","9.485","8.717","7.887","8.15","8.292","7.722","7.137","7.602","8.112","7.809","7.133","6.351","6.286","5.57","5.824","5.402","5.704"
"FCF per Share","0.826","0.468","1.562","-0.378","0.465","0.354","0.706","-0.222","0.405","0.443","1.471","0.358","0.926","0.195","1.217","0.42","1.041","0.593","2.006","0.513","0.734","0.214","1.973","0.67","0.563","0.63","1.284","0.521","0.504","0.616","1.093","0.693","0.768","0.563","0.388","0.055","0.785","0.15","0.953"
"Interest Debt per Share","5.605","2.1075","2.1091","2.1159","3.1495","3.1803","3.1952","3.214","3.2226","3.2501","0.0726","0.6182","0.5118","0.7624","0.0017","0.0035","0.0035","0.0805","0.0803","0.0818","0.0816","0.0816","0.0827","0.083","0.083","0.0822","0.1731","0.0837","0.0826","0.0808","0.079","0.079","0.1039","0.0858","0.0849","0.0078","0.0084","0.0401","0.0471"
"Cash per Share","9.4851","4.9662","4.6692","3.5778","3.0877","2.9575","3.0396","3.4861","4.6754","6.4589","3.0345","2.4033","2.1563","1.6786","2.0359","2.5395","3.7743","3.1207","3.0374","2.6734","3.2049","3.2329","3.7459","2.9185","2.4055","2.7565","2.6386","2.0971","1.9787","2.2725","3.475","3.1251","2.5136","1.7218","1.3105","1.234","2.0472","1.7471","2.4029"
"Debt to Equity Ratio","0.5262","0.2046","0.2105","0.2167","0.3266","0.3365","0.3455","0.3601","0.3576","0.353","0.0079","0.0697","0.058","0.0881","0.0002","0.0004","0.0004","0.0101","0.0109","0.0117","0.0117","0.0121","0.0128","0.0132","0.015","0.0139","0.0296","0.0157","0.0165","0.015","0.0134","0.0137","0.0195","0.0178","0.0187","0.0019","0.0019","0.0096","0.0108"
"Total Debt To Total Assets","0.2709","0.127","0.1264","0.129","0.1791","0.1889","0.1927","0.1955","0.1908","0.1987","0.0055","0.0463","0.0384","0.0588","0.0001","0.0003","0.0003","0.0069","0.0069","0.0074","0.0075","0.0079","0.0077","0.0084","0.0092","0.0089","0.0184","0.0095","0.0101","0.0095","0.0087","0.009","0.0129","0.0119","0.0118","0.0012","0.0013","0.0065","0.0074"
"Interest Coverage","14.1912","37.775","54.3922","29.1053","15.7838","20.6615","41.4286","21.1045","6.1587","103.3333","-688.5","-256.8571","-166.3333","131.35","-229.4737","-189.1765","-294.0149","-339.5975","-1973.9549","-9156.8056","987.2225","-1305.6926","31196.625","-2811.3158","404.487","-865.4212","-1966.1348","-1148.5887","-135.23","-122.9625","-200.0194","-121.6605","-26.507","1532.0413","-654.8177","-88.2411","-19.5622","-26.8868","-38.14"
"Current Ratio","5.244","4.353","3.867","3.593","2.628","3.097","3.269","3.131","3.003","4.194","2.722","2.372","2.282","2.272","2.543","2.646","2.866","3.082","2.404","2.42","2.513","2.823","2.338","2.675","2.449","2.841","2.735","2.502","2.462","2.739","2.967","3.026","3.038","2.944","2.351","2.627","3.014","3.486","3.467"
"Income Quality","2.1345","1.6522","1.8338","-0.3245","3.0601","1.7707","1.7754","0.083","15.9487","1.8978","2.4234","1.1662","4.2035","0.5496","1.3463","0.7531","1.6925","0.8764","1.7798","0.9132","1.1249","0.4569","1.7586","1.0464","1.0897","1.2225","1.3438","0.9395","0.9284","1.3012","1.5094","1.708","1.8533","1.8017","1.1781","0.5245","1.5129","0.5259","1.5582"
"Payout Ratio","0.63","0.773","0.479","0.81","1.172","0.85","0.557","0.971","8.5","1.063","0.507","0.791","1.214","0.493","0.318","0.442","0.436","0.353","0.24","0.385","0.345","0.295","0.192","0.311","0.329","0.238","0.147","0.234","0.231","0.137","0.092","0.159","0.152","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.1408","0.1768","0.1735","0.1856","0.1736","0.1718","0.1711","0.1735","0.1702","0.0699","0.0872","0.0925","0.1013","0.1015","0.101","0.1069","0.1005","0.1099","0.1179","0.1322","0.1243","0.1222","0.1135","0.1223","0.1293","0.1172","0.1181","0.1233","0.1279","0.1102","0.1024","0.1106","0.1143","0.1221","0.1298","0.1243","0.1152","0.1278","0.106"
"Selling, General and Administrative Expense of Revenue","0.4952","0.5573","0.4758","0.5289","0.5767","0.5602","0.4695","0.5388","0.6463","0.5827","0.463","0.5156","0.5339","0.4716","0.3851","0.4388","0.4659","0.4477","0.3716","0.4421","0.4212","0.4333","0.3757","0.4215","0.4153","0.4605","0.3652","0.4283","0.4209","0.4412","0.3663","0.4294","0.4405","0.4591","0.3579","0.4315","0.441","0.4051","0.3417"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3199500000.0","2133300000.0","2050500000.0","1808000000.0","1346200000.0","1533600000.0","1597600000.0","1600600000.0","1671800000.0","2207000000.0","1232000000.0","1121300000.0","1042100000.0","1002143000.0","1084781000.0","1164637000.0","1348437000.0","1279678000.0","1079431000.0","1037684000.0","1086368000.0","1136315000.0","1085010000.0","1057775000.0","859371000.0","1012373000.0","1029350000.0","855599000.0","773605000.0","958844000.0","1137931000.0","1078312000.0","936757000.0","813042000.0","701528000.0","750158000.0","908277000.0","906359000.0","1053543000.0"
"Tangible Asset Value","5010300000.0","3837000000.0","3866800000.0","3733600000.0","4043500000.0","3873300000.0","3815900000.0","3764100000.0","3872800000.0","4197100000.0","3301700000.0","3331600000.0","3291900000.0","3217205000.0","3185964000.0","3114514000.0","3177070000.0","2912440000.0","2892730000.0","2734923000.0","2718498000.0","2620179000.0","2748897000.0","2526100000.0","2294324000.0","2402830000.0","2464639000.0","2288159000.0","2151466000.0","2350958000.0","2575219000.0","2485597000.0","2271161000.0","2033272000.0","2034441000.0","1848433000.0","1988447000.0","1880674000.0","2065873000.0"
"Net Current Asset Value","1123600000.0","1000500000.0","898100000.0","649100000.0","-36900000.0","214000000.0","265200000.0","270700000.0","329500000.0","925600000.0","848200000.0","707900000.0","612700000.0","598746000.0","674586000.0","763246000.0","948208000.0","866036000.0","651270000.0","611302000.0","693138000.0","713580000.0","663847000.0","627573000.0","429841000.0","583195000.0","566411000.0","398093000.0","340819000.0","531490000.0","712828000.0","656838000.0","528115000.0","457228000.0","348887000.0","451222000.0","602240000.0","573166000.0","751679000.0"
"Invested Capital","3163100000.0","2398000000.0","2433500000.0","2627800000.0","3234000000.0","3203700000.0","3155100000.0","2937700000.0","2636700000.0","2620800000.0","1770000000.0","2023200000.0","2027400000.0","2176281000.0","1915326000.0","1693454000.0","1392760000.0","1444175000.0","1287847000.0","1266529000.0","1106483000.0","1090730000.0","876275000.0","1073072000.0","1025680000.0","1064306000.0","1138592000.0","1121951000.0","1050861000.0","1121927000.0","918657000.0","983889000.0","1044223000.0","1091208000.0","1118454000.0","980563000.0","841466000.0","921824000.0","785683000.0"
"Average Receivables","256600000.0","233300000.0","286600000.0","246000000.0","232350000.0","230050000.0","266050000.0","227950000.0","209050000.0","197322000.0","228565500.0","193487500.0","187038500.0","187441500.0","225836000.0","178141000.0","174969500.0","173303000.0","217541000.0","165684000.0","158680000.0","150599000.0","196312000.0","143117000.0","125983000.0","124939000.0","179716000.0","119146500.0","108887500.0","122647500.0","185436500.0","130799000.0","107722500.0","137611000.0","167059500.0","152710000.0","107276000.0","136466000.0","133597000.0"
"Average Payables","190650000.0","151900000.0","150100000.0","194600000.0","204750000.0","169950000.0","154100000.0","194700000.0","188350000.0","137549000.0","147814000.0","169272000.0","166378500.0","123470500.0","143849500.0","148920500.0","167122000.0","122268500.0","144651000.0","138620500.0","136999500.0","100013000.0","120303500.0","124846000.0","112090500.0","101913000.0","112021500.0","99823000.0","104299000.0","89408500.0","122908500.0","111844500.0","118877500.0","65649500.0","101502500.0","112464500.0","122017500.0","62894500.0","79724500.0"
"Average Inventory","464450000.0","471400000.0","451700000.0","560750000.0","472150000.0","460500000.0","442850000.0","586050000.0","505650000.0","520321500.0","500113000.0","617307000.0","525453000.0","549829000.0","523342500.0","617671000.0","514598000.0","495639500.0","461345000.0","558857000.0","463160500.0","433403000.0","398220500.0","489253000.0","392558000.0","349057500.0","318305000.0","398232500.0","344716500.0","332171500.0","326140500.0","369671000.0","322319000.0","338662500.0","341905500.0","382423000.0","304841000.0","284736500.0","275153500.0"
