"","42862.0","42778.0","42694.0","42610.0","42498.0","42414.0","42330.0","42246.0","42134.0","42050.0","41966.0","41882.0","41770.0","41686.0","41602.0","41518.0","41406.0","41322.0","41238.0","41154.0","41035.0","40951.0","40867.0","40783.0","40671.0","40587.0","40503.0","40419.0","40307.0","40223.0","40139.0","40055.0","39943.0","39859.0","39775.0","39691.0","39579.0","39495.0","39411.0"
"Book Value per Share","22.556","28.329","27.335","27.584","26.218","25.02","24.748","24.19","24.058","23.175","28.168","28.091","26.895","26.184","25.62","24.81","23.991","23.194","29.221","28.58","29.012","28.15","27.426","27.494","27.377","26.525","25.798","24.768","24.659","24.219","23.663","23.038","21.809","21.042","20.467","21.165","21.019","20.577","20.139"
"Tangible Book Value per Share","81.198","81.138","83.405","75.733","77.192","73.668","80.875","75.227","76.104","76.297","78.888","75.404","74.414","71.777","73.793","69.355","68.744","66.722","67.654","62.751","64.169","63.311","64.492","61.304","61.729","58.89","59.993","54.469","54.196","53.13","53.704","50.513","49.048","47.839","48.553","47.622","48.892","47.539","48.275"
"FCF per Share","2.429","-0.052","4.854","-2.325","3.186","0.38","0.219","0.508","1.836","0.654","1.306","0.628","2.469","0.605","0.833","-0.323","2.092","-0.073","1.417","0.347","1.879","0.654","0.755","1.054","1.222","1.129","0.97","0.46","1.524","0.948","1.004","0.455","1.077","1.322","-0.902","0.06","1.254","0.566","-0.37"
"Interest Debt per Share","9.0676","11.5502","11.6254","11.7859","11.6541","11.3159","13.9754","13.9782","13.6933","11.4219","11.4732","11.6288","11.3438","11.3353","11.3866","11.4466","11.1962","11.1704","3.1793","3.1931","3.1651","5.247","5.2139","4.9321","4.9156","4.912","4.9919","4.9563","4.9028","5.0593","5.0666","5.1159","5.1502","5.4697","5.4688","5.4018","5.2676","5.3357","5.1003"
"Cash per Share","10.3414","10.8033","10.9701","7.7165","11.13","8.2634","11.5298","10.9387","11.505","13.3202","13.6042","13.1016","13.0528","11.665","10.729","10.6358","12.4814","10.1221","8.9912","8.1572","11.0445","10.1005","9.9465","9.1838","9.3415","7.6829","8.6132","7.351","10.0074","9.4","8.2736","7.2556","7.0979","6.2403","5.122","6.0304","6.5686","5.215","6.303"
"Debt to Equity Ratio","0.402","0.4077","0.4253","0.4273","0.4445","0.4523","0.5647","0.5778","0.5692","0.4928","0.4073","0.414","0.4218","0.4329","0.4444","0.4614","0.4667","0.4816","0.1088","0.1117","0.1091","0.1864","0.1901","0.1794","0.1796","0.1852","0.1935","0.2001","0.1988","0.2089","0.2141","0.2221","0.2361","0.2599","0.2672","0.2552","0.2506","0.2593","0.2533"
"Total Debt To Total Assets","0.1117","0.1424","0.1394","0.1556","0.151","0.1536","0.1728","0.1858","0.1799","0.1497","0.1454","0.1542","0.1524","0.1579","0.1543","0.165","0.1629","0.1674","0.047","0.0509","0.0493","0.0829","0.0808","0.0805","0.0796","0.0834","0.0832","0.091","0.0905","0.0952","0.0943","0.1013","0.105","0.1143","0.1126","0.1134","0.1077","0.1122","0.1057"
"Interest Coverage","46.6667","26.9032","29.8276","31.1282","28.7","27.8387","23.8788","29.625","26.6774","32.8889","30.6154","31.8","29.72","28.6154","25.1852","27.3611","29.28","30.28","50.3077","44.2727","32.7368","23.5556","21.1852","21.8333","20.1481","21.4444","19.6154","20.9706","18.3704","19.0","18.4167","18.5758","14.52","16.24","17.6","19.9688","19.6","23.6957","18.6087"
"Current Ratio","0.807","0.926","0.969","0.977","0.973","1.006","1.031","1.015","1.054","0.99","1.196","1.22","1.194","1.198","1.17","1.195","1.174","1.158","1.09","1.103","1.18","1.157","1.126","1.137","1.126","1.223","1.179","1.163","1.183","1.166","1.13","1.114","1.089","1.077","1.059","1.066","1.058","1.055","1.063"
