"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41090.0","40724.0",""
"Book Value per Share","12.461","12.859","13.117","0.746","1.064","1.312","1.176","2.429","2.69","1.459","1.815","1.933","2.253","3.591","4.377","4.083","3.899","2.298","4.134",""
"Tangible Book Value per Share","7.448","7.618","7.614","8.811","8.189","8.2","9.057","7.61","7.142","8.843","9.332","9.31","9.112","8.613","8.754","8.366","7.751","7.129","7.866",""
"FCF per Share","-0.091","-0.096","0.759","-0.303","0.062","-0.321","1.057","0.206","0.244","0.004","0.848","-0.095","0.151","-0.138","0.769","0.093","0.094","0.049","0.787","-0.223"
"Interest Debt per Share","9.5484","9.5039","8.6996","12.9854","12.1034","12.224","10.5986","7.7569","7.3085","10.4044","9.6353","9.1414","8.7944","7.1487","6.7875","6.8404","6.8638","6.596","7.9611",""
"Cash per Share","0.7635","1.0598","1.258","1.124","1.0998","1.0849","1.3991","1.1556","0.9467","3.3191","3.4046","2.8309","3.3057","2.9875","3.0021","2.4656","2.4019","1.6338","1.5507",""
"Debt to Equity Ratio","0.7663","0.7391","0.6632","17.3984","11.3776","9.3155","9.0106","3.1933","2.7167","7.13","5.3097","4.7296","3.9032","1.9909","1.5506","1.6755","1.7605","2.8702","1.9255",""
"Total Debt To Total Assets","0.3165","0.3119","0.2967","0.6071","0.5825","0.588","0.5615","0.4535","0.4377","0.5872","0.5329","0.5038","0.4996","0.4218","0.3798","0.3903","0.4065","0.3979","0.3849",""
"Interest Coverage","-4.7765","-3.2368","-0.3005","0.8738","-0.1031","0.3944","7.9863","4.6625","-1.6886","6.1648","9.1047","1.2857","-1.3041","-15.9827","7.9581","9.0287","-1.419","1.0297","11.538","9.3491"
"Current Ratio","0.942","1.15","1.246","1.119","1.045","1.098","1.133","1.208","1.216","1.943","1.223","1.156","1.743","1.79","1.655","1.663","1.652","1.118","1.14",""
"Income Quality","-0.1667","-0.2637","14.4957","0.0","-1.8097","2.6791","4.4989","0.9284","6.5762","0.4397","2.622","2.4717","-4.6468","0.0166","4.1952","1.0824","-1.6276","3.299","2.5966","-0.2849"
"Payout Ratio","-0.277","-0.591","2.167","0.0","0.0","0.0","0.714","0.0","0.0","0.0","6.667","0.0","0.0","0.952","0.0","0.0","0.0","0.0","0.0",""
"Intangible Assets out of Total Assets","0.7531","0.75","0.7403","0.5881","0.6059","0.6056","0.5202","0.555","0.5722","0.501","0.4839","0.4869","0.4824","0.4918","0.5101","0.5226","0.5409","0.57","0.6197",""
"Selling, General and Administrative Expense of Revenue","0.5883","0.5376","0.5095","0.4433","0.4964","0.5198","0.4258","0.4354","0.5548","0.4765","0.4247","0.4403","0.5348","0.5385","0.4557","0.4383","0.5528","0.5614","0.4283","0.4525"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-222100000.0","488500000.0","771500000.0","224800000.0","83200000.0","168900000.0","227700000.0","350800000.0","330200000.0","1211800000.0","495400000.0","363900000.0","1187500000.0","1190600000.0","1087800000.0","1054200000.0","953700000.0","225500000.0","255600000.0",""
"Tangible Asset Value","5567500000.0","5692700000.0","5684300000.0","2963100000.0","2772800000.0","2770900000.0","3124500000.0","2739700000.0","2574600000.0","3048200000.0","3297800000.0","3297500000.0","3412600000.0","3307300000.0","3365100000.0","3212600000.0","2970200000.0","2659000000.0","2591100000.0",""
"Net Current Asset Value","-9097900000.0","-8890100000.0","-8100600000.0","-4749300000.0","-4656800000.0","-4591800000.0","-4069600000.0","-3141300000.0","-3091500000.0","-2997000000.0","-2919300000.0","-2941100000.0","-2847100000.0","-2307700000.0","-2314100000.0","-2394500000.0","-2437600000.0","-2907400000.0","-3266800000.0",""
"Invested Capital","8330600000.0","8745300000.0","8102400000.0","5069200000.0","4643400000.0","4804600000.0","4585400000.0","3429000000.0","3341800000.0","4205300000.0","3274200000.0","3196700000.0","3870800000.0","3398800000.0","3158300000.0","3302900000.0","3216800000.0","2596900000.0","2871200000.0",""
"Average Receivables","1076600000.0","1021200000.0","1073750000.0","770700000.0","681250000.0","636000000.0","716950000.0","789100000.0","672200000.0","637650000.0","757850000.0","797500000.0","643750000.0","622650000.0","688450000.0","","","","",""
"Average Payables","1326750000.0","1126650000.0","1091200000.0","868850000.0","834900000.0","702350000.0","740700000.0","783150000.0","779300000.0","662550000.0","724050000.0","773100000.0","760950000.0","705900000.0","712500000.0","","","","",""
"Average Inventory","809200000.0","806700000.0","760350000.0","601300000.0","561800000.0","546250000.0","516300000.0","612300000.0","587600000.0","551150000.0","543300000.0","651700000.0","612800000.0","618600000.0","618600000.0","","","","",""
