"","42946.0","42855.0","42764.0","42673.0","42582.0","42491.0","42400.0","42309.0","42218.0","42127.0","42036.0","41945.0","41854.0","41756.0","41665.0","41574.0","41483.0","41392.0","41301.0","41210.0","41119.0","41028.0","40937.0","40846.0","40755.0","40664.0","40573.0","40482.0","40391.0","40300.0","40209.0","40118.0","40027.0","39936.0","39845.0","39754.0","39663.0","39565.0","39474.0","39383.0"
"Book Value per Share","5.421","4.872","4.804","5.159","4.935","5.424","4.923","4.561","4.469","5.135","4.875","5.153","5.143","5.102","4.49","4.296","3.876","4.194","3.694","3.5","2.86","4.025","3.758","3.628","3.4","3.308","2.694","3.287","2.748","3.224","3.0","2.776","2.104","3.229","2.921","3.0","3.651","5.083","4.231","3.971"
"Tangible Book Value per Share","14.877","14.082","14.35","15.049","14.311","14.586","14.735","15.397","14.654","13.971","14.355","15.153","14.347","13.847","14.49","17.197","15.939","14.863","15.178","15.748","12.806","12.449","12.881","13.528","13.131","12.511","12.258","12.776","11.418","10.41","10.88","11.478","10.5","10.143","10.485","11.146","10.723","10.41","11.432","11.768"
"FCF per Share","0.454","0.882","1.225","0.562","0.531","1.249","1.387","0.565","0.333","0.929","1.013","0.42","-0.032","1.045","0.86","-0.045","0.08","0.863","1.111","0.137","0.42","0.899","1.082","0.119","0.453","0.984","1.415","-0.146","0.202","0.853","1.402","-0.233","0.552","0.889","1.042","-0.14","0.136","0.182","0.849","0.09"
"Interest Debt per Share","11.7086","11.1579","11.366","11.6494","11.4337","11.9288","12.4","13.2129","13.2104","12.1704","12.4377","12.9682","12.7866","12.449","13.3917","15.3885","14.1815","13.5446","14.1051","14.1624","8.8854","8.7247","9.0503","9.3406","9.6375","9.6729","9.4576","9.194","8.2493","7.3363","7.7713","8.4694","7.5838","7.3771","7.6366","7.7199","7.2438","5.6729","7.3103","7.4248"
"Cash per Share","1.0563","1.0296","1.0098","0.9416","0.9579","1.2395","0.9871","0.8484","0.8188","0.7395","0.6422","0.7611","0.7389","0.707","0.9331","0.9713","1.0605","1.4427","1.3057","1.1497","1.0669","1.212","1.0126","0.8906","1.5125","1.3988","0.9848","0.8687","0.7537","0.236","0.3314","0.2216","0.1474","0.1743","0.2254","0.1765","0.2244","0.134","0.252","0.2032"
"Debt to Equity Ratio","2.16","2.2903","2.366","2.258","2.3167","2.1993","2.519","2.8967","2.9558","2.3701","2.5511","2.5167","2.4861","2.4401","2.9823","3.5819","3.659","3.2293","3.8181","4.0464","3.1069","2.1675","2.4084","2.5745","2.8346","2.9237","3.5107","2.7975","3.0022","2.2754","2.5904","3.0515","3.6044","2.285","2.6143","2.5733","1.9841","1.116","1.7279","1.8698"
"Total Debt To Total Assets","0.4577","0.4552","0.4594","0.4463","0.4508","0.4561","0.4758","0.4933","0.5054","0.4878","0.4926","0.4908","0.4949","0.4908","0.5179","0.5336","0.535","0.5031","0.5154","0.5084","0.4273","0.4247","0.4318","0.4302","0.4494","0.4634","0.4743","0.4517","0.443","0.4155","0.4308","0.4517","0.4333","0.442","0.4586","0.4448","0.4039","0.3252","0.4008","0.3987"
"Interest Coverage","17.68","10.3103","7.1034","15.7931","-1.2414","9.2759","14.8214","10.8966","1.5926","9.8621","13.0","15.0","10.0645","9.4839","15.7931","9.6129","-2.7879","8.2727","9.1212","10.7222","7.037","9.2414","11.9643","14.0","5.4828","11.5185","10.6471","13.9375","6.75","10.1379","14.5185","17.1071","5.88","11.0","13.8462","12.1212","4.2609","15.1351","9.8571","10.2381"
"Current Ratio","0.793","0.761","0.778","0.778","0.747","0.859","0.831","0.805","0.746","0.819","0.733","0.744","0.703","0.691","0.682","0.63","0.677","0.836","0.783","0.777","0.856","0.926","0.891","1.044","0.987","1.003","0.793","0.857","0.817","0.677","0.999","0.933","0.953","0.887","0.878","0.786","0.705","0.968","0.796","0.773"
"Income Quality","0.8805","1.9545","4.4158","0.7568","-3.4568","2.4703","1.9245","1.2577","13.8235","2.162","1.7838","0.7581","0.7351","2.1739","1.0","0.2209","-0.981","2.0166","2.2","0.3306","2.2205","2.0339","1.9756","0.2755","2.84","2.0053","2.1423","-0.1039","1.7522","2.1607","2.0541","-0.1184","5.2174","2.2299","1.8584","-0.0577","2.1573","0.2481","1.3431","0.2741"
