"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","24.172","24.62","24.815","25.735","25.916","26.051","25.96","25.68","26.112","26.274","26.574","29.057","29.226","29.238","29.373","28.11","30.448","30.441","31.032","32.516","32.766","33.384","33.79","35.892","36.136","31.771","31.912","31.922","31.81","31.712","47.587","31.386","32.003","31.987","31.989","31.834","32.564","32.032","31.275"
"Tangible Book Value per Share","50.482","42.227","42.668","39.381","39.609","39.998","39.473","40.128","39.8","40.05","38.576","40.942","40.256","40.163","39.941","39.185","38.501","37.939","37.555","38.155","38.396","40.469","38.662","39.084","39.756","38.313","33.824","39.772","39.789","40.311","56.235","39.51","38.938","39.527","41.384","42.458","40.118","38.695","38.288"
"FCF per Share","-0.262","0.596","0.246","0.326","0.98","1.52","0.674","1.281","0.897","1.306","0.672","1.265","0.699","1.238","0.545","1.263","1.195","1.29","0.872","1.88","1.165","1.464","-0.279","1.199","1.284","1.511","0.992","1.204","0.749","0.983","1.38","0.648","1.677","1.863","0.852","1.69","0.127","1.418","0.906"
"Interest Debt per Share","46.3221","36.4117","36.4618","36.5279","36.351","37.166","37.3426","36.7888","36.4331","36.4006","36.2677","37.3716","36.9052","36.4469","35.8236","34.6156","34.0641","33.5603","33.1496","33.3351","34.8209","36.9892","35.4272","36.2189","35.6396","23.6308","24.2407","25.1355","25.5791","25.7874","39.0001","27.585","29.3707","30.492","33.5193","33.3123","29.5395","27.9508","27.6522"
"Cash per Share","11.7426","0.396","0.4148","0.2594","0.3539","0.8129","0.2326","0.6398","0.2775","0.2758","0.2264","1.2969","0.3187","0.3812","0.2871","0.4474","0.3541","0.7685","0.3395","0.3123","0.4533","2.4749","0.2077","1.8341","4.2512","0.8875","0.5723","0.8083","0.6211","0.6896","0.8139","1.7817","0.5949","0.6177","2.4607","2.5792","0.6165","0.3537","0.3156"
"Debt to Equity Ratio","1.9163","1.479","1.4694","1.4194","1.4026","1.4267","1.4385","1.4326","1.3953","1.3854","1.3648","1.2862","1.2627","1.2466","1.2196","1.2314","1.1188","1.1025","1.0682","1.0252","1.0627","1.108","1.0484","1.0091","0.9863","0.7438","0.7596","0.7874","0.8041","0.8132","0.8196","0.8789","0.9177","0.9533","1.0478","1.0464","0.9071","0.8726","0.8842"
"Total Debt To Total Assets","0.4924","0.4223","0.4187","0.4214","0.4163","0.4214","0.4249","0.4187","0.4156","0.4131","0.4176","0.4176","0.4141","0.4093","0.4049","0.3959","0.3865","0.3869","0.382","0.379","0.3918","0.4023","0.3896","0.3909","0.3892","0.3278","0.3325","0.3402","0.3457","0.3459","0.3437","0.3582","0.3702","0.381","0.4016","0.4043","0.3748","0.3654","0.3683"
"Interest Coverage","1.125","1.9654","1.2313","1.7615","1.9324","2.148","2.311","2.0","1.7156","1.9848","1.4758","1.92","1.9938","2.0","2.0061","-2.0547","2.2123","2.5981","2.1873","2.2945","1.3672","1.965","1.5647","1.713","1.6643","3.6484","3.8047","3.6957","3.7643","3.9049","3.6709","3.7113","3.4889","3.1191","3.5916","3.7354","3.9376","3.8289","3.3824"
"Current Ratio","0.897","0.975","0.965","0.576","0.576","0.765","0.576","0.604","0.689","0.969","0.688","0.878","0.81","0.811","0.886","0.958","0.973","0.846","0.792","0.777","0.739","0.865","0.876","0.804","0.989","1.063","1.131","0.744","0.665","0.591","0.658","0.678","0.716","0.773","1.212","1.072","0.676","0.556","0.397"
"Income Quality","40.2941","6.4847","26.0952","5.9934","6.0102","6.0297","3.5385","7.1951","8.007","6.9583","6.6543","7.5957","5.8497","6.798","4.8159","-1.4852","5.461","4.6544","5.9185","6.9889","16.4324","7.915","6.6789","10.5435","11.7217","3.1754","2.5067","2.5862","1.7628","1.8268","2.6623","1.7075","3.6511","3.4275","1.8593","2.8353","2.135","2.5936","2.0912"
"Payout Ratio","18.0","1.8","6.75","1.929","1.5","1.227","0.885","1.459","2.077","1.588","1.636","1.636","1.588","1.543","1.385","-0.307","1.2","1.125","1.946","1.674","6.0","2.25","4.5","3.273","3.789","1.043","0.986","0.947","0.911","0.857","0.959","0.745","1.029","1.045","0.707","1.602","0.08","0.084","0.069"
"Intangible Assets out of Total Assets","0.4633","0.5103","0.51","0.5457","0.5464","0.5465","0.5509","0.5433","0.546","0.5455","0.5559","0.5425","0.5483","0.549","0.5486","0.5518","0.5631","0.5626","0.5672","0.5662","0.568","0.5599","0.5748","0.5782","0.5659","0.4685","0.536","0.4618","0.4622","0.4593","0.5045","0.4869","0.5092","0.5061","0.5042","0.4847","0.4909","0.4941","0.4901"
"Selling, General and Administrative Expense of Revenue","0.2161","0.1924","0.2355","0.1817","0.1853","0.1902","0.1691","0.1882","0.1953","0.1912","0.1915","0.1823","0.183","0.1858","0.1812","0.2319","0.1799","0.1813","0.1724","0.1636","0.181","0.1889","0.1934","0.1893","0.2197","0.1397","0.1388","0.139","0.149","0.1571","0.1565","0.2392","0.1903","0.1726","0.1585","0.1519","0.1623","0.1413","0.1508"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-335000000.0","-128000000.0","-187000000.0","-2005000000.0","-2051000000.0","-900000000.0","-1954000000.0","-2197000000.0","-1492000000.0","-111000000.0","-1222000000.0","-559000000.0","-845000000.0","-873000000.0","-502000000.0","-166000000.0","-100000000.0","-708000000.0","-957000000.0","-1098000000.0","-1360000000.0","-761000000.0","-500000000.0","-929000000.0","-57000000.0","67729000.0","132000000.0","-422621000.0","-545936000.0","-720076000.0","-583604000.0","-691019000.0","-127114000.0","-94232000.0","97017000.0","34070000.0","-158802000.0","-233796000.0","-444136000.0"
"Tangible Asset Value","27329000000.0","22822000000.0","23039000000.0","21258000000.0","21374000000.0","21551000000.0","21379000000.0","22267000000.0","22234000000.0","22507000000.0","21808000000.0","23172000000.0","22862000000.0","23075000000.0","23376000000.0","23299000000.0","23266000000.0","23500000000.0","23343000000.0","23700000000.0","23801000000.0","25018000000.0","23830000000.0","23930000000.0","23809000000.0","11640818000.0","10225000000.0","11959570000.0","11938944000.0","12069786000.0","11180154000.0","11779147000.0","3871026000.0","3918139000.0","4092238000.0","4262875000.0","4158037000.0","4107211000.0","4173637000.0"
"Net Current Asset Value","-34931000000.0","-28328000000.0","-28456000000.0","-30176000000.0","-30342000000.0","-30555000000.0","-30894000000.0","-31154000000.0","-31085000000.0","-31287000000.0","-31384000000.0","-30183000000.0","-30418000000.0","-30620000000.0","-30689000000.0","-31458000000.0","-31206000000.0","-30998000000.0","-31013000000.0","-30602000000.0","-30932000000.0","-31322000000.0","-31700000000.0","-30951000000.0","-28194000000.0","-11102115000.0","-11248000000.0","-11387249000.0","-11564838000.0","-11779304000.0","-11972339000.0","-12134776000.0","-4380075000.0","-4437974000.0","-4530980000.0","-4567879000.0","-4461711000.0","-4425906000.0","-4482949000.0"
"Invested Capital","42806000000.0","37191000000.0","37154000000.0","36103000000.0","35957000000.0","37312000000.0","36874000000.0","36779000000.0","37635000000.0","39229000000.0","38265000000.0","39012000000.0","39197000000.0","39175000000.0","39765000000.0","39637000000.0","39889000000.0","39229000000.0","39142000000.0","39281000000.0","39898000000.0","40712000000.0","41521000000.0","40246000000.0","37543000000.0","17477942000.0","16369000000.0","17625077000.0","17798206000.0","17823322000.0","17064870000.0","17322678000.0","6284325000.0","6464597000.0","6705047000.0","6873828000.0","6665606000.0","6510393000.0","6416955000.0"
"Average Receivables","1920000000.0","1862500000.0","1980000000.0","1954000000.0","1963500000.0","1922000000.0","1965500000.0","1964500000.0","1970500000.0","1930000000.0","1982500000.0","1944500000.0","1943000000.0","1905500000.0","1947000000.0","1941000000.0","1910000000.0","1901500000.0","1933500000.0","1984500000.0","1875000000.0","1273421000.0","1331500000.0","1373826500.0","1266015000.0","669399500.0","699294500.0","710192500.0","450565000.0","432575500.0","450802500.0","442372000.0","215800500.0","206350500.0","219521500.0","223986000.0","223655500.0","215020500.0","225186500.0"
