"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","17.798","16.501","17.656","16.978","16.275","15.81","15.265","14.499","14.004","13.416","12.724","12.139","11.5","10.898","10.13","9.363","8.824","8.64","8.078","7.645","6.77","7.197","6.537","6.507","6.5","6.19","5.903","5.58","5.07","4.845","4.488","4.148","3.879","3.554","3.374","3.163","3.028","2.778","2.539"
"Tangible Book Value per Share","17.772","16.765","17.704","16.987","16.041","15.48","16.111","14.755","13.914","13.208","13.335","14.273","13.352","12.686","12.48","11.738","10.736","10.236","10.193","9.56","8.733","8.708","8.469","7.784","7.574","7.124","7.038","6.519","5.763","5.437","5.193","4.682","4.23","3.818","3.73","3.451","3.288","3.029","2.843"
"FCF per Share","0.783","0.349","0.842","0.857","0.48","0.013","1.013","1.237","0.624","0.215","0.41","0.868","0.608","0.188","0.658","0.741","0.522","0.002","0.393","0.527","0.407","0.068","0.265","0.422","0.298","-0.017","0.523","0.315","0.156","-0.037","0.377","0.3","0.242","0.094","0.292","0.135","0.074","-0.054","0.135"
"Interest Debt per Share","1.6825","1.9983","1.445","1.479","1.4997","1.6791","2.1109","1.5604","1.7421","1.7635","2.6919","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","1.9643","2.162","3.3476","2.5574","2.7797","2.5063","3.4962","2.4256","1.786","2.0856","3.3045","4.3046","3.2776","3.1858","3.6537","3.3669","2.7815","2.443","2.6129","2.2149","1.7375","2.1892","2.1678","1.951","1.9623","2.1272","2.5375","2.1826","1.7335","1.8144","1.8622","1.6906","1.4715","1.3006","1.2619","0.977","0.8995","0.7803","0.5877"
"Debt to Equity Ratio","0.0945","0.1211","0.0818","0.0871","0.0921","0.1062","0.1383","0.1076","0.1244","0.1314","0.2116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0711","0.0887","0.0616","0.0654","0.0692","0.0802","0.0982","0.0774","0.0901","0.0944","0.1427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","106.8333","109.1667","128.4545","126.1633","120.0","118.8","123.087","127.2791","134.8537","103.12","180.7037","1546.6667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","3.354","3.034","3.557","3.564","3.66","3.692","2.914","3.401","3.461","3.4","2.477","4.169","4.3","4.186","3.465","3.582","3.782","3.946","3.495","3.56","3.607","4.109","3.377","3.663","4.235","4.41","3.78","4.022","4.345","4.271","3.569","3.967","4.524","4.48","3.788","3.82","3.862","3.571","3.646"
"Income Quality","1.1085","0.4973","1.4424","1.3366","1.4524","0.1633","1.6274","2.0592","1.0857","0.4944","0.8941","1.64","1.0979","0.4508","1.5597","1.4982","1.2169","0.2585","1.298","1.3899","1.2865","0.4177","1.1871","1.4501","1.034","0.219","1.9028","1.1524","0.7858","0.0154","1.6494","1.5263","1.0708","0.6637","1.718","1.2388","0.7199","0.2185","1.5573"
"Payout Ratio","0.188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.249","0.2558","0.2458","0.2493","0.2602","0.261","0.2503","0.2678","0.2807","0.2927","0.2933","0.0593","0.0657","0.0688","0.0707","0.0704","0.0762","0.079","0.0608","0.0637","0.0665","0.0676","0.0702","0.0767","0.0635","0.0659","0.0674","0.0736","0.0818","0.0771","0.0803","0.076","0.0748","0.0832","0.085","0.0909","0.0971","0.1009","0.1057"
"Selling, General and Administrative Expense of Revenue","0.1932","0.1935","0.211","0.2029","0.1941","0.2017","0.2039","0.1968","0.1984","0.2098","0.2051","0.196","0.1918","0.2004","0.1913","0.1923","0.1946","0.2045","0.2062","0.2035","0.221","0.2186","0.2118","0.2206","0.22","0.2161","0.2136","0.2158","0.2122","0.2032","0.2112","0.2271","0.2189","0.2237","0.2249","0.2269","0.2438","0.2315","0.2293"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
