"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","77.725","78.001","77.105","78.35","78.613","80.388","81.144","82.91","82.819","83.466","82.007","83.013","81.366","79.503","77.535","75.64","74.342","72.645","69.755","68.321","66.524","63.908","60.951","60.913","58.0","55.195","52.216","51.18","49.874","47.794","45.813","45.495","44.164","43.851","42.646","42.783","40.116","38.33","36.51"
"Tangible Book Value per Share","132.936","135.454","135.343","136.249","137.232","138.655","138.123","141.22","140.219","141.974","138.293","138.661","136.38","133.823","129.533","127.06","124.601","120.668","116.669","114.205","109.888","107.059","102.854","100.494","98.828","95.291","89.52","86.389","83.715","82.364","79.752","79.27","78.621","77.748","77.048","79.27","77.257","71.726","68.27"
"FCF per Share","0.963","0.3","-0.077","0.665","-1.035","-2.367","-1.537","-0.776","-0.226","-2.83","-1.677","0.221","-0.556","-0.067","-0.604","0.37","-0.028","-1.285","1.172","0.123","1.457","1.269","0.885","2.392","1.463","2.591","1.366","1.198","1.528","1.779","0.83","1.3","-0.575","-1.798","-0.407","2.19","1.309","1.769","0.846"
"Interest Debt per Share","22.7876","24.0804","24.4341","24.3295","24.0839","22.6439","20.4826","19.201","17.0865","18.1785","14.7152","13.6683","12.4755","12.1655","10.6236","9.7077","10.3904","7.3317","6.2294","6.3397","5.2355","4.7228","5.0977","4.9092","5.7773","5.8028","5.7026","5.3156","5.246","5.2056","5.2406","5.291","6.0554","6.1242","4.3809","3.425","3.2495","3.2878","3.4251"
"Cash per Share","2.5316","3.7156","3.7017","3.9234","4.6816","4.5792","5.8564","6.9218","6.509","6.7902","6.7673","7.5617","7.3996","8.4009","8.4511","9.5724","11.4698","9.7366","11.0603","10.9572","10.8574","9.9442","9.9534","10.1212","8.8982","8.3866","8.4053","7.2423","6.5864","5.5494","4.3444","3.7983","3.6333","4.5954","4.6004","5.2331","3.9887","3.9721","3.4867"
"Debt to Equity Ratio","0.2932","0.3087","0.3169","0.3105","0.3064","0.2817","0.2524","0.2316","0.2063","0.2178","0.1794","0.1647","0.1533","0.153","0.137","0.1283","0.1398","0.1009","0.0893","0.0928","0.0787","0.0739","0.0836","0.0806","0.0996","0.1051","0.1092","0.1039","0.1052","0.1089","0.1144","0.1163","0.1371","0.1397","0.1027","0.0801","0.081","0.0858","0.0938"
"Total Debt To Total Assets","0.1684","0.1747","0.1774","0.1754","0.1724","0.1605","0.1457","0.1336","0.1198","0.1259","0.1046","0.0969","0.0899","0.0893","0.0805","0.075","0.0818","0.0596","0.0523","0.0544","0.0466","0.0432","0.0485","0.0477","0.0571","0.0594","0.0621","0.0599","0.061","0.0615","0.0639","0.0648","0.0748","0.0765","0.0552","0.042","0.0409","0.0444","0.0486"
"Interest Coverage","41.3542","62.0196","9.431","18.0469","-25.2911","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2186.25","762.0","514.5882","382.1","0.0","441.9286","556.0","395.5","0.0","0.0","0.0","0.0","1226.4286"
"Current Ratio","0.952","1.04","0.932","1.167","1.303","1.087","1.352","1.321","1.441","1.402","1.323","1.269","1.347","1.395","1.522","1.599","1.679","1.577","1.629","1.639","1.715","1.612","1.584","1.64","1.533","1.526","1.683","1.657","1.63","1.481","1.42","1.4","1.369","1.369","1.139","1.201","1.17","1.171","1.165"
"Income Quality","3.4731","1.4463","9.3084","4.1395","-1.7218","-1.5738","-7.75","2.6313","12.6445","0.9034","1.8718","1.5519","1.3912","1.8655","2.1201","2.084","1.5881","0.9249","1.764","1.4715","1.3752","1.2961","1.7703","1.4717","1.3826","1.5801","1.5585","2.1184","1.4056","1.6514","2.2866","1.7398","1.8819","1.3087","1.0639","1.1546","1.2057","1.5687","1.4529"
"Payout Ratio","1.403","0.755","4.909","1.574","-1.372","-2.744","-3.452","0.982","3.567","0.775","0.575","0.36","0.357","0.42","0.385","0.388","0.357","0.281","0.241","0.332","0.245","0.245","0.31","0.198","0.201","0.232","0.272","0.381","0.266","0.298","0.442","0.354","0.739","0.707","0.265","0.168","0.223","0.232","0.248"
