"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","58.813","57.585","52.194","54.587","44.878","47.61","53.758","50.986","49.479","53.424","46.728","45.54","45.761","36.717","35.769","34.717","34.367","33.827","33.491","32.746","32.542","29.418","29.003","29.763","26.269","23.98","24.059","19.616","19.357","18.361","15.664","15.432","15.207","15.576","15.709","14.624","10.361","10.623","10.295"
"Tangible Book Value per Share","91.41","89.732","82.814","87.603","82.68","87.054","97.691","103.917","101.052","107.694","103.749","97.481","101.949","94.615","91.019","90.505","87.978","85.242","82.702","86.171","74.923","71.106","66.322","63.163","58.516","55.827","53.828","38.454","37.438","36.523","36.767","32.737","32.164","33.023","32.925","32.173","21.598","20.25","20.024"
"FCF per Share","-0.243","-0.351","-3.856","-0.709","0.213","-0.147","3.723","-3.591","-2.975","-5.948","-3.114","-2.407","-1.291","-0.798","-0.139","-0.949","-1.901","-1.972","-0.003","-11.156","-1.627","-2.1","-2.422","-0.787","-0.09","-2.025","-13.895","-0.565","-0.726","0.135","-2.659","0.22","-0.177","-1.077","-0.74","-6.447","0.274","0.219","0.279"
"Interest Debt per Share","18.4679","18.5674","19.3289","20.8222","25.3434","25.7646","25.802","32.6844","30.5354","30.0275","31.5165","29.9202","33.6569","36.4728","35.4158","35.5237","33.6381","32.2071","30.2134","35.274","24.7968","24.0036","21.169","17.9921","17.9458","18.5217","17.9503","8.2722","7.6898","7.6691","10.6936","7.8969","7.9996","8.0193","7.6022","8.237","5.6083","4.627","4.9053"
"Cash per Share","4.4603","5.2037","0.3629","8.7932","3.6581","3.6088","1.7697","0.0002","0.0023","0.0002","0.0002","0.8753","3.4733","0.0002","0.0002","0.0002","0.0004","0.0094","0.0278","0.0028","0.0069","0.0059","0.0033","0.0017","0.0039","0.0089","0.0039","0.0039","0.0042","0.0787","0.0379","0.1845","0.0363","0.0285","0.2104","0.6689","0.4192","0.2079","0.4039"
"Debt to Equity Ratio","0.314","0.3224","0.3703","0.3814","0.5647","0.5412","0.48","0.641","0.6171","0.5621","0.6745","0.657","0.7355","0.9934","0.9901","1.0233","0.9788","0.9521","0.9021","1.0772","0.762","0.816","0.7299","0.6045","0.6832","0.7724","0.7461","0.4217","0.3973","0.4177","0.6827","0.5117","0.526","0.5148","0.4839","0.5633","0.5413","0.4356","0.4765"
"Total Debt To Total Assets","0.2017","0.2065","0.2329","0.2372","0.3058","0.2953","0.2636","0.3139","0.3015","0.2782","0.3031","0.3062","0.3293","0.3844","0.3879","0.3913","0.3811","0.3766","0.364","0.4079","0.3296","0.3361","0.3176","0.2834","0.3049","0.3298","0.3313","0.213","0.2033","0.2077","0.2875","0.2381","0.2454","0.2396","0.2278","0.2514","0.2597","0.2285","0.245"
"Interest Coverage","7.2821","26.525","-4.2247","-0.5383","-6.7091","-28.8889","1.0965","6.0516","-2.5749","1.2177","4.7864","10.3452","1.3399","3.6122","3.4468","1.9307","3.5528","1.7882","3.2748","1.0973","13.1961","2.2482","-3.5383","18.5604","18.3339","1.4082","0.0355","3.3402","18.5474","10.6071","1.5739","7.1075","-8.5015","-3.8812","21.4689","23.7166","-5.0718","7.5419","2.5294"
"Current Ratio","1.702","1.735","0.725","3.002","1.932","2.295","2.204","1.041","0.82","0.942","0.94","0.865","1.072","0.613","0.688","0.695","0.64","0.58","0.62","0.71","0.737","0.547","0.586","0.827","0.688","0.609","0.652","0.682","0.635","0.616","0.645","0.739","0.762","1.008","1.029","0.792","0.699","0.739","0.839"
"Income Quality","2.6184","0.6262","-7.569","-3.6655","-1.1504","-0.3627","-976.9391","1.5121","-3.0103","16.8063","3.52","1.4214","32.1818","5.213","3.9454","15.0394","3.1577","7.2997","5.2046","39.1902","0.8301","11.1163","-5.0766","0.823","1.3798","3.8869","-30.6587","7.8568","0.8239","2.0318","7.5519","5.7609","-2.3367","-3.0709","0.5589","1.1023","-6.4593","3.1212","9.7458"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0018","0.0018","0.002","0.0021","0.0023","0.0022","0.002","0.0021","0.0022","0.0022","0.0023","0.0025","0.0026","0.0028","0.003","0.003","0.0032","0.0034","0.0035","0.0036","0.0042","0.0045","0.0049","0.0052","0.0057","0.006","0.0065","0.01","0.0104","0.011","0.0115","0.0131","0.0135","0.0133","0.0134","0.0182","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.1058","0.0915","0.1237","0.1243","0.1338","0.1901","0.1309","0.1296","0.1134","0.1422","0.0911","0.0753","0.0703","0.0722","0.0707","0.0625","0.0728","0.0917","0.0792","0.0763","0.0807","0.0591","0.0888","0.0503","0.0507","0.0593","0.0862","0.0677","0.0891","0.0692","0.1009","0.0828","0.1113","0.1366","0.1686","0.0632","0.0625","0.072","0.0872"
"Research and Development Expense of Revenue","0.0353","0.0245","0.0438","0.024","0.053","0.081","0.0675","0.0319","0.0224","0.0139","0.3604","0.0243","0.0401","0.0384","0.1135","0.0168","0.0149","0.039","0.0262","0.015","0.0357","0.0126","0.019","0.0077","0.0009","0.002","0.0197","0.016","0.0046","0.0056","0.003","0.0181","0.0112","0.0697","0.2176","0.0987","0.0053","0.0257","0.1112"
"Working Capital","538000000.0","573000000.0","-207000000.0","1146162000.0","536400000.0","783619000.0","718130000.0","42027000.0","-197437000.0","-70501000.0","-76231000.0","-120301000.0","70617000.0","-363173000.0","-235993000.0","-266572000.0","-303679000.0","-323386000.0","-281204000.0","-203300000.0","-184017000.0","-393320000.0","-290454000.0","-114590000.0","-198557000.0","-269745000.0","-176356000.0","-111469000.0","-126996000.0","-140750000.0","-119756000.0","-63310000.0","-52152000.0","2074000.0","7965000.0","-52924000.0","-62888000.0","-33792000.0","-20659000.0"
"Tangible Asset Value","13567000000.0","13295000000.0","12095000000.0","11546037000.0","10876654000.0","11261193000.0","12616183000.0","12501503000.0","12127552000.0","12180357000.0","11724626000.0","11010576000.0","10727779000.0","9949918000.0","9562549000.0","9501721000.0","9214059000.0","8833687000.0","8559361000.0","8900754000.0","7725658000.0","7313571000.0","6816151000.0","6488975000.0","6001944000.0","5707885000.0","5333521000.0","3506315000.0","3408505000.0","3244398000.0","3134563000.0","2784617000.0","2727480000.0","2791422000.0","2777435000.0","2615250000.0","1634233000.0","1528328000.0","1508229000.0"
"Net Current Asset Value","-3558000000.0","-3434000000.0","-3950000000.0","-2657241000.0","-3885921000.0","-3739182000.0","-4384775000.0","-5323099000.0","-5314137000.0","-5010521000.0","-5282596000.0","-5123276000.0","-4886415000.0","-5541550000.0","-5312340000.0","-5278276000.0","-5104708000.0","-4911513000.0","-4664359000.0","-5053711000.0","-3887676000.0","-3846395000.0","-3457814000.0","-2918051000.0","-2903230000.0","-2871395000.0","-2653987000.0","-1514377000.0","-1461254000.0","-1423680000.0","-1618399000.0","-1329903000.0","-1307965000.0","-1259904000.0","-1211266000.0","-1273407000.0","-704411000.0","-630719000.0","-624848000.0"
"Invested Capital","14880000000.0","14495000000.0","14112000000.0","12558805000.0","13153778000.0","13522278000.0","15123401000.0","15404844000.0","14692778000.0","14351708000.0","14021656000.0","13399880000.0","12920611000.0","12846836000.0","12526500000.0","12356873000.0","11893878000.0","11400580000.0","10943357000.0","11843817000.0","9582757000.0","8914023000.0","8289932000.0","7675499000.0","7205120000.0","6911667000.0","6604758000.0","3910088000.0","3760582000.0","3552101000.0","3705985000.0","3198404000.0","3183327000.0","3216376000.0","3130165000.0","2975901000.0","1818119000.0","1732214000.0","1718632000.0"
"Average Receivables","415794000.0","423621500.0","426290000.0","430054500.0","436520500.0","490577000.0","527422500.0","522234500.0","549504000.0","568484000.0","566000000.0","574453500.0","546285000.0","460319000.0","436263000.0","495796500.0","439253000.0","409693000.0","384229000.0","411566000.0","381372000.0","373300500.0","318109500.0","293502000.0","282256500.0","256722500.0","219043500.0","170347500.0","154928000.0","170689000.0","155737500.0","131233500.0","99384500.0","108868000.0","99764000.0","81863000.0","53014500.0","54699000.0","33667000.0"
"Average Payables","142188000.0","159044500.0","171493500.0","173187500.0","188406500.0","164327500.0","220732500.0","218412500.0","246705000.0","208964500.0","225015500.0","227556500.0","214198500.0","187357000.0","192477500.0","195821000.0","173066500.0","165379500.0","181407500.0","155616000.0","149465500.0","138724500.0","133979500.0","99401500.0","86114000.0","66630000.0","72674500.0","50863500.0","42728500.0","46377500.0","38431500.0","48005000.0","38397500.0","35057000.0","30447500.0","28887500.0","21344500.0","26158000.0","19215000.0"
"Average Inventory","15146500.0","16655500.0","17559000.0","19296500.0","16329000.0","16831500.0","16776500.0","18758500.0","15230500.0","16513000.0","17058500.0","17861500.0","17637000.0","19639000.0","20146500.0","23779000.0","23463500.0","16394000.0","20015000.0","27006500.0","31912500.0","26042000.0","23880500.0","23626000.0","29167000.0","29829000.0","22298500.0","22627000.0","23708000.0","23017500.0","18105500.0","23570500.0","17930000.0","13944000.0","10707500.0","12097000.0","5008000.0","1460000.0","2103000.0"
