"","42946.0","42855.0","42764.0","42674.0","42582.0","42490.0","42400.0","42308.0","42216.0","42124.0","42035.0","41943.0","41851.0","41759.0","41670.0","41578.0","41486.0","41394.0","41305.0","41213.0","41121.0","41029.0","40939.0","40847.0","40755.0","40663.0","40574.0","40482.0","40390.0","40298.0","40209.0","40117.0","40025.0","39933.0","39844.0","39752.0","39660.0","39568.0","39478.0","39386.0"
"Book Value per Share","26.721","24.075","21.552","20.685","23.635","22.737","20.829","20.214","23.304","24.247","24.034","24.966","29.925","29.092","27.576","26.644","22.253","21.236","19.268","17.23","18.738","18.438","16.741","16.292","18.034","17.645","15.596","14.836","14.406","13.315","11.755","11.397","17.554","16.248","15.515","15.154","17.563","16.946","16.08","15.927"
"Tangible Book Value per Share","191.434","181.929","174.903","180.833","183.283","184.579","174.443","171.337","175.493","174.419","167.55","166.602","168.138","163.534","152.595","152.088","148.527","146.81","139.385","139.108","132.144","125.752","117.556","112.794","110.155","107.954","99.017","99.413","95.857","93.964","93.579","94.512","94.469","95.573","94.548","86.636","93.581","91.23","84.158","82.819"
"FCF per Share","1.913","1.082","-2.88","6.175","3.951","0.248","-3.784","5.441","2.732","-0.015","-2.191","5.959","3.04","-0.909","-2.614","5.62","3.426","-0.464","-3.84","4.329","0.171","-1.371","-3.445","2.992","2.56","0.053","-2.397","2.073","1.141","1.425","-0.889","2.987","3.457","0.623","-4.342","1.037","2.943","0.249","-2.312","2.458"
"Interest Debt per Share","116.8161","111.0316","109.1835","112.9806","118.2059","119.9578","114.33","110.4598","112.0827","110.6927","106.7249","101.8138","101.5725","98.9073","92.5337","89.4775","87.2845","87.2438","83.7945","81.6429","79.1138","74.1197","69.4163","63.7029","62.7726","62.0052","57.2878","57.4269","56.2071","55.6937","58.475","58.0667","58.5701","60.9886","61.3205","52.0042","54.7673","53.4224","49.8195","48.4478"
"Cash per Share","20.3784","14.1786","12.2829","13.7557","13.748","13.1171","10.9352","12.4766","12.4647","12.9202","11.585","10.4325","8.3855","8.3974","8.5738","9.0942","8.006","9.3818","9.4544","11.7154","8.6078","7.5457","8.3869","8.7379","8.6687","9.3886","8.1508","8.9401","8.8426","8.5177","11.9058","11.0021","10.2029","11.3489","11.844","5.1297","6.5754","5.2751","3.4186","5.0714"
"Debt to Equity Ratio","4.3716","4.6119","5.0661","5.4619","5.0014","5.276","5.4891","5.4645","4.8095","4.5651","4.4406","4.0781","3.3942","3.3998","3.3555","3.3583","3.9223","4.1084","4.3489","4.7384","4.2222","4.0199","4.1465","3.9101","3.4807","3.514","3.6731","3.8709","3.9017","4.1828","4.9743","5.0949","3.3366","3.7535","3.9524","3.4318","3.1182","3.1525","3.0981","3.042"
"Total Debt To Total Assets","0.601","0.601","0.6142","0.6149","0.6347","0.6394","0.6463","0.6359","0.6303","0.6261","0.6282","0.6026","0.5953","0.5958","0.5968","0.5792","0.5775","0.5839","0.5899","0.5762","0.587","0.577","0.5773","0.5516","0.5559","0.56","0.5633","0.5628","0.5707","0.5763","0.6074","0.5969","0.5985","0.6167","0.6267","0.5788","0.564","0.5655","0.5706","0.5643"
"Interest Coverage","5.1378","6.1754","2.5771","3.1408","4.564","4.8387","3.0202","3.7974","5.3883","7.1299","4.0944","7.1761","9.4529","9.804","6.6005","7.6306","9.4885","10.1654","6.2121","6.5607","7.2329","9.163","5.1598","6.838","6.8698","7.9849","4.6835","4.9091","5.7908","5.8041","2.616","0.7544","3.0373","3.2621","2.0106","2.9715","4.2654","5.1417","2.8268","3.0233"
"Income Quality","1.409","0.7071","-3.8308","8.5678","3.3472","0.939","-3.0566","7.2586","2.6319","0.5147","-1.3188","4.3805","1.7797","-0.0874","-1.0956","3.3046","1.7503","0.0858","-1.923","3.3495","0.4973","-0.2845","-2.3021","2.5242","1.827","0.2599","-1.7526","2.6112","1.0883","1.3423","-1.3088","-6.7436","3.9617","0.9202","-7.923","2.9171","2.5473","0.3961","-2.2352","3.4917"
