"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40089.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","27.229","27.711","27.142","26.906","27.263","27.02","26.577","26.519","27.429","27.097","25.979","26.199","26.282","25.651","25.156","25.436","24.16","23.331","23.082","22.162","22.337","21.221","20.721","20.329","20.683","20.353","19.988","19.654","19.516","19.32","19.379","18.146","18.468","17.936","17.632","17.267","17.252","16.351","15.956"
"Tangible Book Value per Share","37.209","36.159","35.736","35.618","34.619","33.922","33.373","31.676","30.827","29.758","30.481","28.453","28.02","27.41","27.542","26.062","25.412","25.741","25.705","24.957","25.225","25.085","24.83","23.305","22.238","21.76","22.018","20.966","20.324","20.607","21.505","21.08","20.416","20.69","21.655","20.622","19.467","20.034","20.075"
"FCF per Share","2.131","1.617","0.138","1.707","1.539","1.457","0.635","1.265","0.974","1.184","0.504","1.19","1.182","1.043","0.314","0.979","1.511","0.879","0.337","0.336","1.198","0.187","0.612","0.601","0.587","0.694","-0.05","0.738","0.708","0.554","0.326","0.598","0.612","0.726","-0.016","0.465","0.307","1.198","0.217"
"Interest Debt per Share","14.2042","13.7044","12.8706","12.5435","12.6101","12.9345","11.4359","10.3252","9.0053","8.8034","9.7312","8.6218","9.3164","8.9166","8.7406","8.0","8.3257","9.3886","9.8188","7.9771","8.3881","8.9398","8.0011","7.6003","7.0303","6.7256","6.7451","6.5375","6.492","6.8253","7.4081","6.8322","7.3743","7.9396","8.6409","7.82","7.1432","8.3856","8.2616"
"Cash per Share","2.7759","2.4051","2.3467","2.8669","3.2246","3.071","2.6004","2.5426","2.6386","2.2042","2.9865","1.9936","2.3614","2.3303","2.4955","2.201","2.182","2.1907","1.8047","1.888","2.4422","2.0809","2.0945","1.7319","1.8688","1.6293","1.6071","1.4259","1.5172","1.5851","1.7161","1.8381","1.6844","1.8162","2.0491","1.6031","1.3626","2.0499","1.7931"
"Debt to Equity Ratio","0.5217","0.4945","0.4742","0.4662","0.4625","0.4787","0.4303","0.3894","0.3283","0.3249","0.3746","0.3291","0.3545","0.3476","0.3475","0.3145","0.3446","0.4024","0.4254","0.3599","0.3755","0.4213","0.3861","0.3739","0.3399","0.3305","0.3375","0.3326","0.3326","0.3533","0.3823","0.3765","0.3993","0.4427","0.4901","0.4529","0.414","0.5129","0.5178"
"Total Debt To Total Assets","0.2392","0.2359","0.2237","0.2192","0.2248","0.234","0.2099","0.1966","0.1748","0.1745","0.1901","0.1758","0.1927","0.189","0.1852","0.1759","0.1862","0.2082","0.2164","0.1911","0.1995","0.2131","0.1947","0.1938","0.1862","0.1809","0.1798","0.1803","0.1849","0.1926","0.1995","0.2012","0.2188","0.2337","0.2466","0.2342","0.2204","0.2535","0.2506"
"Interest Coverage","31.0","43.8571","38.5354","28.8788","59.1143","50.4478","181.3333","57.2182","318.1667","-399.0","57.8966","62.4474","70.92","-47.9677","-57.6939","80.8077","36.012","41.1296","28.3889","22.6264","31.3656","19.8737","25.2667","23.5844","27.375","19.0723","22.3895","15.977","25.2921","12.4615","13.835","12.9516","22.0667","8.5078","10.5899","12.0619","15.156","13.551","17.3333"
"Current Ratio","1.003","0.937","0.863","1.007","0.975","0.996","0.945","1.026","1.114","1.167","1.026","1.141","1.139","0.992","1.004","1.205","1.253","1.115","0.988","1.07","1.327","1.142","1.114","1.138","1.069","1.033","1.098","1.111","1.328","1.242","1.11","1.331","1.336","1.176","1.069","1.006","1.12","1.101","1.071"
