"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","11.24","11.084","9.919","9.233","7.575","6.725","5.927","6.166","5.763","4.957","4.362","3.35","3.104","2.465","2.133","1.533","0.755","0.64","0.081","0.242","0.38","-0.127","-0.941","0.228","-0.212","-1.137","-2.559","-3.179","-3.529","-4.143","-4.68","-3.093","-3.402","-3.73","-4.359","-4.738","-4.651","-5.432","1.428"
"Tangible Book Value per Share","64.198","63.273","60.015","59.314","52.602","47.396","49.35","49.878","49.171","49.612","47.776","45.845","45.163","44.829","44.441","44.482","44.057","38.951","38.415","36.614","32.248","27.744","25.681","29.219","28.789","23.188","21.738","20.852","20.159","19.45","18.556","19.378","16.264","15.795","14.446","15.958","17.066","15.297","21.443"
"FCF per Share","0.985","1.766","1.14","0.967","1.087","1.651","0.107","1.264","0.777","1.47","1.164","0.692","0.364","0.77","0.949","0.18","0.578","0.829","-0.631","0.941","0.529","1.542","0.932","1.214","0.548","1.379","0.733","0.276","0.386","0.908","-0.023","0.869","0.291","1.452","0.173","0.373","0.388","1.424","0.771"
"Interest Debt per Share","37.0114","37.032","35.4396","35.4286","30.6303","26.382","29.6617","29.7105","29.7404","31.2124","31.2663","29.0198","29.2729","29.668","29.7596","30.8527","31.1095","26.2104","26.2761","23.0372","20.8742","16.7909","16.7783","18.8452","19.0795","14.6751","14.7033","14.6195","14.524","14.5266","14.5321","13.7142","11.4754","3.6551","11.1983","7.7456","8.8812","7.2221","8.0894"
"Cash per Share","5.0768","14.5726","11.4476","10.2904","7.206","1.5267","2.2709","2.6865","1.4997","2.2721","15.3964","10.3104","8.9752","9.0936","10.2607","10.4803","8.9885","6.4664","7.8993","6.8456","5.7645","3.0376","1.3638","2.3435","4.1637","2.6243","1.4459","1.6029","0.6885","0.2237","0.2368","0.3482","0.2526","0.5906","0.2204","2.3954","3.0181","2.2052","2.0516"
"Debt to Equity Ratio","3.2929","3.3411","3.5729","3.8373","4.0435","3.9228","5.0044","4.8186","5.1606","6.2965","7.1671","8.6616","9.4318","12.0375","13.9515","20.1284","41.1988","40.9733","322.4478","95.1837","54.8772","-132.3047","-17.8266","82.628","-90.1522","-12.9071","-5.7455","-4.5981","-4.1161","-3.5065","-3.1052","-4.4343","-3.3729","-0.9799","-2.5693","-1.6347","-1.9094","-1.3296","5.6653"
"Total Debt To Total Assets","0.5765","0.5853","0.5905","0.5973","0.5823","0.5566","0.601","0.5957","0.6048","0.6291","0.6544","0.633","0.6482","0.6618","0.6697","0.6936","0.7061","0.6729","0.684","0.6292","0.6473","0.6052","0.6533","0.645","0.6627","0.6329","0.6764","0.7011","0.7205","0.7469","0.7832","0.7077","0.7056","0.2312","0.7752","0.485","0.52","0.4721","0.3595"
"Interest Coverage","9.4816","20.9804","18.896","25.5277","199.6152","910.973","-3.2277","3.274","4.3547","3.908","3.8504","2.4338","3.1942","2.6159","3.5859","2.8642","0.7606","3.1175","3.4302","-1.1405","4.4029","4.9993","4.35","4.2017","4.9212","8.3321","4.3697","4.4489","4.6072","4.1386","3.3868","2.0273","2.5204","6.9519","5.5916","3.2258","6.6778","5.7035","4.3301"
"Current Ratio","0.629","2.1","1.803","1.721","1.306","0.665","0.686","2.588","2.501","2.264","3.052","2.088","2.09","2.715","2.705","3.145","3.031","2.411","2.308","2.013","1.848","1.218","1.164","1.332","1.509","1.164","1.016","1.204","1.174","1.088","1.057","1.216","0.92","0.86","0.704","0.684","0.894","0.662","1.005"
"Income Quality","13.868","2.4933","1.8962","1.9494","1.5647","2.3207","-1.6445","3.9744","1.7186","2.5367","1.516","4.3673","2.1904","3.7168","2.2224","1.2735","-49.2947","3.184","-0.106","-4.329","2.1686","2.3828","1.8638","2.2965","1.2369","1.5368","2.4058","1.7067","1.517","3.1436","1.6928","8.0173","5.434","2.8822","1.6758","5.2614","1.2985","3.5027","4.1138"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.174","0.0","0.0","0.0","2.857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","6.5","0.0"
