"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","31.068","31.585","32.046","34.999","29.217","30.067","31.093","29.415","28.333","28.116","28.823","29.98","30.58","29.807","28.108","28.37","27.621","26.459","27.996","28.514","24.489","23.947","23.98","25.016","21.508","21.26","21.621","22.29","24.274","20.248","20.337","20.627","20.821","20.951","20.59","21.538","20.765","20.892","16.276"
"Tangible Book Value per Share","73.372","72.645","71.937","78.149","74.659","75.675","76.114","69.947","70.584","69.33","70.273","71.753","74.066","76.285","74.946","73.396","71.522","70.952","71.189","69.76","61.198","59.926","57.966","57.923","58.761","60.565","58.715","58.821","55.884","53.331","48.855","46.295","45.253","44.865","44.92","44.544","46.606","44.245","43.803"
"FCF per Share","0.356","-0.307","3.685","-3.59","0.457","0.213","-0.543","0.214","0.838","-0.012","-0.281","-0.594","0.222","-0.838","-0.937","-1.279","-1.333","-1.958","-1.382","-10.707","-1.373","-2.19","-1.297","-1.595","-0.676","-0.772","-1.756","-8.801","-0.396","-4.946","-1.342","-0.295","-0.336","-1.281","-0.986","-1.279","-2.244","-1.48","-2.482"
"Interest Debt per Share","40.0268","38.9293","36.7158","40.8757","41.7874","42.0067","40.5037","34.9591","36.5866","35.503","34.4706","34.9815","36.3164","38.957","38.6289","37.2226","36.5851","37.0289","34.5368","33.436","30.9783","30.5495","27.9465","27.8068","31.8558","33.4188","30.9243","30.9593","26.38","27.8795","23.2782","20.9599","19.9616","19.272","18.9627","18.1019","20.6585","18.1975","21.3249"
"Cash per Share","0.2569","0.1594","0.1386","0.3265","0.351","0.3461","0.5154","0.2613","0.5047","0.363","0.39","0.3728","0.9021","0.8798","0.7565","0.7598","0.4924","0.6806","0.8099","0.9779","0.7571","0.6541","0.9105","0.9341","0.8809","1.1397","0.7908","1.4565","4.6986","1.1695","1.4367","1.0218","1.3136","1.4748","1.6265","1.2321","0.8607","1.0976","1.1328"
"Debt to Equity Ratio","1.2883","1.2325","1.1457","1.1679","1.4302","1.3971","1.3027","1.1885","1.2913","1.2627","1.196","1.1668","1.1876","1.307","1.3743","1.312","1.3245","1.3995","1.2336","1.1726","1.265","1.2757","1.1654","1.1115","1.4811","1.5719","1.4303","1.3889","1.0867","1.3769","1.1446","1.0161","0.9587","0.9199","0.921","0.8405","0.9949","0.871","1.3102"
"Total Debt To Total Assets","0.5118","0.503","0.4789","0.4899","0.5433","0.539","0.5167","0.4998","0.5183","0.5121","0.4905","0.4875","0.4903","0.5107","0.5154","0.5071","0.5115","0.5219","0.4851","0.4793","0.5062","0.5098","0.4821","0.4801","0.5421","0.5518","0.5267","0.5263","0.472","0.5228","0.4765","0.4527","0.4411","0.4296","0.4221","0.4064","0.4433","0.4113","0.4868"
"Interest Coverage","2.4117","2.5466","2.7319","4.5335","1.8784","2.1117","0.7476","2.2201","3.9953","3.6802","0.2966","3.677","2.2485","2.0079","2.179","4.1618","2.2333","2.0798","2.3526","2.3668","2.4209","2.2822","2.2088","1.9926","1.939","2.0512","1.9698","1.6364","1.5948","1.8272","1.9964","2.0125","1.9186","2.1001","2.3543","2.1288","1.9309","1.7016","1.22"
"Income Quality","5.1912","3.3119","3.6149","1.2589","7.7285","4.6163","-6.4943","4.7779","1.8472","1.3656","-3.5057","1.439","4.7905","3.4052","4.7074","1.2859","3.9609","2.0874","4.1596","2.7477","3.8234","1.7989","3.3581","2.8324","3.9148","2.0816","4.7741","10.0891","9.4458","3.8795","4.5559","6.065","9.941","4.0192","6.8347","6.7054","17.9428","7.6925","-12.3832"
"Payout Ratio","0.0","2.214","1.833","0.693","4.632","3.259","-2.656","3.036","0.988","1.133","-2.128","1.025","2.677","3.074","2.364","0.722","2.108","2.294","2.028","1.973","1.921","1.973","2.0","2.125","2.061","2.0","1.893","4.818","4.364","2.526","2.5","2.25","2.538","2.357","1.65","2.818","6.2","7.75","-7.75"
"Intangible Assets out of Total Assets","0.0619","0.0614","0.0618","0.0634","0.0293","0.0289","0.029","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
