"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","11.763","11.957","11.642","11.521","11.535","11.205","11.563","11.539","11.818","11.508","11.825","12.13","11.541","11.248","11.408","11.353","11.289","10.943","10.983","11.017","10.831","10.63","10.609","10.444","10.532","10.868","10.866","10.861","11.546","12.088","12.537","12.109","11.487","10.763","10.264","13.1","12.783","19.886","19.791"
"Tangible Book Value per Share","16.195","14.526","22.597","16.353","14.873","14.467","17.044","13.466","13.579","13.378","13.356","13.275","12.945","12.87","12.62","12.027","14.811","15.538","15.708","15.784","15.3","14.647","17.0","16.352","16.016","16.275","14.07","13.08","13.497","13.545","12.16","12.014","11.955","11.621","11.587","12.026","12.689","14.974","14.695"
"FCF per Share","1.572","0.447","1.026","1.272","1.034","0.912","0.89","1.817","1.233","0.425","0.964","1.535","1.434","0.465","0.912","1.426","0.906","0.152","0.698","1.198","1.166","-1.75","0.534","1.301","0.703","-0.013","4.074","0.912","0.965","3.679","0.303","0.968","0.531","0.374","0.339","0.724","0.307","0.24","-0.804"
"Interest Debt per Share","25.6714","24.4111","24.4299","17.987","15.7781","15.5384","17.9131","13.8393","13.5946","13.5596","13.3144","13.0441","13.2706","13.5169","12.8958","12.4053","12.6899","13.6706","13.5067","13.1464","12.841","12.6952","12.6957","12.088","11.6539","11.5608","9.2399","10.8025","10.5031","10.1303","11.6444","11.9552","12.7459","13.2415","13.8661","14.2486","15.2087","11.9787","11.9748"
"Cash per Share","2.0469","0.8724","9.749","3.355","1.3193","1.4659","4.8252","1.0872","0.6635","0.4819","1.2216","1.3655","0.6867","0.6064","0.7665","0.5853","0.5537","1.0166","1.763","1.8203","1.4299","0.9031","3.2865","3.0139","2.4786","2.9383","1.392","0.9412","1.681","2.2542","1.1015","1.1094","0.9245","0.8615","0.8425","0.9402","1.1811","0.3902","0.2641"
"Debt to Equity Ratio","2.1824","2.0415","2.0984","1.5613","1.3679","1.3868","1.5492","1.1994","1.1503","1.1783","1.126","1.0753","1.1498","1.2017","1.1304","1.0927","1.1241","1.2492","1.2298","1.1933","1.1856","1.1942","1.1966","1.1574","1.1065","1.0638","0.8503","0.9946","0.9097","0.838","0.9288","0.9873","1.1096","1.2303","1.351","1.0877","1.1897","0.6024","0.6051"
"Total Debt To Total Assets","0.4558","0.4473","0.4574","0.3833","0.3486","0.3485","0.3813","0.3204","0.3147","0.3171","0.3125","0.3076","0.3172","0.3251","0.3139","0.3102","0.2974","0.3153","0.3141","0.3077","0.3055","0.3073","0.2917","0.2841","0.2802","0.2775","0.236","0.2925","0.286","0.2815","0.3373","0.3477","0.3711","0.3896","0.4077","0.3688","0.386","0.2868","0.2886"
"Interest Coverage","7.4091","7.2","6.3333","11.3636","13.1818","9.5152","9.5588","12.0","13.1786","10.037","8.931","11.5556","12.963","10.0769","9.1724","-4.4138","10.5806","5.8824","9.4839","10.0645","9.7419","6.0938","9.4828","8.8667","10.5","7.5926","5.3824","8.4516","10.8276","5.6176","2.9294","5.7647","5.7885","4.8909","-14.1897","3.7966","3.0435","4.2292","5.1724"
"Current Ratio","0.984","1.087","2.603","1.08","1.132","1.091","1.148","0.769","0.806","0.768","1.167","1.212","1.119","1.062","1.086","1.108","1.14","1.056","1.084","0.804","0.802","0.893","0.917","0.982","1.086","1.255","0.978","1.32","1.566","1.918","1.498","1.471","1.605","1.524","1.544","1.482","1.373","1.729","2.413"
"Income Quality","1.6649","0.548","1.5515","1.15","0.8885","1.0824","1.4486","1.8515","1.1273","0.6433","1.6867","1.7606","1.4714","0.8323","1.6026","1.5507","1.4065","0.7264","1.1765","1.8045","1.5955","-3.1863","1.2229","2.1039","1.1919","0.4474","8.8929","1.8958","1.5246","11.0899","1.4386","2.1854","1.2215","1.3485","-0.2995","2.3113","1.6481","1.0526","-0.7464"
"Payout Ratio","0.569","0.598","0.582","0.408","0.379","0.546","0.49","0.453","0.417","0.585","0.526","0.423","0.383","0.526","0.481","0.373","0.5","0.731","0.415","0.4","0.405","0.708","0.416","0.451","0.41","0.49","0.51","0.41","0.333","0.429","0.333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.7125","0.7338","0.577","0.6516","0.6714","0.6755","0.6372","0.6883","0.6856","0.6871","0.6865","0.687","0.6906","0.6904","0.6928","0.6992","0.6529","0.6417","0.6347","0.6305","0.636","0.6455","0.6094","0.6156","0.6149","0.6093","0.6406","0.6458","0.6324","0.6237","0.6478","0.6506","0.6519","0.6581","0.6593","0.6888","0.6779","0.6414","0.6459"
"Selling, General and Administrative Expense of Revenue","0.3801","0.4113","0.3739","0.3589","0.3481","0.3672","0.3771","0.3632","0.3541","0.3804","0.4023","0.367","0.363","0.3963","0.3602","0.3649","0.3842","0.408","0.374","0.3671","0.3695","0.406","0.3785","0.3656","0.378","0.411","0.3902","0.3871","0.3864","0.4255","0.3975","0.3815","0.3714","0.396","0.3554","0.3628","0.3469","0.3923","0.3642"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-25000000.0","100000000.0","1685000000.0","119000000.0","155000000.0","107000000.0","234000000.0","-367000000.0","-304000000.0","-361000000.0","173000000.0","217000000.0","126000000.0","68000000.0","89000000.0","103000000.0","149000000.0","68000000.0","103000000.0","-340000000.0","-343000000.0","-151000000.0","-158000000.0","-31000000.0","134000000.0","360000000.0","-29000000.0","315000000.0","543000000.0","780000000.0","425000000.0","411000000.0","494000000.0","430000000.0","436000000.0","435000000.0","411000000.0","1179000000.0","1604000000.0"
"Tangible Asset Value","2967000000.0","2664000000.0","4142000000.0","3022000000.0","2762000000.0","2714000000.0","3218000000.0","2564000000.0","2599000000.0","2582000000.0","2591000000.0","2586000000.0","2545000000.0","2547000000.0","2519000000.0","2445000000.0","3023000000.0","3179000000.0","3261000000.0","3321000000.0","3242000000.0","3114000000.0","3626000000.0","3532000000.0","3554000000.0","3639000000.0","3184000000.0","3113000000.0","3300000000.0","3431000000.0","3091000000.0","3054000000.0","3039000000.0","2954000000.0","2943000000.0","3057000000.0","3223000000.0","3799000000.0","3728000000.0"
"Net Current Asset Value","-6609000000.0","-6568000000.0","-4921000000.0","-4942000000.0","-4939000000.0","-4979000000.0","-4869000000.0","-4806000000.0","-4746000000.0","-4837000000.0","-4760000000.0","-4657000000.0","-4768000000.0","-4828000000.0","-4805000000.0","-4762000000.0","-5192000000.0","-5353000000.0","-5313000000.0","-5275000000.0","-5221000000.0","-5263000000.0","-5263000000.0","-5238000000.0","-5196000000.0","-5111000000.0","-5091000000.0","-4906000000.0","-4652000000.0","-4425000000.0","-4310000000.0","-4379000000.0","-4500000000.0","-4653000000.0","-4794000000.0","-5154000000.0","-5246000000.0","-2754000000.0","-2768000000.0"
"Invested Capital","5715000000.0","5834000000.0","5782000000.0","4243000000.0","4277000000.0","4178000000.0","4106000000.0","3403000000.0","3511000000.0","3551000000.0","3899000000.0","3837000000.0","3956000000.0","3997000000.0","3910000000.0","3892000000.0","4436000000.0","4556000000.0","4467000000.0","3968000000.0","3926000000.0","4209000000.0","3718000000.0","3766000000.0","4029000000.0","4154000000.0","3622000000.0","4476000000.0","4497000000.0","4576000000.0","4917000000.0","4939000000.0","5228000000.0","5280000000.0","5450000000.0","5537000000.0","5683000000.0","5122000000.0","5564000000.0"
