"","42974.0","42883.0","42792.0","42701.0","42610.0","42519.0","42428.0","42337.0","42246.0","42155.0","42057.0","41966.0","41875.0","41784.0","41693.0","41602.0","41511.0","41420.0","41329.0","41238.0","41147.0","41056.0","40965.0","40874.0","40783.0","40692.0","40601.0","40510.0","40419.0","40328.0","40237.0","40146.0","40055.0","39964.0","39866.0","39775.0","39684.0","39593.0","39502.0","39411.0"
"Book Value per Share","16.443","16.827","15.897","15.056","14.422","15.431","15.033","15.533","19.027","18.49","17.96","16.488","16.096","16.353","16.159","15.767","15.91","15.855","15.084","14.467","14.52","14.357","13.877","13.153","14.225","14.374","14.102","13.653","13.495","13.509","13.236","12.345","12.089","11.689","10.864","10.125","10.171","10.189","9.353","9.168"
"Tangible Book Value per Share","24.769","25.143","26.046","24.487","23.406","24.788","23.942","29.159","35.946","36.036","36.564","33.992","35.378","42.726","43.736","43.453","42.87","41.992","42.375","41.565","39.164","38.509","38.464","37.299","34.554","33.374","32.578","31.112","29.86","30.705","30.654","29.282","29.202","29.491","29.992","29.139","27.652","27.156","26.714","26.613"
"FCF per Share","0.655","1.054","2.644","0.371","0.879","1.283","2.856","1.353","1.373","0.858","2.54","-1.138","-0.281","0.219","1.989","-0.218","0.754","2.065","2.003","-1.488","0.811","1.849","2.549","-1.825","-0.138","0.561","1.96","-0.705","0.764","0.311","2.401","0.123","0.629","0.934","1.543","-0.828","0.191","0.618","1.395","-0.301"
"Interest Debt per Share","7.4808","7.4988","3.5512","3.5784","3.5244","3.4783","3.5086","9.3591","11.4019","11.6268","12.2536","12.1707","12.3669","20.3639","20.7928","21.9946","21.1759","20.8868","21.4408","22.7717","16.4208","16.5292","16.7594","17.7544","13.3931","12.2405","11.7522","12.4179","11.1696","12.0635","12.1522","12.9194","13.0173","13.4003","14.8038","15.7299","13.8863","13.5401","13.8447","14.6345"
"Cash per Share","1.1725","1.8663","3.1539","0.9488","0.9183","2.1723","1.6912","6.6948","5.4168","4.2464","3.5008","1.2334","3.1293","0.7453","0.9673","0.6478","0.8364","0.679","0.8036","0.4767","0.402","0.5495","0.6914","0.3853","0.5546","0.5234","0.6576","0.3844","0.5592","1.7746","1.8686","0.4094","0.5725","0.4578","0.7884","0.3745","0.3273","0.3124","0.3348","0.2063"
"Debt to Equity Ratio","0.4549","0.4456","0.2234","0.2377","0.2444","0.2254","0.2334","0.6025","0.5992","0.6288","0.6823","0.7382","0.7683","1.2453","1.2868","1.395","1.331","1.3174","1.4215","1.574","1.1309","1.1513","1.2077","1.3498","0.9415","0.8516","0.8334","0.9096","0.8277","0.893","0.9181","1.0465","1.0768","1.1465","1.3626","1.5536","1.3653","1.3289","1.4802","1.5963"
"Total Debt To Total Assets","0.1793","0.177","0.0942","0.0987","0.1007","0.096","0.0994","0.2313","0.241","0.2448","0.2543","0.2685","0.267","0.3792","0.3779","0.4013","0.3903","0.3911","0.3984","0.4293","0.3494","0.3568","0.3619","0.3945","0.3203","0.3016","0.296","0.3253","0.303","0.3206","0.3229","0.3561","0.3595","0.3664","0.3985","0.4339","0.4006","0.3958","0.4113","0.4371"
"Interest Coverage","11.48","14.6609","24.6022","12.2421","16.202","19.0","2.633","1.6545","6.2321","5.7375","7.5451","-0.6795","5.3019","3.0282","4.3897","1.4742","3.372","3.5976","6.4263","2.307","6.2366","5.1594","8.8628","3.8611","7.765","9.6465","9.275","5.3362","7.4593","7.2972","9.4087","4.2571","6.4684","7.2697","6.8","4.0108","5.1642","6.4382","7.2425","3.5929"
"Current Ratio","0.384","0.456","0.718","0.594","0.54","0.691","0.608","0.762","1.054","0.883","0.727","0.551","0.627","1.221","0.554","0.507","0.518","0.54","0.556","0.519","0.391","0.427","0.424","0.428","0.504","0.516","0.525","0.448","0.439","0.571","0.559","0.457","0.457","0.506","0.443","0.409","0.412","0.412","0.435","0.485"
