"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.123","12.326","11.32","11.154","9.25","14.525","17.151","28.097","37.273","43.778","52.65","54.207","52.645","50.304","50.49","50.768","49.424","48.542","52.538","53.847","54.958","54.333","53.058","50.665","50.657","45.033","44.577","42.878","37.659","37.948","35.06","33.017","30.822","29.149","38.423","57.217","52.54","50.333","49.452"
"Tangible Book Value per Share","43.466","42.261","41.919","43.64","44.055","55.468","59.414","69.528","83.33","94.901","108.37","103.957","104.7","107.045","91.18","85.941","83.998","87.599","91.968","92.544","92.638","90.418","86.913","81.429","76.504","66.508","62.16","59.508","53.88","55.19","53.492","50.05","48.09","45.527","59.453","83.007","84.527","82.991","79.29"
"FCF per Share","0.314","0.238","2.089","3.791","0.09","-1.283","0.156","1.217","-0.791","-0.163","-2.576","5.248","7.578","-0.076","0.633","0.574","-0.596","-2.204","-1.933","-0.166","0.274","-2.628","0.265","-0.92","-0.799","-1.328","-0.607","-0.52","5.135","3.368","0.865","0.843","0.027","-1.977","-3.223","1.559","2.076","1.119","0.778"
"Interest Debt per Share","20.0837","19.7884","19.3927","21.6845","24.25","28.4274","31.708","28.9538","29.2994","28.5794","27.5287","29.4769","30.2893","38.0756","29.6108","24.798","25.0","29.931","28.7506","27.775","26.2191","26.8226","24.2139","22.2257","18.747","15.9321","13.0354","12.9402","12.5845","13.6191","16.3905","16.6584","16.5736","15.5946","13.1554","10.9434","12.2197","17.5663","17.8157"
"Cash per Share","4.5064","4.0393","3.7414","4.555","3.2882","3.705","5.6204","4.3479","4.1961","4.5196","3.6177","8.3305","4.1824","4.9755","14.9409","10.6404","8.2833","12.9926","11.4494","13.1965","15.0865","14.4222","13.7534","13.4886","7.922","3.0703","6.6358","8.2943","4.8646","1.6204","1.4546","2.0392","1.4598","0.8941","0.4392","2.6991","4.1188","4.2135","3.0652"
"Debt to Equity Ratio","1.5304","1.6055","1.7132","1.9442","2.6216","1.9571","1.8488","1.0305","0.7861","0.6528","0.5229","0.5438","0.5753","0.7569","0.5865","0.4885","0.5058","0.6166","0.5472","0.5158","0.4771","0.4937","0.4564","0.4387","0.3701","0.3538","0.2924","0.3018","0.3342","0.3589","0.4675","0.5045","0.5377","0.535","0.3424","0.1913","0.2326","0.349","0.3603"
"Total Debt To Total Assets","0.3937","0.3972","0.3918","0.4235","0.4664","0.4381","0.4425","0.3464","0.2966","0.2591","0.2224","0.2372","0.2417","0.294","0.2804","0.2465","0.2536","0.2922","0.2688","0.258","0.2439","0.2544","0.2379","0.2322","0.2058","0.1969","0.171","0.1767","0.1876","0.1984","0.2452","0.2627","0.2719","0.2692","0.1831","0.1134","0.1245","0.1819","0.1912"
"Interest Coverage","4.7241","5.5984","2.1557","5.7901","-9.7485","-18.9573","-36.1367","-37.3897","-35.016","-47.1538","2.5689","15.0431","12.6718","5.9554","5.2793","7.39","10.6796","-18.0485","-5.7703","-9.5545","8.4141","7.7816","13.7869","15.7692","47.3176","8.4938","10.0602","29.4337","9.7117","20.8372","12.3488","7.5333","5.7","-74.1687","-147.1029","56.7101","22.8667","10.7059","12.8762"
"Current Ratio","1.614","1.528","1.442","1.561","1.36","1.135","1.22","1.228","1.183","1.044","1.095","0.996","0.939","0.662","1.203","1.321","1.307","1.236","1.494","1.716","1.858","1.45","1.381","1.593","1.987","0.973","1.212","1.337","1.484","1.206","0.787","0.758","0.738","0.735","0.856","1.118","0.901","0.932","1.07"
"Income Quality","1.9059","1.4761","1.6193","0.7311","-0.2197","-0.054","-0.2363","-0.4428","-0.391","-0.4579","-2.4583","1.5344","3.0356","4.3519","6.942","3.7319","2.0439","-0.7483","-3.2017","-1.8929","2.9895","2.6107","3.9645","1.3526","0.5651","3.0288","2.21","0.6431","1.9788","1.2542","2.1664","2.4349","3.2803","-0.2645","-0.18","1.144","2.2581","3.0187","1.1744"
"Payout Ratio","0.074","0.056","0.086","0.032","-0.02","-0.037","-0.022","-0.028","-0.035","-0.027","-0.238","0.097","0.145","0.275","0.431","0.208","0.13","-0.06","-0.225","-0.111","0.169","0.206","0.129","0.068","0.026","0.165","0.12","0.033","0.101","0.06","0.106","0.142","0.225","-0.018","-0.01","0.027","0.055","0.095","0.047"
"Intangible Assets out of Total Assets","0.1478","0.1517","0.153","0.1478","0.1527","0.1452","0.1709","0.1681","0.1564","0.1396","0.1245","0.1635","0.1645","0.1735","0.1366","0.1458","0.1479","0.1447","0.1403","0.1404","0.1382","0.1424","0.1462","0.1493","0.1603","0.178","0.1847","0.1876","0.1966","0.1962","0.1998","0.2107","0.211","0.2142","0.1727","0.1399","0.1389","0.1408","0.1489"
"Selling, General and Administrative Expense of Revenue","0.0501","0.051","0.0487","0.0333","0.0591","0.0913","0.0672","0.055","0.0625","0.0769","0.0357","0.0365","0.0419","0.0566","0.0598","0.0527","0.0541","0.0761","0.0767","0.0804","0.0688","0.0673","0.0707","0.0394","0.0419","0.0605","0.0768","0.0557","0.0582","0.0429","0.072","0.0736","0.095","0.0858","0.126","0.0244","0.0507","0.0497","0.0856"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1554000000.0","1305000000.0","1156000000.0","1600000000.0","1053000000.0","350000000.0","726000000.0","797000000.0","732000000.0","246000000.0","563000000.0","-21000000.0","-287000000.0","-2560000000.0","1350000000.0","1533000000.0","1492000000.0","1603000000.0","2968000000.0","3937000000.0","4256000000.0","2816000000.0","2567000000.0","3576000000.0","4427000000.0","-155000000.0","972000000.0","1500000000.0","1647000000.0","640000000.0","-810000000.0","-834000000.0","-915000000.0","-858000000.0","-451000000.0","360000000.0","-599000000.0","-338000000.0","257000000.0"
"Tangible Asset Value","22850000000.0","22170000000.0","21949000000.0","22850000000.0","23085000000.0","24478000000.0","24419000000.0","28576000000.0","34257000000.0","39014000000.0","44334000000.0","42529000000.0","42707000000.0","43610000000.0","37019000000.0","34892000000.0","34103000000.0","35565000000.0","37247000000.0","37434000000.0","37463000000.0","36538000000.0","35104000000.0","33915000000.0","32361000000.0","28399000000.0","26847000000.0","25886000000.0","24079000000.0","24659000000.0","23756000000.0","22212000000.0","21347000000.0","20214000000.0","26397000000.0","36689000000.0","37699000000.0","36931000000.0","35284000000.0"
