"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","23.878","23.432","23.666","23.558","22.574","22.355","23.336","22.978","22.997","23.042","24.378","25.66","24.709","23.987","24.489","22.498","22.114","20.859","20.776","20.312","19.259","19.668","23.92","10.638","10.096","9.528","9.123","8.437","7.962","7.904","8.453","8.278","7.628","6.713","6.404","9.023","8.898","8.338","7.843"
"Tangible Book Value per Share","29.186","28.18","27.879","27.26","26.477","26.616","27.159","27.817","28.605","28.157","27.503","27.512","27.086","26.632","26.637","26.393","26.027","24.933","26.009","22.978","22.277","22.906","33.998","15.45","15.001","14.472","13.969","13.988","13.341","13.302","13.918","13.953","13.753","13.238","12.887","13.6","14.331","13.873","12.62"
"FCF per Share","0.777","0.89","0.696","1.544","0.784","1.125","1.251","1.787","1.204","-0.185","1.332","1.443","0.453","0.214","1.42","1.247","0.208","0.174","0.999","1.238","-0.095","-0.054","0.099","0.656","0.704","-0.069","0.994","0.873","0.614","0.325","0.31","0.678","0.873","-0.132","0.664","0.352","0.403","0.184","0.617"
"Interest Debt per Share","26.5007","25.9498","22.9321","22.8484","23.4162","23.2317","21.8355","22.9092","24.6776","24.1657","21.8201","22.656","23.7944","23.9654","23.0227","24.072","24.9028","21.1043","22.3655","20.5593","21.6667","21.4679","32.2339","4.4718","4.7789","5.1297","3.623","4.2564","4.129","4.4138","4.0866","4.097","4.586","5.1605","4.6381","4.1956","5.0672","5.2992","4.0656"
"Cash per Share","0.8996","0.7299","1.1228","0.6193","0.5725","0.912","0.3134","0.626","1.0486","0.7978","0.6984","0.6593","0.6242","0.999","1.131","1.3094","1.2444","2.7905","3.9583","1.1069","1.0445","1.2144","7.7822","0.8939","0.7047","0.6526","1.0381","0.7234","0.5197","0.3624","0.3109","0.4536","0.3497","0.3367","0.2718","0.4125","0.8984","0.8887","0.5567"
"Debt to Equity Ratio","1.1099","1.1074","0.969","0.9699","1.0373","1.0392","0.9357","0.997","1.0731","1.0488","0.8951","0.8829","0.963","0.9991","0.9401","1.07","1.1261","1.0118","1.0765","1.0122","1.125","1.0915","1.3476","0.4203","0.4734","0.5384","0.3971","0.5045","0.5186","0.5584","0.4834","0.495","0.6012","0.7688","0.7242","0.465","0.5695","0.6356","0.5184"
"Total Debt To Total Assets","0.3934","0.3923","0.3648","0.3625","0.3757","0.3729","0.3468","0.3581","0.3804","0.3743","0.3371","0.3453","0.3635","0.3682","0.3516","0.3697","0.382","0.3604","0.3723","0.3599","0.3841","0.3711","0.4199","0.1884","0.2047","0.2262","0.1736","0.2038","0.2066","0.2179","0.1927","0.1946","0.2201","0.259","0.2393","0.2031","0.2338","0.2501","0.2125"
"Interest Coverage","7.3406","5.92","8.0703","8.7627","6.2374","5.6021","4.9567","7.3038","7.0425","6.1712","8.2694","8.9558","7.6828","5.3364","6.9246","7.1164","5.281","4.2325","6.2832","6.229","5.1268","1.9907","4.7703","18.1364","15.1145","11.2222","14.3169","16.443","13.6067","10.24","12.9338","14.755","10.8289","6.1519","9.0194","12.6063","13.7582","10.8446","13.3053"
"Current Ratio","1.049","1.024","1.417","1.0","0.966","1.009","0.933","1.305","1.118","1.194","1.111","1.094","1.203","1.205","1.347","1.498","1.448","1.715","1.603","1.445","1.133","1.129","1.704","1.293","1.216","1.145","1.411","1.289","1.295","1.254","1.451","1.405","1.306","1.184","1.173","1.416","1.276","1.179","1.131"
"Income Quality","1.4633","1.6793","1.223","1.649","1.5569","2.0472","2.8942","2.9426","1.7354","0.482","1.9988","1.6802","1.0196","1.1225","2.1964","1.7409","0.9714","1.1654","2.0838","2.1416","0.5453","2.2233","1.6325","1.5463","1.9539","0.5994","2.3778","1.5683","1.7757","1.4178","1.4119","1.6007","2.7447","0.4774","3.2125","1.4699","1.2496","1.3314","2.239"
"Payout Ratio","0.363","0.425","0.296","0.273","0.398","0.449","0.493","0.379","0.324","0.423","0.297","0.23","0.269","0.438","0.292","0.225","0.324","0.426","0.287","0.247","0.317","1.176","0.588","0.254","0.315","0.425","0.304","0.2","0.273","0.366","0.306","0.23","0.333","0.583","0.412","0.255","0.232","0.31","0.283"
